id_transcript;id_transcript;orthologs
ENSCAFT00000036803_90_90;ENSCAFT00000036803_90_90;null
ENST00000260648_90_90;ENST00000260648_90_90;ENSMUST00000171795_90_90
ENST00000378511_90_90;ENST00000378511_90_90;null
ENST00000378520_90_90;ENST00000378520_90_90;null
ENST00000409272_90_90;ENST00000409272_90_90;ENSMUST00000171795_90_90
ENST00000409411_90_90;ENST00000409411_90_90;ENSMUST00000072406_90_90
ENST00000409936_90_90;ENST00000409936_90_90;ENSMUST00000171795_90_90
ENST00000409957_90_90;ENST00000409957_90_90;ENSMUST00000072406_90_90
ENST00000410081_90_90;ENST00000410081_90_90;ENSMUST00000171795_90_90
ENST00000420756_90_90;ENST00000420756_90_90;null
ENST00000425263_90_90;ENST00000425263_90_90;ENSMUST00000171795_90_90
ENST00000426481_90_90;ENST00000426481_90_90;ENSMUST00000171795_90_90
ENST00000438314_90_90;ENST00000438314_90_90;null
ENST00000444696_90_90;ENST00000444696_90_90;null
ENST00000541738_90_90;ENST00000541738_90_90;ENSMUST00000072406_90_90
ENSMUST00000072406_90_90;ENSMUST00000072406_90_90;ENST00000409411_90_90:ENST00000409957_90_90:ENST00000541738_90_90
ENSMUST00000171795_90_90;ENSMUST00000171795_90_90;ENST00000260648_90_90:ENST00000409272_90_90:ENST00000409936_90_90:ENST00000410081_90_90:ENST00000425263_90_90:ENST00000426481_90_90
