;ENSCAFT00000017891_90_90;ENST00000265165_90_90;ENST00000379951_90_90;ENST00000438313_90_90;ENST00000504950_90_90;ENST00000506680_90_90;ENST00000510624_90_90;ENST00000512172_90_90;ENST00000515500_90_90;ENSMUST00000029611_90_90;ENSMUST00000066849_90_90;ENSMUST00000098611_90_90;ENSMUST00000106341_90_90
ENSCAFT00000017891_90_90;1.0;0.812;0.685;0.768;0.266;0.628;0.582;0.293;0.342;0.934;0.836;0.76;0.744
ENST00000265165_90_90;0.812;1.0;0.799;0.899;0.349;0.738;0.685;0.264;0.35;0.8;0.755;0.643;0.67
ENST00000379951_90_90;0.685;0.799;1.0;0.883;0.247;0.635;0.662;0.282;0.253;0.67;0.731;0.521;0.829
ENST00000438313_90_90;0.768;0.899;0.883;1.0;0.252;0.645;0.758;0.289;0.26;0.755;0.829;0.594;0.731
ENST00000504950_90_90;0.266;0.349;0.247;0.252;1.0;0.384;0.351;0.449;0.611;0.279;0.221;0.366;0.216
ENST00000506680_90_90;0.628;0.738;0.635;0.645;0.384;1.0;0.459;0.301;0.394;0.615;0.569;0.469;0.558
ENST00000510624_90_90;0.582;0.685;0.662;0.758;0.351;0.459;1.0;0.405;0.352;0.609;0.668;0.756;0.582
ENST00000512172_90_90;0.293;0.264;0.282;0.289;0.449;0.301;0.405;1.0;0.638;0.311;0.297;0.411;0.29
ENST00000515500_90_90;0.342;0.35;0.253;0.26;0.611;0.394;0.352;0.638;1.0;0.358;0.302;0.461;0.296
ENSMUST00000029611_90_90;0.934;0.8;0.67;0.755;0.279;0.615;0.609;0.311;0.358;1.0;0.893;0.81;0.79
ENSMUST00000066849_90_90;0.836;0.755;0.731;0.829;0.221;0.569;0.668;0.297;0.302;0.893;1.0;0.709;0.877
ENSMUST00000098611_90_90;0.76;0.643;0.521;0.594;0.366;0.469;0.756;0.411;0.461;0.81;0.709;1.0;0.621
ENSMUST00000106341_90_90;0.744;0.67;0.829;0.731;0.216;0.558;0.582;0.29;0.296;0.79;0.877;0.621;1.0
