;ENSCAFT00000028998_90_90;ENST00000587805_90_90;ENST00000588116_90_90;ENST00000589774_90_90;ENST00000590432_90_90;ENST00000590538_90_90;ENST00000591610_90_90;ENST00000592167_90_90;ENST00000593014_90_90;ENST00000610402_90_90;ENST00000612035_90_90;ENST00000612116_90_90;ENST00000614600_90_90;ENST00000616681_90_90;ENST00000616784_90_90;ENST00000618940_90_90;ENST00000620039_90_90;ENST00000621668_90_90;ENST00000621914_90_90;ENST00000628168_90_90;ENSMUST00000018875_90_90;ENSMUST00000065692_90_90;ENSMUST00000142680_90_90;ENSMUST00000176430_90_90;ENSMUST00000176523_90_90;ENSMUST00000176944_90_90
ENSCAFT00000028998_90_90;;0.146;0.107;0.122;0.042;0.063;0.063;0.063;0.103;0.838;0.581;0.581;0.581;0.808;0.551;0.838;0.026;0.55;0.809;0.063;0.594;0.586;0.114;0.594;0.571;0.276
ENST00000587805_90_90;0.146;;;;;;;;;;;;;;;;;;;;0.225;0.213;0.0;0.219;0.231;0.0
ENST00000588116_90_90;0.107;;;;;;;;;;;;;;;;;;;;0.099;0.1;0.0;0.099;0.102;0.0
ENST00000589774_90_90;0.122;;;;;;;;;;;;;;;;;;;;0.097;0.1;0.056;0.096;0.071;0.419
ENST00000590432_90_90;0.042;;;;;;;;;;;;;;;;;;;;0.034;0.035;0.083;0.034;0.035;0.146
ENST00000590538_90_90;0.063;;;;;;;;;;;;;;;;;;;;0.044;0.045;0.335;0.042;0.045;0.176
ENST00000591610_90_90;0.063;;;;;;;;;;;;;;;;;;;;0.044;0.045;0.335;0.042;0.045;0.176
ENST00000592167_90_90;0.063;;;;;;;;;;;;;;;;;;;;0.044;0.045;0.335;0.042;0.045;0.176
ENST00000593014_90_90;0.103;;;;;;;;;;;;;;;;;;;;0.081;0.083;0.061;0.08;0.055;0.35
ENST00000610402_90_90;0.838;;;;;;;;;;;;;;;;;;;;0.511;0.502;0.015;0.512;0.488;0.159
ENST00000612035_90_90;0.581;;;;;;;;;;;;;;;;;;;;0.493;0.483;0.02;0.487;0.467;0.214
ENST00000612116_90_90;0.581;;;;;;;;;;;;;;;;;;;;0.493;0.483;0.02;0.487;0.467;0.214
ENST00000614600_90_90;0.581;;;;;;;;;;;;;;;;;;;;0.493;0.483;0.02;0.487;0.467;0.214
ENST00000616681_90_90;0.808;;;;;;;;;;;;;;;;;;;;0.488;0.479;0.015;0.49;0.5;0.128
ENST00000616784_90_90;0.551;;;;;;;;;;;;;;;;;;;;0.472;0.462;0.021;0.467;0.446;0.223
ENST00000618940_90_90;0.838;;;;;;;;;;;;;;;;;;;;0.511;0.502;0.015;0.512;0.488;0.159
ENST00000620039_90_90;0.026;;;;;;;;;;;;;;;;;;;;0.018;0.018;0.165;0.017;0.018;0.082
ENST00000621668_90_90;0.55;;;;;;;;;;;;;;;;;;;;0.467;0.457;0.021;0.461;0.481;0.172
ENST00000621914_90_90;0.809;;;;;;;;;;;;;;;;;;;;0.492;0.483;0.016;0.494;0.47;0.163
ENST00000628168_90_90;0.063;;;;;;;;;;;;;;;;;;;;0.044;0.045;0.335;0.042;0.045;0.176
ENSMUST00000018875_90_90;0.594;0.225;0.099;0.097;0.034;0.044;0.044;0.044;0.081;0.511;0.493;0.493;0.493;0.488;0.472;0.511;0.018;0.467;0.492;0.044;;;;;;
ENSMUST00000065692_90_90;0.586;0.213;0.1;0.1;0.035;0.045;0.045;0.045;0.083;0.502;0.483;0.483;0.483;0.479;0.462;0.502;0.018;0.457;0.483;0.045;;;;;;
ENSMUST00000142680_90_90;0.114;0.0;0.0;0.056;0.083;0.335;0.335;0.335;0.061;0.015;0.02;0.02;0.02;0.015;0.021;0.015;0.165;0.021;0.016;0.335;;;;;;
ENSMUST00000176430_90_90;0.594;0.219;0.099;0.096;0.034;0.042;0.042;0.042;0.08;0.512;0.487;0.487;0.487;0.49;0.467;0.512;0.017;0.461;0.494;0.042;;;;;;
ENSMUST00000176523_90_90;0.571;0.231;0.102;0.071;0.035;0.045;0.045;0.045;0.055;0.488;0.467;0.467;0.467;0.5;0.446;0.488;0.018;0.481;0.47;0.045;;;;;;
ENSMUST00000176944_90_90;0.276;0.0;0.0;0.419;0.146;0.176;0.176;0.176;0.35;0.159;0.214;0.214;0.214;0.128;0.223;0.159;0.082;0.172;0.163;0.176;;;;;;
