;ENSCAFT00000038801_90_90;ENST00000313899_90_90;ENST00000352301_90_90;ENST00000353341_90_90;ENST00000503822_90_90;ENST00000507010_90_90;ENST00000509107_90_90;ENST00000509263_90_90;ENST00000513584_90_90;ENST00000514671_90_90;ENST00000515432_90_90;ENSMUST00000019128_90_90;ENSMUST00000072750_90_90;ENSMUST00000112939_90_90;ENSMUST00000164833_90_90;ENSMUST00000168396_90_90;ENSMUST00000170912_90_90;ENSMUST00000171106_90_90;ENSMUST00000171640_90_90;ENSMUST00000171786_90_90;ENSMUST00000172361_90_90
ENSCAFT00000038801_90_90;1.0;0.978;0.91;0.868;0.49;0.686;0.275;0.685;0.287;0.566;0.324;0.887;0.796;0.908;0.272;0.272;0.057;0.609;0.386;0.303;1.0
ENST00000313899_90_90;0.978;1.0;0.91;0.889;0.49;0.708;0.296;0.649;0.287;0.566;0.324;0.865;0.814;0.928;0.276;0.279;0.058;0.623;0.394;0.31;0.978
ENST00000352301_90_90;0.91;0.91;1.0;0.8;0.54;0.618;0.207;0.566;0.319;0.621;0.357;0.796;0.877;1.0;0.295;0.302;0.063;0.617;0.424;0.335;0.908
ENST00000353341_90_90;0.868;0.889;0.8;1.0;0.549;0.793;0.333;0.587;0.323;0.637;0.364;0.976;0.919;0.814;0.162;0.315;0.067;0.704;0.446;0.351;0.865
ENST00000503822_90_90;0.49;0.49;0.54;0.549;1.0;0.693;0.366;0.261;0.585;0.319;0.4;0.538;0.603;0.53;0.0;0.568;0.124;0.317;0.087;0.436;0.479
ENST00000507010_90_90;0.686;0.708;0.618;0.793;0.693;1.0;0.418;0.483;0.405;0.43;0.463;0.765;0.705;0.625;0.0;0.399;0.087;0.489;0.231;0.451;0.68
ENST00000509107_90_90;0.275;0.296;0.207;0.333;0.366;0.418;1.0;0.253;0.179;0.163;0.194;0.317;0.245;0.216;0.0;0.193;0.21;0.208;0.0;0.21;0.281
ENST00000509263_90_90;0.685;0.649;0.566;0.587;0.261;0.483;0.253;1.0;0.054;0.649;0.436;0.637;0.542;0.609;0.242;0.06;0.082;0.739;0.442;0.433;0.701
ENST00000513584_90_90;0.287;0.287;0.319;0.323;0.585;0.405;0.179;0.054;1.0;0.067;0.093;0.306;0.343;0.302;0.0;1.0;0.0;0.067;0.047;0.106;0.272
ENST00000514671_90_90;0.566;0.566;0.621;0.637;0.319;0.43;0.163;0.649;0.067;1.0;0.574;0.653;0.727;0.637;0.225;0.07;0.099;0.951;0.666;0.526;0.578
ENST00000515432_90_90;0.324;0.324;0.357;0.364;0.4;0.463;0.194;0.436;0.093;0.574;1.0;0.373;0.417;0.367;0.0;0.099;0.176;0.545;0.295;0.918;0.332
ENSMUST00000019128_90_90;0.887;0.865;0.796;0.976;0.538;0.765;0.317;0.637;0.306;0.653;0.373;1.0;0.901;0.8;0.157;0.323;0.064;0.67;0.427;0.335;0.889
ENSMUST00000072750_90_90;0.796;0.814;0.877;0.919;0.603;0.705;0.245;0.542;0.343;0.727;0.417;0.901;1.0;0.879;0.169;0.36;0.07;0.682;0.472;0.371;0.8
ENSMUST00000112939_90_90;0.908;0.928;1.0;0.814;0.53;0.625;0.216;0.609;0.302;0.637;0.367;0.8;0.879;1.0;0.29;0.319;0.061;0.601;0.413;0.326;0.91
ENSMUST00000164833_90_90;0.272;0.276;0.295;0.162;0.0;0.0;0.0;0.242;0.0;0.225;0.0;0.157;0.169;0.29;1.0;0.0;0.0;0.217;0.306;0.0;0.268
ENSMUST00000168396_90_90;0.272;0.279;0.302;0.315;0.568;0.399;0.193;0.06;1.0;0.07;0.099;0.323;0.36;0.319;0.0;1.0;0.0;0.064;0.045;0.1;0.287
ENSMUST00000170912_90_90;0.057;0.058;0.063;0.067;0.124;0.087;0.21;0.082;0.0;0.099;0.176;0.064;0.07;0.061;0.0;0.0;1.0;0.095;0.0;0.19;0.056
ENSMUST00000171106_90_90;0.609;0.623;0.617;0.704;0.317;0.489;0.208;0.739;0.067;0.951;0.545;0.67;0.682;0.601;0.217;0.064;0.095;1.0;0.634;0.499;0.595
ENSMUST00000171640_90_90;0.386;0.394;0.424;0.446;0.087;0.231;0.0;0.442;0.047;0.666;0.295;0.427;0.472;0.413;0.306;0.045;0.0;0.634;1.0;0.243;0.378
ENSMUST00000171786_90_90;0.303;0.31;0.335;0.351;0.436;0.451;0.21;0.433;0.106;0.526;0.918;0.335;0.371;0.326;0.0;0.1;0.19;0.499;0.243;1.0;0.297
ENSMUST00000172361_90_90;1.0;0.978;0.908;0.865;0.479;0.68;0.281;0.701;0.272;0.578;0.332;0.889;0.8;0.91;0.268;0.287;0.056;0.595;0.378;0.297;1.0
