;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript26_ENSMSIG00000000513;transcript26_MGP-PahariEiJ-G0020237;transcript41_ENSMSIG00000000513;transcript41_MGP-SPRETEiJ-G0021131;transcript43_ENSMSIG00000000513;transcript43_MGP-CAROLIEiJ-G0020234;transcript46_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript22_MGP-SPRETEiJ-G0021131;transcript22_MGP-CAROLIEiJ-G0020234;transcript36_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013592;transcript33_MGP-CAROLIEiJ-G0020234;transcript33_ENSRNOG00000031503;transcript33_ENSMUGG00000013592;transcript42_MGP-CAROLIEiJ-G0020234;transcript9_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript18_ENSMUGG00000013592;transcript19_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript23_ENSRNOG00000031503;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592
transcript7_ENSMSIG00000000513;1.0;0.623;0.514;0.512;0.867;0.79;0.867;0.442;0.74;0.514;0.74;0.521;0.454;0.447;0.456;0.434;0.331;0.419;0.3;0.355;0.342;0.327;0.331;0.449;0.393;0.399;0.427;0.43;0.43;0.408;0.408
transcript7_ENSMUSG00000054036;0.623;1.0;0.505;0.53;0.634;0.662;0.634;0.449;0.566;0.505;0.566;0.512;0.463;0.459;0.476;0.46;0.427;0.389;0.413;0.385;0.367;0.37;0.427;0.436;0.399;0.398;0.443;0.444;0.444;0.406;0.406
transcript26_ENSMSIG00000000513;0.514;0.505;1.0;1.0;0.593;0.637;0.593;0.444;0.72;1.0;0.72;0.986;0.876;0.875;0.881;0.866;0.698;0.829;0.658;0.649;0.719;0.613;0.698;0.904;0.83;0.815;0.891;0.869;0.869;0.824;0.824
transcript26_MGP-PahariEiJ-G0020237;0.512;0.53;1.0;1.0;0.591;0.661;0.591;0.451;0.72;1.0;0.72;0.986;0.997;0.992;1.0;0.975;0.785;0.882;0.75;0.717;0.764;0.686;0.785;0.98;0.988;0.99;0.988;0.98;0.98;1.0;1.0
transcript41_ENSMSIG00000000513;0.867;0.634;0.593;0.591;1.0;0.859;1.0;0.411;0.853;0.593;0.853;0.601;0.527;0.521;0.529;0.509;0.34;0.458;0.306;0.343;0.346;0.311;0.34;0.528;0.465;0.467;0.503;0.506;0.506;0.476;0.476
transcript41_MGP-SPRETEiJ-G0021131;0.79;0.662;0.637;0.661;0.859;1.0;0.859;0.417;0.8;0.637;0.8;0.642;0.52;0.518;0.525;0.508;0.336;0.428;0.302;0.378;0.315;0.342;0.336;0.502;0.443;0.438;0.502;0.502;0.502;0.446;0.446
transcript43_ENSMSIG00000000513;0.867;0.634;0.593;0.591;1.0;0.859;1.0;0.411;0.853;0.593;0.853;0.601;0.527;0.521;0.529;0.509;0.34;0.458;0.306;0.343;0.346;0.311;0.34;0.528;0.465;0.467;0.503;0.506;0.506;0.476;0.476
transcript43_MGP-CAROLIEiJ-G0020234;0.442;0.449;0.444;0.451;0.411;0.417;0.411;1.0;0.399;0.444;0.399;0.45;0.404;0.409;0.411;0.419;0.491;0.433;0.479;0.56;0.477;0.546;0.491;0.388;0.344;0.354;0.38;0.381;0.381;0.362;0.362
transcript46_ENSMSIG00000000513;0.74;0.566;0.72;0.72;0.853;0.8;0.853;0.399;1.0;0.72;1.0;0.707;0.612;0.605;0.613;0.595;0.425;0.548;0.388;0.434;0.436;0.398;0.425;0.616;0.583;0.58;0.629;0.591;0.591;0.589;0.589
transcript47_ENSMSIG00000000513;0.514;0.505;1.0;1.0;0.593;0.637;0.593;0.444;0.72;1.0;0.72;0.986;0.876;0.875;0.881;0.866;0.698;0.829;0.658;0.649;0.719;0.613;0.698;0.904;0.83;0.815;0.891;0.869;0.869;0.824;0.824
