id_transcript;recent-paralogs;ortho-orthologs;para-orthologs;#cluster
transcript7_ENSMSIG00000000513;null;null;null;0
transcript41_MGP-SPRETEiJ-G0021131;null;transcript43_ENSMSIG00000000513|0.859&transcript7_ENSMUSG00000054036|0.662&transcript41_ENSMSIG00000000513|0.859;null;1
transcript43_ENSMSIG00000000513;transcript41_ENSMSIG00000000513|1.0;transcript41_MGP-SPRETEiJ-G0021131|0.859&transcript7_ENSMUSG00000054036|0.634;null;1
transcript7_ENSMUSG00000054036;null;transcript41_MGP-SPRETEiJ-G0021131|0.662&transcript43_ENSMSIG00000000513|0.634&transcript41_ENSMSIG00000000513|0.634;null;1
transcript41_ENSMSIG00000000513;transcript43_ENSMSIG00000000513|1.0;transcript41_MGP-SPRETEiJ-G0021131|0.859&transcript7_ENSMUSG00000054036|0.634;null;1
transcript22_MGP-CAROLIEiJ-G0020234;null;transcript22_MGP-SPRETEiJ-G0021131|0.976&transcript21_ENSRNOG00000031503|0.942&transcript35_ENSMUGG00000013592|0.881&transcript26_MGP-PahariEiJ-G0020237|0.992&transcript36_ENSMUSG00000054036|0.982&transcript34_ENSMUGG00000013592|0.881&transcript23_ENSRNOG00000031503|0.942;null;2
transcript22_MGP-SPRETEiJ-G0021131;null;transcript22_MGP-CAROLIEiJ-G0020234|0.976&transcript35_ENSMUGG00000013592|0.917&transcript26_MGP-PahariEiJ-G0020237|0.997&transcript36_ENSMUSG00000054036|0.99&transcript34_ENSMUGG00000013592|0.917&transcript23_ENSRNOG00000031503|0.961&transcript19_ENSRNOG00000031503|0.961;null;2
transcript21_ENSRNOG00000031503;transcript23_ENSRNOG00000031503|1.0;transcript22_MGP-CAROLIEiJ-G0020234|0.942&transcript36_ENSMUSG00000054036|0.955;null;2
transcript35_ENSMUGG00000013592;transcript34_ENSMUGG00000013592|1.0;transcript22_MGP-CAROLIEiJ-G0020234|0.881&transcript22_MGP-SPRETEiJ-G0021131|0.917&transcript26_MGP-PahariEiJ-G0020237|1.0&transcript36_ENSMUSG00000054036|0.924&transcript47_ENSMSIG00000000513|0.824&transcript26_ENSMSIG00000000513|0.824;null;2
transcript26_MGP-PahariEiJ-G0020237;null;transcript22_MGP-CAROLIEiJ-G0020234|0.992&transcript22_MGP-SPRETEiJ-G0021131|0.997&transcript35_ENSMUGG00000013592|1.0&transcript36_ENSMUSG00000054036|1.0&transcript34_ENSMUGG00000013592|1.0&transcript47_ENSMSIG00000000513|1.0&transcript19_ENSRNOG00000031503|0.988&transcript26_ENSMSIG00000000513|1.0&transcript18_ENSRNOG00000031503|0.988;null;2
