;ENSCAFT00000031982_90_90;ENST00000373064_90_90;ENST00000373066_90_90;ENST00000373068_90_90;ENST00000373069_90_90;ENST00000432073_90_90;ENST00000466983_90_90;ENST00000472769_90_90;ENSMUST00000028160_90_90;ENSMUST00000052119_90_90;ENSMUST00000113307_90_90;ENSMUST00000113308_90_90;ENSMUST00000113310_90_90;ENSMUST00000127961_90_90;ENSMUST00000136361_90_90;ENSMUST00000153886_90_90
ENSCAFT00000031982_90_90;1.0;0.747;0.708;0.995;0.973;0.721;0.279;0.0;0.973;0.709;0.748;0.722;0.995;0.244;0.416;0.222
ENST00000373064_90_90;0.747;1.0;0.751;0.748;0.732;0.768;0.299;0.108;0.733;0.75;0.999;0.766;0.748;0.26;0.444;0.239
ENST00000373066_90_90;0.708;0.751;1.0;0.707;0.728;0.976;0.28;0.0;0.728;0.999;0.75;0.975;0.708;0.272;0.417;0.224
ENST00000373068_90_90;0.995;0.748;0.707;1.0;0.977;0.722;0.279;0.0;0.973;0.707;0.747;0.721;0.997;0.244;0.416;0.223
ENST00000373069_90_90;0.973;0.732;0.728;0.977;1.0;0.707;0.273;0.0;0.997;0.727;0.731;0.707;0.973;0.265;0.407;0.217
ENST00000432073_90_90;0.721;0.768;0.976;0.722;0.707;1.0;0.287;0.0;0.708;0.975;0.766;0.999;0.722;0.25;0.427;0.229
ENST00000466983_90_90;0.279;0.299;0.28;0.279;0.273;0.287;1.0;0.0;0.273;0.279;0.298;0.286;0.279;0.036;0.101;0.166
ENST00000472769_90_90;0.0;0.108;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.108;0.0;0.0;0.0;0.0;0.0
ENSMUST00000028160_90_90;0.973;0.733;0.728;0.973;0.997;0.708;0.273;0.0;1.0;0.729;0.734;0.709;0.977;0.266;0.408;0.218
ENSMUST00000052119_90_90;0.709;0.75;0.999;0.707;0.727;0.975;0.279;0.0;0.729;1.0;0.751;0.976;0.709;0.272;0.417;0.224
ENSMUST00000113307_90_90;0.748;0.999;0.75;0.747;0.731;0.766;0.298;0.108;0.734;0.751;1.0;0.768;0.75;0.26;0.444;0.239
ENSMUST00000113308_90_90;0.722;0.766;0.975;0.721;0.707;0.999;0.286;0.0;0.709;0.976;0.768;1.0;0.723;0.25;0.427;0.229
ENSMUST00000113310_90_90;0.995;0.748;0.708;0.997;0.973;0.722;0.279;0.0;0.977;0.709;0.75;0.723;1.0;0.244;0.417;0.223
ENSMUST00000127961_90_90;0.244;0.26;0.272;0.244;0.265;0.25;0.036;0.0;0.266;0.272;0.26;0.25;0.244;1.0;0.627;0.4
ENSMUST00000136361_90_90;0.416;0.444;0.417;0.416;0.407;0.427;0.101;0.0;0.408;0.417;0.444;0.427;0.417;0.627;1.0;0.426
ENSMUST00000153886_90_90;0.222;0.239;0.224;0.223;0.217;0.229;0.166;0.0;0.218;0.224;0.239;0.229;0.223;0.4;0.426;1.0
