;ENSCAFT00000021220_90_90;ENSCAFT00000044299_90_90;ENST00000356634_90_90;ENST00000400181_90_90;ENST00000465864_90_90;ENST00000494920_90_90;ENSMUST00000046846_90_90;ENSMUST00000105847_90_90;ENSMUST00000116273_90_90;ENSMUST00000155354_90_90;ENSMUST00000170979_90_90
ENSCAFT00000021220_90_90;1.0;0.924;0.878;0.956;0.3;0.277;0.723;0.935;0.903;0.335;0.329
ENSCAFT00000044299_90_90;0.924;1.0;0.95;0.878;0.333;0.297;0.78;0.943;0.976;0.367;0.294
ENST00000356634_90_90;0.878;0.95;1.0;0.903;0.335;0.284;0.75;0.893;0.924;0.366;0.304
ENST00000400181_90_90;0.956;0.878;0.903;1.0;0.296;0.262;0.68;0.872;0.839;0.321;0.365
ENST00000465864_90_90;0.3;0.333;0.335;0.296;1.0;0.294;0.369;0.295;0.307;0.426;0.044
ENST00000494920_90_90;0.277;0.297;0.284;0.262;0.294;1.0;0.371;0.293;0.304;0.057;0.0
ENSMUST00000046846_90_90;0.723;0.78;0.75;0.68;0.369;0.371;1.0;0.778;0.805;0.315;0.252
ENSMUST00000105847_90_90;0.935;0.943;0.893;0.872;0.295;0.293;0.778;1.0;0.966;0.331;0.281
ENSMUST00000116273_90_90;0.903;0.976;0.924;0.839;0.307;0.304;0.805;0.966;1.0;0.343;0.289
ENSMUST00000155354_90_90;0.335;0.367;0.366;0.321;0.426;0.057;0.315;0.331;0.343;1.0;0.299
ENSMUST00000170979_90_90;0.329;0.294;0.304;0.365;0.044;0.0;0.252;0.281;0.289;0.299;1.0
