;ENSCAFT00000003109_90_90;ENSCAFT00000045366_90_90;ENST00000340022_90_90;ENST00000394503_90_90;ENST00000394505_90_90;ENST00000394507_90_90;ENST00000412043_90_90;ENST00000413688_90_90;ENST00000422347_90_90;ENST00000425073_90_90;ENST00000425919_90_90;ENST00000430102_90_90;ENST00000433016_90_90;ENST00000440209_90_90;ENST00000444960_90_90;ENST00000445516_90_90;ENST00000452773_90_90;ENST00000454017_90_90;ENST00000458177_90_90;ENST00000458493_90_90;ENSMUST00000080085_90_90;ENSMUST00000171023_90_90;ENSMUST00000198079_90_90;ENSMUST00000200386_90_90;ENSMUST00000200577_90_90
ENSCAFT00000003109_90_90;1.0;0.907;0.887;0.977;0.887;0.887;0.887;0.21;0.064;0.031;0.118;0.253;0.406;0.286;0.092;0.14;0.155;0.368;0.517;0.184;0.926;0.857;0.285;0.916;0.561
ENSCAFT00000045366_90_90;0.907;1.0;0.98;0.887;0.98;0.98;0.98;0.187;0.057;0.028;0.106;0.227;0.365;0.256;0.083;0.232;0.14;0.331;0.465;0.164;1.0;0.932;0.263;0.849;0.599
ENST00000340022_90_90;0.887;0.98;1.0;0.907;1.0;1.0;1.0;0.187;0.057;0.028;0.106;0.227;0.385;0.256;0.083;0.232;0.14;0.302;0.485;0.164;0.978;0.91;0.27;0.828;0.577
ENST00000394503_90_90;0.977;0.887;0.907;1.0;0.907;0.907;0.907;0.21;0.064;0.031;0.118;0.253;0.429;0.286;0.092;0.14;0.155;0.335;0.54;0.184;0.905;0.837;0.293;0.893;0.539
ENST00000394505_90_90;0.887;0.98;1.0;0.907;1.0;1.0;1.0;0.187;0.057;0.028;0.106;0.227;0.385;0.256;0.083;0.232;0.14;0.302;0.485;0.164;0.978;0.91;0.27;0.828;0.577
ENST00000394507_90_90;0.887;0.98;1.0;0.907;1.0;1.0;1.0;0.187;0.057;0.028;0.106;0.227;0.385;0.256;0.083;0.232;0.14;0.302;0.485;0.164;0.978;0.91;0.27;0.828;0.577
ENST00000412043_90_90;0.887;0.98;1.0;0.907;1.0;1.0;1.0;0.187;0.057;0.028;0.106;0.227;0.385;0.256;0.083;0.232;0.14;0.302;0.485;0.164;0.978;0.91;0.27;0.828;0.577
ENST00000413688_90_90;0.21;0.187;0.187;0.21;0.187;0.187;0.187;1.0;0.324;0.155;0.559;0.792;0.457;0.699;0.46;0.0;0.775;0.531;0.361;0.902;0.193;0.209;0.651;0.229;0.3
ENST00000422347_90_90;0.064;0.057;0.057;0.064;0.057;0.057;0.057;0.324;1.0;0.484;0.579;0.253;0.145;0.223;0.701;0.0;0.415;0.168;0.114;0.357;0.059;0.064;0.206;0.07;0.093
ENST00000425073_90_90;0.031;0.028;0.028;0.031;0.028;0.028;0.028;0.155;0.484;1.0;0.278;0.122;0.07;0.107;0.338;0.0;0.201;0.081;0.055;0.172;0.029;0.031;0.1;0.034;0.045
ENST00000425919_90_90;0.118;0.106;0.106;0.118;0.106;0.106;0.106;0.559;0.579;0.278;1.0;0.445;0.257;0.392;0.823;0.0;0.728;0.299;0.203;0.623;0.11;0.118;0.366;0.13;0.169
