;transcript38_ENSRNOG00000031503;transcript38_ENSCGRG00015005362;transcript38_ENSCGRG00000018457;transcript38_ENSSTOG00000019743;transcript37_ENSMUGG00000013649;transcript37_ENSMUGG00000013592;transcript37_ENSCGRG00001010245;transcript37_ENSPEMG00000024651;transcript37_ENSSTOG00000019743;transcript57_ENSMUGG00000013649;transcript57_ENSPEMG00000024651;transcript58_ENSMUGG00000013649;transcript58_ENSPEMG00000024651;transcript59_ENSMUGG00000013649;transcript59_ENSPEMG00000024651;transcript51_ENSMUGG00000013592;transcript8_ENSCGRG00000018457;transcript8_ENSCGRG00015005362;transcript8_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript8_ENSSTOG00000019743;transcript9_ENSCGRG00015005362;transcript9_ENSPEMG00000024651;transcript54_ENSCGRG00015005362;transcript52_ENSCGRG00000018457;transcript52_ENSCGRG00001010245;transcript56_ENSCGRG00000018457;transcript56_ENSPEMG00000024651;transcript65_ENSCGRG00000018457;transcript33_ENSPEMG00000024651;transcript33_ENSNGAG00000018584;transcript39_ENSPEMG00000024651;transcript39_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript40_ENSSTOG00000019743
transcript38_ENSRNOG00000031503;1.0;1.0;1.0;1.0;0.913;0.943;0.972;0.905;0.944;0.822;0.742;0.894;0.835;0.867;0.879;0.921;0.768;0.783;0.754;0.76;0.808;1.0;0.958;0.951;0.919;0.919;0.946;0.883;0.919;0.958;0.953;0.891;0.919;0.992;0.992;0.992
transcript38_ENSCGRG00015005362;1.0;1.0;1.0;1.0;0.861;0.885;0.942;0.882;0.915;0.779;0.712;0.841;0.797;0.82;0.839;0.875;0.766;0.781;0.744;0.753;0.8;0.962;0.926;0.913;0.891;0.891;0.946;0.871;0.895;0.926;0.915;0.843;0.868;0.897;0.897;0.897
transcript38_ENSCGRG00000018457;1.0;1.0;1.0;1.0;0.85;0.873;0.935;0.877;0.909;0.772;0.704;0.831;0.789;0.812;0.831;0.867;0.766;0.781;0.744;0.754;0.8;0.95;0.915;0.904;0.879;0.879;0.946;0.868;0.887;0.915;0.904;0.84;0.863;0.89;0.89;0.89
transcript38_ENSSTOG00000019743;1.0;1.0;1.0;1.0;0.847;0.871;0.933;0.875;0.907;0.77;0.702;0.834;0.792;0.812;0.828;0.865;0.766;0.781;0.744;0.754;0.8;0.95;0.915;0.901;0.879;0.879;0.946;0.867;0.888;0.915;0.905;0.836;0.859;0.885;0.885;0.885
transcript37_ENSMUGG00000013649;0.913;0.861;0.85;0.847;1.0;0.996;0.924;0.883;0.925;0.833;0.782;0.879;0.869;0.861;0.846;0.926;0.619;0.637;0.606;0.617;0.644;0.88;0.83;0.912;0.803;0.806;0.81;0.754;0.792;0.83;0.851;0.854;0.89;0.838;0.838;0.838
transcript37_ENSMUGG00000013592;0.943;0.885;0.873;0.871;0.996;1.0;0.923;0.884;0.923;0.836;0.788;0.894;0.876;0.873;0.879;0.929;0.637;0.657;0.624;0.639;0.663;0.905;0.854;0.915;0.826;0.829;0.83;0.773;0.815;0.854;0.877;0.89;0.926;0.865;0.865;0.865
transcript37_ENSCGRG00001010245;0.972;0.942;0.935;0.933;0.924;0.923;1.0;0.96;0.989;0.83;0.766;0.888;0.852;0.869;0.857;0.91;0.706;0.729;0.692;0.694;0.738;0.956;0.913;0.976;0.887;0.883;0.899;0.839;0.875;0.913;0.916;0.869;0.897;0.92;0.92;0.92
transcript37_ENSPEMG00000024651;0.905;0.882;0.877;0.875;0.883;0.884;0.96;1.0;0.952;0.794;0.78;0.863;0.869;0.834;0.839;0.878;0.678;0.696;0.679;0.673;0.706;0.893;0.877;0.936;0.835;0.832;0.847;0.817;0.826;0.877;0.863;0.851;0.836;0.853;0.853;0.853
transcript37_ENSSTOG00000019743;0.944;0.915;0.909;0.907;0.925;0.923;0.989;0.952;1.0;0.832;0.761;0.897;0.854;0.873;0.824;0.916;0.686;0.703;0.668;0.672;0.714;0.931;0.887;0.976;0.863;0.86;0.871;0.813;0.853;0.887;0.894;0.831;0.865;0.89;0.89;0.89
transcript57_ENSMUGG00000013649;0.822;0.779;0.772;0.77;0.833;0.836;0.83;0.794;0.832;1.0;0.808;0.892;0.839;0.935;0.81;0.907;0.587;0.605;0.571;0.582;0.614;0.822;0.777;0.856;0.748;0.746;0.717;0.675;0.738;0.777;0.795;0.779;0.812;0.783;0.783;0.783
