;ENSCAFT00000018720_90_90;ENST00000347464_90_90;ENST00000373525_90_90;ENST00000392017_90_90;ENST00000392018_90_90;ENST00000392020_90_90;ENST00000392021_90_90;ENST00000417017_90_90;ENST00000419681_90_90;ENST00000431917_90_90;ENST00000444735_90_90;ENSMUST00000027512_90_90;ENSMUST00000113186_90_90;ENSMUST00000113190_90_90;ENSMUST00000144047_90_90
ENSCAFT00000018720_90_90;1.0;0.611;0.667;0.944;1.0;0.833;0.056;0.444;0.389;0.111;0.5;0.944;0.833;1.0;0.333
ENST00000347464_90_90;0.611;1.0;0.8;0.684;0.565;0.765;0.077;0.312;0.615;0.0;0.368;0.667;0.75;0.571;0.125
ENST00000373525_90_90;0.667;0.8;1.0;0.737;0.609;0.632;0.071;0.375;0.571;0.0;0.5;0.722;0.611;0.619;0.118
ENST00000392017_90_90;0.944;0.684;0.737;1.0;0.826;0.895;0.053;0.421;0.421;0.105;0.391;1.0;0.889;0.857;0.333
ENST00000392018_90_90;1.0;0.565;0.609;0.826;1.0;0.739;0.043;0.348;0.348;0.087;0.565;0.857;0.762;1.0;0.286
ENST00000392020_90_90;0.833;0.765;0.632;0.895;0.739;1.0;0.059;0.389;0.471;0.118;0.304;0.889;1.0;0.762;0.375
ENST00000392021_90_90;0.056;0.077;0.071;0.053;0.043;0.059;1.0;0.125;0.125;0.0;0.077;0.056;0.062;0.048;0.0
ENST00000417017_90_90;0.444;0.312;0.375;0.421;0.348;0.389;0.125;1.0;0.455;0.111;0.4;0.444;0.412;0.381;0.4
ENST00000419681_90_90;0.389;0.615;0.571;0.421;0.348;0.471;0.125;0.455;1.0;0.0;0.5;0.444;0.5;0.381;0.167
ENST00000431917_90_90;0.111;0.0;0.0;0.105;0.087;0.118;0.0;0.111;0.0;1.0;0.0;0.111;0.125;0.095;0.333
ENST00000444735_90_90;0.5;0.368;0.5;0.391;0.565;0.304;0.077;0.4;0.5;0.0;1.0;0.429;0.333;0.571;0.125
ENSMUST00000027512_90_90;0.944;0.667;0.722;1.0;0.857;0.889;0.056;0.444;0.444;0.111;0.429;1.0;0.9;0.87;0.3
ENSMUST00000113186_90_90;0.833;0.75;0.611;0.889;0.762;1.0;0.062;0.412;0.5;0.125;0.333;0.9;1.0;0.783;0.333
ENSMUST00000113190_90_90;1.0;0.571;0.619;0.857;1.0;0.762;0.048;0.381;0.381;0.095;0.571;0.87;0.783;1.0;0.261
ENSMUST00000144047_90_90;0.333;0.125;0.118;0.333;0.286;0.375;0.0;0.4;0.167;0.333;0.125;0.3;0.333;0.261;1.0
