;ENSCAFT00000049128_90_90;ENST00000315660_90_90;ENST00000372382_90_90;ENST00000372383_90_90;ENST00000372384_90_90;ENST00000372390_90_90;ENST00000372397_90_90;ENST00000480691_90_90;ENST00000486554_90_90;ENST00000502650_90_90;ENST00000502961_90_90;ENST00000503515_90_90;ENST00000505965_90_90;ENST00000506081_90_90;ENST00000506724_90_90;ENST00000510887_90_90;ENST00000514426_90_90;ENST00000514897_90_90;ENSMUST00000055738_90_90;ENSMUST00000112996_90_90;ENSMUST00000123898_90_90
ENSCAFT00000049128_90_90;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000315660_90_90;0.0;1.0;0.406;1.0;1.0;0.264;0.385;0.675;0.085;0.606;0.329;0.135;0.448;1.0;0.514;0.641;0.619;0.71;0.342;0.841;0.362
ENST00000372382_90_90;0.0;0.406;1.0;0.406;0.406;0.479;0.643;0.108;0.155;0.045;0.0;0.212;0.0;0.406;0.0;0.077;0.621;0.153;0.55;0.387;0.744
ENST00000372383_90_90;0.0;1.0;0.406;1.0;1.0;0.264;0.385;0.675;0.085;0.606;0.329;0.135;0.448;1.0;0.514;0.641;0.619;0.71;0.342;0.841;0.362
ENST00000372384_90_90;0.0;1.0;0.406;1.0;1.0;0.264;0.385;0.675;0.085;0.606;0.329;0.135;0.448;1.0;0.514;0.641;0.619;0.71;0.342;0.841;0.362
ENST00000372390_90_90;0.0;0.264;0.479;0.264;0.264;1.0;0.418;0.0;0.414;0.0;0.0;0.0;0.0;0.264;0.0;0.0;0.41;0.0;0.401;0.272;0.459
ENST00000372397_90_90;0.0;0.385;0.643;0.385;0.385;0.418;1.0;0.104;0.136;0.043;0.0;0.434;0.0;0.385;0.0;0.074;0.578;0.149;0.776;0.366;0.55
ENST00000480691_90_90;0.0;0.675;0.108;0.675;0.675;0.0;0.104;1.0;0.0;0.901;0.486;0.11;0.665;0.675;0.767;0.953;0.294;0.905;0.101;0.572;0.105
ENST00000486554_90_90;0.0;0.085;0.155;0.085;0.085;0.414;0.136;0.0;1.0;0.0;0.0;0.0;0.0;0.085;0.0;0.0;0.133;0.0;0.13;0.088;0.148
ENST00000502650_90_90;0.0;0.606;0.045;0.606;0.606;0.0;0.043;0.901;0.0;1.0;0.541;0.046;0.738;0.606;0.851;0.946;0.225;0.82;0.041;0.506;0.043
ENST00000502961_90_90;0.0;0.329;0.0;0.329;0.329;0.0;0.0;0.486;0.0;0.541;1.0;0.0;0.733;0.329;0.638;0.512;0.0;0.439;0.0;0.238;0.0
ENST00000503515_90_90;0.0;0.135;0.212;0.135;0.135;0.0;0.434;0.11;0.0;0.046;0.0;1.0;0.0;0.135;0.0;0.079;0.197;0.185;0.354;0.144;0.201
ENST00000505965_90_90;0.0;0.448;0.0;0.448;0.448;0.0;0.0;0.665;0.0;0.738;0.733;0.0;1.0;0.448;0.869;0.698;0.068;0.604;0.0;0.353;0.0
ENST00000506081_90_90;0.0;1.0;0.406;1.0;1.0;0.264;0.385;0.675;0.085;0.606;0.329;0.135;0.448;1.0;0.514;0.641;0.619;0.71;0.342;0.841;0.362
ENST00000506724_90_90;0.0;0.514;0.0;0.514;0.514;0.0;0.0;0.767;0.0;0.851;0.638;0.0;0.869;0.514;1.0;0.805;0.134;0.699;0.0;0.418;0.0
ENST00000510887_90_90;0.0;0.641;0.077;0.641;0.641;0.0;0.074;0.953;0.0;0.946;0.512;0.079;0.698;0.641;0.805;1.0;0.261;0.863;0.072;0.54;0.075
ENST00000514426_90_90;0.0;0.619;0.621;0.619;0.619;0.41;0.578;0.294;0.133;0.225;0.0;0.197;0.068;0.619;0.134;0.261;1.0;0.34;0.497;0.604;0.537
ENST00000514897_90_90;0.0;0.71;0.153;0.71;0.71;0.0;0.149;0.905;0.0;0.82;0.439;0.185;0.604;0.71;0.699;0.863;0.34;1.0;0.118;0.57;0.121
ENSMUST00000055738_90_90;0.0;0.342;0.55;0.342;0.342;0.401;0.776;0.101;0.13;0.041;0.0;0.354;0.0;0.342;0.0;0.072;0.497;0.118;1.0;0.436;0.659
ENSMUST00000112996_90_90;0.0;0.841;0.387;0.841;0.841;0.272;0.366;0.572;0.088;0.506;0.238;0.144;0.353;0.841;0.418;0.54;0.604;0.57;0.436;1.0;0.459
ENSMUST00000123898_90_90;0.0;0.362;0.744;0.362;0.362;0.459;0.55;0.105;0.148;0.043;0.0;0.201;0.0;0.362;0.0;0.075;0.537;0.121;0.659;0.459;1.0
