family ID;No. of total genes;No. of total transcripts;No. of total speciation nodes(1:1 orthologs);No. of total duplication nodes(1:1 paralogs)
ENSGT00530000063205;19(3-3-3-3-4-3);54(19-11-6-3-10-5);7(16/171);11(155/171)
ENSGT00390000008371;12(2-2-2-2-2-2);32(11-9-3-3-3-3);8(51/66);3(15/66)
ENSGT00390000000715;6(1-1-1-1-1-1);17(6-4-4-1-1-1);4(9/15);1(6/15)
ENSGT00940000157909;6(1-1-1-1-1-1);47(17-13-5-3-4-5);5(15/15);0(0/15)
ENSGT00530000063187;17(3-3-3-3-3-2);34(8-6-7-6-4-3);11(24/136);5(112/136)
ENSGT00950000182978;24(4-4-4-4-4-4);116(34-20-19-11-18-14);18(160/276);5(116/276)
ENSGT00950000182681;43(8-7-7-7-7-7);104(26-24-19-8-16-11);20(50/903);22(853/903)
ENSGT00950000182875;37(7-7-5-5-5-8);77(26-14-10-6-10-11);21(244/666);15(422/666)
ENSGT00950000182728;35(6-6-6-6-6-5);112(31-13-15-30-12-11);22(56/595);12(539/595)
ENSGT00950000182931;24(4-4-4-4-4-4);116(57-15-18-9-9-8);16(45/276);7(231/276)
ENSGT00950000182705;39(7-7-6-6-6-7);158(60-41-14-10-19-14);19(38/741);19(703/741)
ENSGT00530000063023;23(4-4-4-4-4-3);65(26-11-12-5-6-5);14(42/253);8(211/253)
ENSGT00940000153241;14(2-2-3-3-2-2);23(3-4-7-4-3-2);9(37/91);4(54/91)
ENSGT00950000182956;23(4-4-4-4-4-3);109(25-29-21-9-15-10);12(131/253);10(122/253)
ENSGT00950000182783;29(5-5-4-5-5-5);97(40-22-9-9-7-10);19(58/406);9(348/406)
ENSGT00950000183192;19(4-3-3-3-3-3);85(50-9-7-5-8-6);10(105/171);8(66/171)
ENSGT00950000182727;30(5-5-5-5-5-5);121(23-15-21-26-23-13);21(271/435);8(164/435)
ENSGT00390000004965;6(1-1-1-1-1-1);8(2-1-2-1-1-1);5(15/15);0(0/15)
ENSGT00390000003967;6(1-1-1-1-1-1);13(3-2-4-1-2-1);5(15/15);0(0/15)
ENSGT00390000005532;6(1-1-1-1-1-1);14(5-2-2-1-2-2);1(5/15);4(10/15)
