;ENSCAFT00000017221_90_90;ENSCAFT00000027149_90_90;ENST00000256062_90_90;ENST00000539277_90_90;ENST00000550354_90_90;ENST00000551659_90_90;ENST00000552618_90_90;ENST00000373701_90_90;ENST00000373719_90_90;ENST00000444774_90_90;ENSMUST00000060095_90_90;ENSMUST00000100772_90_90;ENSMUST00000140797_90_90;ENSMUST00000203991_90_90;ENSMUST00000044475_90_90;ENSMUST00000119299_90_90
ENSCAFT00000017221_90_90;1.0;0.831;0.609;0.606;0.083;0.667;0.635;0.83;0.828;0.14;0.663;0.616;0.481;0.154;0.828;0.829
ENSCAFT00000027149_90_90;0.831;1.0;0.657;0.69;0.079;0.746;0.723;0.975;0.99;0.164;0.707;0.667;0.51;0.195;0.994;0.98
ENST00000256062_90_90;0.609;0.657;1.0;0.874;0.115;0.808;0.78;0.671;0.654;0.264;0.778;0.766;0.5;0.244;0.654;0.671
ENST00000539277_90_90;0.606;0.69;0.874;1.0;0.101;0.925;0.897;0.672;0.695;0.271;0.81;0.798;0.495;0.256;0.7;0.678
ENST00000550354_90_90;0.083;0.079;0.115;0.101;1.0;0.093;0.065;0.08;0.079;0.0;0.099;0.069;0.161;0.0;0.079;0.08
ENST00000551659_90_90;0.667;0.746;0.808;0.925;0.093;1.0;0.972;0.728;0.75;0.278;0.885;0.874;0.573;0.235;0.756;0.734
ENST00000552618_90_90;0.635;0.723;0.78;0.897;0.065;0.972;1.0;0.706;0.728;0.287;0.866;0.891;0.551;0.24;0.733;0.711
ENST00000373701_90_90;0.83;0.975;0.671;0.672;0.08;0.728;0.706;1.0;0.984;0.153;0.734;0.694;0.483;0.171;0.984;1.0
ENST00000373719_90_90;0.828;0.99;0.654;0.695;0.079;0.75;0.728;0.984;1.0;0.162;0.727;0.688;0.497;0.186;1.0;0.984
ENST00000444774_90_90;0.14;0.164;0.264;0.271;0.0;0.278;0.287;0.153;0.162;1.0;0.259;0.274;0.419;0.865;0.162;0.154
ENSMUST00000060095_90_90;0.663;0.707;0.778;0.81;0.099;0.885;0.866;0.734;0.727;0.259;1.0;0.965;0.552;0.212;0.727;0.734
ENSMUST00000100772_90_90;0.616;0.667;0.766;0.798;0.069;0.874;0.891;0.694;0.688;0.274;0.965;1.0;0.518;0.22;0.688;0.694
ENSMUST00000140797_90_90;0.481;0.51;0.5;0.495;0.161;0.573;0.551;0.483;0.497;0.419;0.552;0.518;1.0;0.367;0.501;0.486
ENSMUST00000203991_90_90;0.154;0.195;0.244;0.256;0.0;0.235;0.24;0.171;0.186;0.865;0.212;0.22;0.367;1.0;0.19;0.174
ENSMUST00000044475_90_90;0.828;0.994;0.654;0.7;0.079;0.756;0.733;0.984;1.0;0.162;0.727;0.688;0.501;0.19;1.0;0.984
ENSMUST00000119299_90_90;0.829;0.98;0.671;0.678;0.08;0.734;0.711;1.0;0.984;0.154;0.734;0.694;0.486;0.174;0.984;1.0
