;ENSCAFT00000028827_90_90;ENST00000269137_90_90;ENST00000269138_90_90;ENST00000415083_90_90;ENST00000539244_90_90;ENST00000542420_90_90;ENST00000577572_90_90;ENST00000577636_90_90;ENST00000578700_90_90;ENST00000578954_90_90;ENST00000579061_90_90;ENST00000579640_90_90;ENST00000580642_90_90;ENST00000580751_90_90;ENST00000581021_90_90;ENST00000581570_90_90;ENST00000582448_90_90;ENST00000582792_90_90;ENST00000584083_90_90;ENST00000585121_90_90;ENSMUST00000040924_90_90;ENSMUST00000040964_90_90;ENSMUST00000092041_90_90
ENSCAFT00000028827_90_90;;0.862;0.172;0.932;0.115;0.901;0.117;0.165;0.063;0.118;0.467;0.119;0.119;0.118;0.262;0.118;0.064;0.114;0.406;0.116;0.932;0.744;0.862
ENST00000269137_90_90;0.862;;;;;;;;;;;;;;;;;;;;0.927;0.732;1.0
ENST00000269138_90_90;0.172;;;;;;;;;;;;;;;;;;;;0.216;0.27;0.233
ENST00000415083_90_90;0.932;;;;;;;;;;;;;;;;;;;;1.0;0.804;0.927
ENST00000539244_90_90;0.115;;;;;;;;;;;;;;;;;;;;0.156;0.196;0.169
ENST00000542420_90_90;0.901;;;;;;;;;;;;;;;;;;;;0.901;0.706;0.829
ENST00000577572_90_90;0.117;;;;;;;;;;;;;;;;;;;;0.155;0.192;0.167
ENST00000577636_90_90;0.165;;;;;;;;;;;;;;;;;;;;0.165;0.204;0.176
ENST00000578700_90_90;0.063;;;;;;;;;;;;;;;;;;;;0.063;0.077;0.067
ENST00000578954_90_90;0.118;;;;;;;;;;;;;;;;;;;;0.157;0.194;0.168
ENST00000579061_90_90;0.467;;;;;;;;;;;;;;;;;;;;0.467;0.366;0.504
ENST00000579640_90_90;0.119;;;;;;;;;;;;;;;;;;;;0.157;0.194;0.168
ENST00000580642_90_90;0.119;;;;;;;;;;;;;;;;;;;;0.157;0.194;0.168
ENST00000580751_90_90;0.118;;;;;;;;;;;;;;;;;;;;0.157;0.194;0.168
ENST00000581021_90_90;0.262;;;;;;;;;;;;;;;;;;;;0.262;0.329;0.283
ENST00000581570_90_90;0.118;;;;;;;;;;;;;;;;;;;;0.157;0.194;0.168
ENST00000582448_90_90;0.064;;;;;;;;;;;;;;;;;;;;0.064;0.078;0.068
ENST00000582792_90_90;0.114;;;;;;;;;;;;;;;;;;;;0.152;0.188;0.164
ENST00000584083_90_90;0.406;;;;;;;;;;;;;;;;;;;;0.406;0.392;0.438
ENST00000585121_90_90;0.116;;;;;;;;;;;;;;;;;;;;0.153;0.189;0.165
ENSMUST00000040924_90_90;0.932;0.927;0.216;1.0;0.156;0.901;0.155;0.165;0.063;0.157;0.467;0.157;0.157;0.157;0.262;0.157;0.064;0.152;0.406;0.153;;;
ENSMUST00000040964_90_90;0.744;0.732;0.27;0.804;0.196;0.706;0.192;0.204;0.077;0.194;0.366;0.194;0.194;0.194;0.329;0.194;0.078;0.188;0.392;0.189;;;
ENSMUST00000092041_90_90;0.862;1.0;0.233;0.927;0.169;0.829;0.167;0.176;0.067;0.168;0.504;0.168;0.168;0.168;0.283;0.168;0.068;0.164;0.438;0.165;;;
