;ENSCAFT00000017221_90_90;ENSCAFT00000027149_90_90;ENST00000256062_90_90;ENST00000539277_90_90;ENST00000550354_90_90;ENST00000551659_90_90;ENST00000552618_90_90;ENST00000373701_90_90;ENST00000373719_90_90;ENST00000444774_90_90;ENSMUST00000060095_90_90;ENSMUST00000100772_90_90;ENSMUST00000140797_90_90;ENSMUST00000203991_90_90;ENSMUST00000044475_90_90;ENSMUST00000119299_90_90
ENSCAFT00000017221_90_90;1.0;1.0;0.738;0.916;0.131;0.991;0.981;0.971;1.0;0.382;0.99;0.981;0.638;0.238;1.0;0.971
ENSCAFT00000027149_90_90;1.0;1.0;0.794;0.926;0.147;0.985;0.971;0.957;1.0;0.326;0.985;0.97;0.612;0.209;1.0;0.957
ENST00000256062_90_90;0.738;0.794;1.0;0.792;0.159;0.734;0.725;0.818;0.794;0.27;0.726;0.717;0.629;0.287;0.794;0.818
ENST00000539277_90_90;0.916;0.926;0.792;1.0;0.126;0.927;0.917;0.897;0.926;0.328;0.906;0.896;0.547;0.258;0.926;0.897
ENST00000550354_90_90;0.131;0.147;0.159;0.126;1.0;0.117;0.108;0.152;0.147;0.0;0.133;0.124;0.209;0.0;0.147;0.152
ENST00000551659_90_90;0.991;0.985;0.734;0.927;0.117;1.0;0.991;0.956;0.985;0.388;0.981;0.972;0.623;0.238;0.985;0.956
ENST00000552618_90_90;0.981;0.971;0.725;0.917;0.108;0.991;1.0;0.941;0.971;0.394;0.972;0.981;0.613;0.24;0.971;0.941
ENST00000373701_90_90;0.971;0.957;0.818;0.897;0.152;0.956;0.941;1.0;0.957;0.311;0.955;0.94;0.631;0.215;0.957;1.0
ENST00000373719_90_90;1.0;1.0;0.794;0.926;0.147;0.985;0.971;0.957;1.0;0.326;0.985;0.97;0.612;0.209;1.0;0.957
ENST00000444774_90_90;0.382;0.326;0.27;0.328;0.0;0.388;0.394;0.311;0.326;1.0;0.379;0.385;0.467;0.56;0.326;0.311
ENSMUST00000060095_90_90;0.99;0.985;0.726;0.906;0.133;0.981;0.972;0.955;0.985;0.379;1.0;0.991;0.618;0.241;0.985;0.955
ENSMUST00000100772_90_90;0.981;0.97;0.717;0.896;0.124;0.972;0.981;0.94;0.97;0.385;0.991;1.0;0.609;0.243;0.97;0.94
ENSMUST00000140797_90_90;0.638;0.612;0.629;0.547;0.209;0.623;0.613;0.631;0.612;0.467;0.618;0.609;1.0;0.38;0.612;0.631
ENSMUST00000203991_90_90;0.238;0.209;0.287;0.258;0.0;0.238;0.24;0.215;0.209;0.56;0.241;0.243;0.38;1.0;0.209;0.215
ENSMUST00000044475_90_90;1.0;1.0;0.794;0.926;0.147;0.985;0.971;0.957;1.0;0.326;0.985;0.97;0.612;0.209;1.0;0.957
ENSMUST00000119299_90_90;0.971;0.957;0.818;0.897;0.152;0.956;0.941;1.0;0.957;0.311;0.955;0.94;0.631;0.215;0.957;1.0
