;ENSCAFT00000015963_90_90;ENST00000285737_90_90;ENST00000416006_90_90;ENST00000535754_90_90;ENST00000565867_90_90;ENST00000566755_90_90;ENST00000570174_90_90;ENSMUST00000034141_90_90;ENSMUST00000121673_90_90;ENSMUST00000122188_90_90;ENSMUST00000155433_90_90;ENSMUST00000163987_90_90
ENSCAFT00000015963_90_90;1.0;0.935;0.534;0.881;0.301;0.245;0.21;0.708;0.251;0.554;0.897;0.251
ENST00000285737_90_90;0.935;1.0;0.464;0.956;0.394;0.22;0.168;0.816;0.289;0.639;0.944;0.289
ENST00000416006_90_90;0.534;0.464;1.0;0.487;0.02;0.291;0.406;0.781;0.349;0.675;0.857;0.349
ENST00000535754_90_90;0.881;0.956;0.487;1.0;0.41;0.176;0.175;0.726;0.321;0.625;0.847;0.321
ENST00000565867_90_90;0.301;0.394;0.02;0.41;1.0;0.0;0.0;0.042;0.1;0.052;0.079;0.1
ENST00000566755_90_90;0.245;0.22;0.291;0.176;0.0;1.0;0.043;0.354;0.0;0.225;0.394;0.0
ENST00000570174_90_90;0.21;0.168;0.406;0.175;0.0;0.043;1.0;0.349;0.14;0.349;0.361;0.14
ENSMUST00000034141_90_90;0.708;0.816;0.781;0.726;0.042;0.354;0.349;1.0;0.441;0.823;0.715;0.441
ENSMUST00000121673_90_90;0.251;0.289;0.349;0.321;0.1;0.0;0.14;0.441;1.0;0.535;0.244;1.0
ENSMUST00000122188_90_90;0.554;0.639;0.675;0.625;0.052;0.225;0.349;0.823;0.535;1.0;0.564;0.535
ENSMUST00000155433_90_90;0.897;0.944;0.857;0.847;0.079;0.394;0.361;0.715;0.244;0.564;1.0;0.244
ENSMUST00000163987_90_90;0.251;0.289;0.349;0.321;0.1;0.0;0.14;0.441;1.0;0.535;0.244;1.0
