;ENSCAFT00000020949_90_90;ENST00000258909_90_90;ENST00000322019_90_90;ENST00000379384_90_90;ENST00000379390_90_90;ENST00000561551_90_90;ENST00000565774_90_90;ENST00000565982_90_90;ENSMUST00000041890_90_90;ENSMUST00000119543_90_90;ENSMUST00000126334_90_90
ENSCAFT00000020949_90_90;1.0;0.263;0.7;0.263;0.4;0.111;0.6;0.278;0.889;0.706;0.333
ENST00000258909_90_90;0.263;1.0;0.412;0.75;0.636;0.0;0.467;0.083;0.333;0.118;0.556
ENST00000322019_90_90;0.7;0.412;1.0;0.333;0.647;0.111;0.882;0.353;0.789;0.611;0.333
ENST00000379384_90_90;0.263;0.75;0.333;1.0;0.5;0.0;0.375;0.083;0.333;0.118;0.556
ENST00000379390_90_90;0.4;0.636;0.647;0.5;1.0;0.077;0.733;0.214;0.474;0.278;0.385
ENST00000561551_90_90;0.111;0.0;0.111;0.0;0.077;1.0;0.125;0.0;0.111;0.154;0.0
ENST00000565774_90_90;0.6;0.467;0.882;0.375;0.733;0.125;1.0;0.312;0.684;0.5;0.375
ENST00000565982_90_90;0.278;0.083;0.353;0.083;0.214;0.0;0.312;1.0;0.278;0.385;0.182
ENSMUST00000041890_90_90;0.889;0.333;0.789;0.333;0.474;0.111;0.684;0.278;1.0;0.706;0.412
ENSMUST00000119543_90_90;0.706;0.118;0.611;0.118;0.278;0.154;0.5;0.385;0.706;1.0;0.118
ENSMUST00000126334_90_90;0.333;0.556;0.333;0.556;0.385;0.0;0.375;0.182;0.412;0.118;1.0
