;ENSCAFT00000019414_90_90;ENST00000329235_90_90;ENST00000380291_90_90;ENST00000450644_90_90;ENST00000452376_90_90;ENST00000545766_90_90;ENSMUST00000033734_90_90;ENSMUST00000069041_90_90;ENSMUST00000112294_90_90;ENSMUST00000140845_90_90
ENSCAFT00000019414_90_90;1.0;1.0;0.739;0.568;0.655;0.907;1.0;0.907;0.739;0.428
ENST00000329235_90_90;1.0;1.0;0.739;0.568;0.655;0.907;1.0;0.907;0.739;0.428
ENST00000380291_90_90;0.739;0.739;1.0;0.56;0.647;0.684;0.739;0.684;1.0;0.423
ENST00000450644_90_90;0.568;0.568;0.56;1.0;0.612;0.537;0.568;0.537;0.56;0.494
ENST00000452376_90_90;0.655;0.655;0.647;0.612;1.0;0.612;0.655;0.612;0.647;0.683
ENST00000545766_90_90;0.907;0.907;0.684;0.537;0.612;1.0;0.907;1.0;0.684;0.411
ENSMUST00000033734_90_90;1.0;1.0;0.739;0.568;0.655;0.907;1.0;0.907;0.739;0.428
ENSMUST00000069041_90_90;0.907;0.907;0.684;0.537;0.612;1.0;0.907;1.0;0.684;0.411
ENSMUST00000112294_90_90;0.739;0.739;1.0;0.56;0.647;0.684;0.739;0.684;1.0;0.423
ENSMUST00000140845_90_90;0.428;0.428;0.423;0.494;0.683;0.411;0.428;0.411;0.423;1.0
