;transcript42_ENSMUGG00000013649;transcript37_ENSCGRG00000018457;transcript31_ENSCGRG00001010245;transcript37_ENSCGRG00001010245;transcript49_ENSCGRG00001010245;transcript50_ENSCGRG00001010245;transcript51_ENSCGRG00001010245;transcript7_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript42_ENSPEMG00000024651;transcript43_ENSPEMG00000024651
transcript42_ENSMUGG00000013649;1.0;1.0;1.0;0.833;0.75;0.917;0.917;0.917;1.0;0.917;1.0
transcript37_ENSCGRG00000018457;1.0;1.0;1.0;1.0;0.909;0.909;0.909;1.0;1.0;0.909;1.0
transcript31_ENSCGRG00001010245;1.0;1.0;1.0;0.846;0.769;0.923;0.923;0.923;1.0;0.923;1.0
transcript37_ENSCGRG00001010245;0.833;1.0;0.846;1.0;0.909;0.769;0.769;0.917;0.846;0.769;0.846
transcript49_ENSCGRG00001010245;0.75;0.909;0.769;0.909;1.0;0.692;0.692;0.833;0.769;0.692;0.769
transcript50_ENSCGRG00001010245;0.917;0.909;0.923;0.769;0.692;1.0;0.846;0.846;0.923;0.846;0.923
transcript51_ENSCGRG00001010245;0.917;0.909;0.923;0.769;0.692;0.846;1.0;0.846;0.923;0.846;0.923
transcript7_ENSPEMG00000024651;0.917;1.0;0.923;0.917;0.833;0.846;0.846;1.0;0.923;0.846;0.923
transcript31_ENSPEMG00000024651;1.0;1.0;1.0;0.846;0.769;0.923;0.923;0.923;1.0;0.923;1.0
transcript42_ENSPEMG00000024651;0.917;0.909;0.923;0.769;0.692;0.846;0.846;0.846;0.923;1.0;0.923
transcript43_ENSPEMG00000024651;1.0;1.0;1.0;0.846;0.769;0.923;0.923;0.923;1.0;0.923;1.0
