;ENSCAFT00000023019_90_90;ENST00000221222_90_90;ENST00000392351_90_90;ENST00000433218_90_90;ENST00000539827_90_90;ENST00000542541_90_90;ENST00000594439_90_90;ENST00000594794_90_90;ENST00000596482_90_90;ENST00000599097_90_90;ENST00000600077_90_90;ENSMUST00000003669_90_90;ENSMUST00000087467_90_90;ENSMUST00000110124_90_90;ENSMUST00000135368_90_90;ENSMUST00000140212_90_90
ENSCAFT00000023019_90_90;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.429;0.302;0.429;0.06;0.432
ENST00000221222_90_90;0.0;1.0;0.992;1.0;0.992;0.992;0.892;0.413;0.68;0.239;0.421;0.0;0.0;0.0;0.0;0.0
ENST00000392351_90_90;0.0;0.992;1.0;0.992;1.0;1.0;0.9;0.421;0.674;0.237;0.417;0.0;0.0;0.0;0.0;0.0
ENST00000433218_90_90;0.0;1.0;0.992;1.0;0.992;0.992;0.892;0.413;0.68;0.239;0.421;0.0;0.0;0.0;0.0;0.0
ENST00000539827_90_90;0.0;0.992;1.0;0.992;1.0;1.0;0.9;0.421;0.674;0.237;0.417;0.0;0.0;0.0;0.0;0.0
ENST00000542541_90_90;0.0;0.992;1.0;0.992;1.0;1.0;0.9;0.421;0.674;0.237;0.417;0.0;0.0;0.0;0.0;0.0
ENST00000594439_90_90;0.0;0.892;0.9;0.892;0.9;0.9;1.0;0.468;0.574;0.264;0.318;0.0;0.0;0.0;0.0;0.0
ENST00000594794_90_90;0.0;0.413;0.421;0.413;0.421;0.421;0.468;1.0;0.095;0.02;0.016;0.0;0.0;0.0;0.0;0.0
ENST00000596482_90_90;0.0;0.68;0.674;0.68;0.674;0.674;0.574;0.095;1.0;0.352;0.619;0.0;0.0;0.0;0.0;0.0
ENST00000599097_90_90;0.0;0.239;0.237;0.239;0.237;0.237;0.264;0.02;0.352;1.0;0.569;0.0;0.0;0.0;0.0;0.0
ENST00000600077_90_90;0.0;0.421;0.417;0.421;0.417;0.417;0.318;0.016;0.619;0.569;1.0;0.0;0.0;0.0;0.0;0.0
ENSMUST00000003669_90_90;0.429;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.266;1.0;0.257;0.992
ENSMUST00000087467_90_90;0.302;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.266;1.0;0.266;0.0;0.268
ENSMUST00000110124_90_90;0.429;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.266;1.0;0.257;0.992
ENSMUST00000135368_90_90;0.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.257;0.0;0.257;1.0;0.259
ENSMUST00000140212_90_90;0.432;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.992;0.268;0.992;0.259;1.0
