;ENSCAFT00000007160_90_90;ENST00000353609_90_90;ENST00000417353_90_90;ENST00000443841_90_90;ENST00000585836_90_90;ENST00000586615_90_90;ENST00000589593_90_90;ENST00000590335_90_90;ENST00000591858_90_90;ENST00000592436_90_90;ENST00000592811_90_90;ENST00000615753_90_90;ENSMUST00000003640_90_90;ENSMUST00000207334_90_90;ENSMUST00000207716_90_90;ENSMUST00000208326_90_90;ENSMUST00000208446_90_90;ENSMUST00000208505_90_90
ENSCAFT00000007160_90_90;1.0;0.571;0.5;0.308;0.357;0.5;0.231;0.267;0.429;0.429;0.333;0.5;0.833;0.75;0.583;0.667;0.667;0.583
ENST00000353609_90_90;0.571;1.0;0.909;0.545;0.727;0.636;0.333;0.583;0.818;0.818;0.455;0.909;0.692;0.615;0.462;0.538;0.538;0.462
ENST00000417353_90_90;0.5;0.909;1.0;0.6;0.8;0.545;0.25;0.636;0.727;0.727;0.364;0.818;0.615;0.667;0.5;0.462;0.462;0.5
ENST00000443841_90_90;0.308;0.545;0.6;1.0;0.75;0.3;0.0;0.273;0.667;0.364;0.1;0.455;0.417;0.455;0.556;0.5;0.25;0.273
ENST00000585836_90_90;0.357;0.727;0.8;0.75;1.0;0.5;0.182;0.455;0.889;0.545;0.3;0.636;0.462;0.5;0.6;0.545;0.308;0.333
ENST00000586615_90_90;0.5;0.636;0.545;0.3;0.5;1.0;0.5;0.25;0.6;0.455;0.714;0.545;0.5;0.417;0.364;0.455;0.333;0.25
ENST00000589593_90_90;0.231;0.333;0.25;0.0;0.182;0.5;1.0;0.3;0.273;0.4;0.667;0.364;0.231;0.154;0.083;0.167;0.273;0.182
ENST00000590335_90_90;0.267;0.583;0.636;0.273;0.455;0.25;0.3;1.0;0.417;0.7;0.3;0.636;0.357;0.385;0.231;0.214;0.417;0.455
ENST00000591858_90_90;0.429;0.818;0.727;0.667;0.889;0.6;0.273;0.417;1.0;0.636;0.4;0.727;0.538;0.462;0.545;0.636;0.385;0.308
ENST00000592436_90_90;0.429;0.818;0.727;0.364;0.545;0.455;0.4;0.7;0.636;1.0;0.556;0.9;0.538;0.462;0.308;0.385;0.636;0.545
ENST00000592811_90_90;0.333;0.455;0.364;0.1;0.3;0.714;0.667;0.3;0.4;0.556;1.0;0.5;0.333;0.25;0.182;0.273;0.4;0.3
ENST00000615753_90_90;0.5;0.909;0.818;0.455;0.636;0.545;0.364;0.636;0.727;0.9;0.5;1.0;0.615;0.538;0.385;0.462;0.583;0.5
ENSMUST00000003640_90_90;0.833;0.692;0.615;0.417;0.462;0.5;0.231;0.357;0.538;0.538;0.333;0.615;1.0;0.909;0.727;0.818;0.818;0.727
ENSMUST00000207334_90_90;0.75;0.615;0.667;0.455;0.5;0.417;0.154;0.385;0.462;0.462;0.25;0.538;0.909;1.0;0.8;0.727;0.727;0.8
ENSMUST00000207716_90_90;0.583;0.462;0.5;0.556;0.6;0.364;0.083;0.231;0.545;0.308;0.182;0.385;0.727;0.8;1.0;0.889;0.545;0.6
ENSMUST00000208326_90_90;0.667;0.538;0.462;0.5;0.545;0.455;0.167;0.214;0.636;0.385;0.273;0.462;0.818;0.727;0.889;1.0;0.636;0.545
ENSMUST00000208446_90_90;0.667;0.538;0.462;0.25;0.308;0.333;0.273;0.417;0.385;0.636;0.4;0.583;0.818;0.727;0.545;0.636;1.0;0.889
ENSMUST00000208505_90_90;0.583;0.462;0.5;0.273;0.333;0.25;0.182;0.455;0.308;0.545;0.3;0.5;0.727;0.8;0.6;0.545;0.889;1.0
