;transcript6_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript7_ENSMUNG00000007775;transcript16_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript16_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript2_ENSHGLG00100006079;transcript8_ENSHGLG00100006079;transcript2_ENSXMAG00000026005;transcript7_ENSXMAG00000026005;transcript9_ENSXMAG00000026005;transcript10_ENSXMAG00000026005;transcript8_ENSXMAG00000026005
transcript6_ENSPCIG00000036398;1.0;0.138;0.034;0.067;0.067;0.067;0.571;0.56;0.48;0.56;0.133;0.56;0.571;0.48
transcript7_ENSPCIG00000036398;0.138;1.0;0.0;0.0;0.0;0.0;0.102;0.1;0.085;0.1;0.571;0.1;0.102;0.085
transcript7_ENSMUNG00000007775;0.034;0.0;1.0;0.5;0.5;0.5;0.02;0.04;0.021;0.04;0.0;0.04;0.02;0.021
transcript16_ENSMUNG00000007775;0.067;0.0;0.5;1.0;1.0;1.0;0.039;0.059;0.02;0.059;0.0;0.059;0.039;0.02
transcript23_ENSMUNG00000007775;0.067;0.0;0.5;1.0;1.0;1.0;0.039;0.059;0.02;0.059;0.0;0.059;0.039;0.02
transcript16_ENSMUNG00000002377;0.067;0.0;0.5;1.0;1.0;1.0;0.039;0.059;0.02;0.059;0.0;0.059;0.039;0.02
transcript10_ENSMUNG00000002391;0.571;0.102;0.02;0.039;0.039;0.039;1.0;0.98;0.9;0.98;0.122;0.98;1.0;0.9
transcript2_ENSHGLG00100006079;0.56;0.1;0.04;0.059;0.059;0.059;0.98;1.0;0.92;1.0;0.12;1.0;0.98;0.92
transcript8_ENSHGLG00100006079;0.48;0.085;0.021;0.02;0.02;0.02;0.9;0.92;1.0;0.92;0.106;0.92;0.9;1.0
transcript2_ENSXMAG00000026005;0.56;0.1;0.04;0.059;0.059;0.059;0.98;1.0;0.92;1.0;0.12;1.0;0.98;0.92
transcript7_ENSXMAG00000026005;0.133;0.571;0.0;0.0;0.0;0.0;0.122;0.12;0.106;0.12;1.0;0.12;0.122;0.106
transcript9_ENSXMAG00000026005;0.56;0.1;0.04;0.059;0.059;0.059;0.98;1.0;0.92;1.0;0.12;1.0;0.98;0.92
transcript10_ENSXMAG00000026005;0.571;0.102;0.02;0.039;0.039;0.039;1.0;0.98;0.9;0.98;0.122;0.98;1.0;0.9
transcript8_ENSXMAG00000026005;0.48;0.085;0.021;0.02;0.02;0.02;0.9;0.92;1.0;0.92;0.106;0.92;0.9;1.0
