;transcript6_ENSMPUG00000020072;transcript6_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript7_ENSMLUG00000027828;transcript19_ENSECAG00000007947;transcript20_ENSECAG00000007947;transcript21_ENSECAG00000007947;transcript13_ENSMLUG00000027828;transcript15_ENSCGRG00015005362;transcript15_ENSCGRG00000018457;transcript15_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript15_ENSSTOG00000019743;transcript36_ENSCGRG00000018457;transcript25_ENSCPOG00000024843
transcript6_ENSMPUG00000020072;1.0;0.835;0.81;0.82;0.729;0.835;0.696;0.575;0.791;0.791;0.791;0.746;0.711;0.746;0.903
transcript6_ENSECAG00000007947;0.835;1.0;0.966;0.828;0.863;1.0;0.821;0.577;0.792;0.792;0.792;0.74;0.692;0.754;0.911
transcript7_ENSECAG00000007947;0.81;0.966;1.0;0.855;0.829;0.966;0.786;0.544;0.761;0.761;0.761;0.715;0.66;0.722;0.879
transcript7_ENSMLUG00000027828;0.82;0.828;0.855;1.0;0.723;0.828;0.704;0.616;0.799;0.799;0.799;0.754;0.705;0.768;0.911
transcript19_ENSECAG00000007947;0.729;0.863;0.829;0.723;1.0;0.863;0.95;0.465;0.906;0.906;0.906;0.847;0.792;0.864;0.786
transcript20_ENSECAG00000007947;0.835;1.0;0.966;0.828;0.863;1.0;0.821;0.577;0.792;0.792;0.792;0.74;0.692;0.754;0.911
transcript21_ENSECAG00000007947;0.696;0.821;0.786;0.704;0.95;0.821;1.0;0.485;0.861;0.861;0.861;0.802;0.787;0.905;0.747
transcript13_ENSMLUG00000027828;0.575;0.577;0.544;0.616;0.465;0.577;0.485;1.0;0.496;0.496;0.496;0.478;0.456;0.527;0.611
transcript15_ENSCGRG00015005362;0.791;0.792;0.761;0.799;0.906;0.792;0.861;0.496;1.0;1.0;1.0;0.933;0.87;0.933;0.868
transcript15_ENSCGRG00000018457;0.791;0.792;0.761;0.799;0.906;0.792;0.861;0.496;1.0;1.0;1.0;0.933;0.87;0.933;0.868
transcript15_ENSCGRG00001010245;0.791;0.792;0.761;0.799;0.906;0.792;0.861;0.496;1.0;1.0;1.0;0.933;0.87;0.933;0.868
transcript15_ENSPEMG00000024651;0.746;0.74;0.715;0.754;0.847;0.74;0.802;0.478;0.933;0.933;0.933;1.0;0.819;0.865;0.809
transcript15_ENSSTOG00000019743;0.711;0.692;0.66;0.705;0.792;0.692;0.787;0.456;0.87;0.87;0.87;0.819;1.0;0.844;0.755
transcript36_ENSCGRG00000018457;0.746;0.754;0.722;0.768;0.864;0.754;0.905;0.527;0.933;0.933;0.933;0.865;0.844;1.0;0.809
transcript25_ENSCPOG00000024843;0.903;0.911;0.879;0.911;0.786;0.911;0.747;0.611;0.868;0.868;0.868;0.809;0.755;0.809;1.0
