;ENSCAFT00000032187_90_90;ENST00000299980_90_90;ENST00000393512_90_90;ENST00000450149_90_90;ENST00000563104_90_90;ENST00000563259_90_90;ENST00000564155_90_90;ENST00000565009_90_90;ENST00000565412_90_90;ENST00000566179_90_90;ENST00000567583_90_90;ENST00000568327_90_90;ENST00000569185_90_90;ENST00000569748_90_90;ENST00000569975_90_90;ENST00000570017_90_90;ENSMUST00000034171_90_90;ENSMUST00000093157_90_90;ENSMUST00000179104_90_90
ENSCAFT00000032187_90_90;;0.835;0.823;0.241;0.204;0.298;0.189;0.289;0.11;0.074;0.133;0.358;0.181;0.835;0.071;0.035;0.962;0.947;0.0
ENST00000299980_90_90;0.835;;;;;;;;;;;;;;;;0.863;0.829;0.0
ENST00000393512_90_90;0.823;;;;;;;;;;;;;;;;0.851;0.817;0.0
ENST00000450149_90_90;0.241;;;;;;;;;;;;;;;;0.241;0.226;0.0
ENST00000563104_90_90;0.204;;;;;;;;;;;;;;;;0.204;0.191;0.0
ENST00000563259_90_90;0.298;;;;;;;;;;;;;;;;0.298;0.28;0.0
ENST00000564155_90_90;0.189;;;;;;;;;;;;;;;;0.189;0.184;0.0
ENST00000565009_90_90;0.289;;;;;;;;;;;;;;;;0.289;0.294;0.0
ENST00000565412_90_90;0.11;;;;;;;;;;;;;;;;0.11;0.103;0.0
ENST00000566179_90_90;0.074;;;;;;;;;;;;;;;;0.074;0.07;0.0
ENST00000567583_90_90;0.133;;;;;;;;;;;;;;;;0.133;0.124;0.0
ENST00000568327_90_90;0.358;;;;;;;;;;;;;;;;0.384;0.384;0.0
ENST00000569185_90_90;0.181;;;;;;;;;;;;;;;;0.181;0.17;0.0
ENST00000569748_90_90;0.835;;;;;;;;;;;;;;;;0.863;0.829;0.0
ENST00000569975_90_90;0.071;;;;;;;;;;;;;;;;0.071;0.067;0.0
ENST00000570017_90_90;0.035;;;;;;;;;;;;;;;;0.035;0.033;0.0
ENSMUST00000034171_90_90;0.962;0.863;0.851;0.241;0.204;0.298;0.189;0.289;0.11;0.074;0.133;0.384;0.181;0.863;0.071;0.035;;;
ENSMUST00000093157_90_90;0.947;0.829;0.817;0.226;0.191;0.28;0.184;0.294;0.103;0.07;0.124;0.384;0.17;0.829;0.067;0.033;;;
ENSMUST00000179104_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
