;ENSCAFT00000007160_90_90;ENST00000353609_90_90;ENST00000417353_90_90;ENST00000443841_90_90;ENST00000585836_90_90;ENST00000586615_90_90;ENST00000589593_90_90;ENST00000590335_90_90;ENST00000591858_90_90;ENST00000592436_90_90;ENST00000592811_90_90;ENST00000615753_90_90;ENSMUST00000003640_90_90;ENSMUST00000207334_90_90;ENSMUST00000207716_90_90;ENSMUST00000208326_90_90;ENSMUST00000208446_90_90;ENSMUST00000208505_90_90
ENSCAFT00000007160_90_90;1.0;0.992;0.886;0.572;0.771;0.853;0.4;0.402;0.877;0.694;0.555;0.854;0.998;0.892;0.776;0.883;0.7;0.593
ENST00000353609_90_90;0.992;1.0;0.893;0.577;0.778;0.855;0.401;0.407;0.885;0.701;0.556;0.861;0.994;0.888;0.773;0.879;0.696;0.59
ENST00000417353_90_90;0.886;0.893;1.0;0.646;0.871;0.749;0.295;0.452;0.778;0.595;0.45;0.754;0.888;0.993;0.865;0.773;0.59;0.66
ENST00000443841_90_90;0.572;0.577;0.646;1.0;0.741;0.462;0.0;0.127;0.652;0.278;0.157;0.438;0.574;0.642;0.737;0.648;0.276;0.308
ENST00000585836_90_90;0.771;0.778;0.871;0.741;1.0;0.668;0.205;0.333;0.88;0.479;0.363;0.639;0.773;0.865;0.992;0.873;0.475;0.531
ENST00000586615_90_90;0.853;0.855;0.749;0.462;0.668;1.0;0.469;0.273;0.776;0.556;0.651;0.716;0.853;0.747;0.666;0.775;0.555;0.448
ENST00000589593_90_90;0.4;0.401;0.295;0.0;0.205;0.469;1.0;0.467;0.313;0.571;0.72;0.466;0.4;0.294;0.204;0.312;0.569;0.418
ENST00000590335_90_90;0.402;0.407;0.452;0.127;0.333;0.273;0.467;1.0;0.301;0.562;0.377;0.467;0.403;0.447;0.329;0.297;0.556;0.643
ENST00000591858_90_90;0.877;0.885;0.778;0.652;0.88;0.776;0.313;0.301;1.0;0.586;0.471;0.746;0.879;0.773;0.873;0.993;0.581;0.475
ENST00000592436_90_90;0.694;0.701;0.595;0.278;0.479;0.556;0.571;0.562;0.586;1.0;0.793;0.814;0.696;0.59;0.475;0.581;0.992;0.84
ENST00000592811_90_90;0.555;0.556;0.45;0.157;0.363;0.651;0.72;0.377;0.471;0.793;1.0;0.646;0.555;0.448;0.361;0.47;0.791;0.639
ENST00000615753_90_90;0.854;0.861;0.754;0.438;0.639;0.716;0.466;0.467;0.746;0.814;0.646;1.0;0.855;0.749;0.634;0.74;0.808;0.685
ENSMUST00000003640_90_90;0.998;0.994;0.888;0.574;0.773;0.853;0.4;0.403;0.879;0.696;0.555;0.855;1.0;0.893;0.778;0.885;0.701;0.595
ENSMUST00000207334_90_90;0.892;0.888;0.993;0.642;0.865;0.747;0.294;0.447;0.773;0.59;0.448;0.749;0.893;1.0;0.871;0.778;0.595;0.666
ENSMUST00000207716_90_90;0.776;0.773;0.865;0.737;0.992;0.666;0.204;0.329;0.873;0.475;0.361;0.634;0.778;0.871;1.0;0.88;0.479;0.536
ENSMUST00000208326_90_90;0.883;0.879;0.773;0.648;0.873;0.775;0.312;0.297;0.993;0.581;0.47;0.74;0.885;0.778;0.88;1.0;0.586;0.479
ENSMUST00000208446_90_90;0.7;0.696;0.59;0.276;0.475;0.555;0.569;0.556;0.581;0.992;0.791;0.808;0.701;0.595;0.479;0.586;1.0;0.848
ENSMUST00000208505_90_90;0.593;0.59;0.66;0.308;0.531;0.448;0.418;0.643;0.475;0.84;0.639;0.685;0.595;0.666;0.536;0.479;0.848;1.0
