id_transcript;block_sequence
ENSCAFT00000027396_90_90;0.3.4.5.6.7.8.9.10.11.12.14.19
ENST00000308664_90_90;0.1.4.5.6.7.8.9.10.11.12.14.19
ENST00000377685_90_90;0.1.2.3.5
ENST00000539276_90_90;0.1.4.5.6.7.8.9.10.11.12.14.15.17
ENST00000548169_90_90;7.8.9.11.12.14.15.17
ENST00000552636_90_90;8
ENST00000553144_90_90;12.14.18
ENSMUST00000031423_90_90;0.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17
ENSMUST00000177974_90_90;0.3.4.5.6.7.8.9.10.11.12.13.14.19
ENSMUST00000179939_90_90;0.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17
