;transcript7_ENSAPOG00000016134;transcript27_ENSAPOG00000016134;transcript32_ENSAPOG00000016134;transcript33_ENSAPOG00000016134;transcript35_ENSAPOG00000016134;transcript36_ENSAPOG00000016134;transcript37_ENSAPOG00000016134;transcript38_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript8_ENSAPOG00000023408;transcript27_ENSAPOG00000023408;transcript30_ENSAPOG00000023408;transcript32_ENSAPOG00000023408;transcript40_ENSAPOG00000023408;transcript41_ENSAPOG00000023408;transcript42_ENSAPOG00000023408;transcript43_ENSAPOG00000023408;transcript1_ENSAOCG00000015695;transcript8_ENSAOCG00000015695;transcript25_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript36_ENSAOCG00000015695;transcript37_ENSAOCG00000015695;transcript38_ENSAOCG00000015695;transcript22_ENSPNYG00000024266
transcript7_ENSAPOG00000016134;1.0;0.971;0.839;0.936;0.936;0.923;0.936;0.906;0.936;0.718;0.971;0.903;0.839;0.846;0.784;0.701;0.814;0.93;0.893;0.971;0.89;0.903;0.923;0.89;0.93
transcript27_ENSAPOG00000016134;0.971;1.0;0.867;0.964;0.964;0.952;0.964;0.934;0.964;0.746;1.0;0.879;0.867;0.823;0.811;0.728;0.841;0.958;0.922;1.0;0.917;0.932;0.952;0.918;0.958
transcript32_ENSAPOG00000016134;0.839;0.867;1.0;0.903;0.833;0.82;0.833;0.804;0.903;0.685;0.867;0.817;1.0;0.762;0.939;0.847;0.973;0.897;0.792;0.867;0.857;0.802;0.82;0.788;0.897
transcript33_ENSAPOG00000016134;0.936;0.964;0.903;1.0;0.929;0.917;0.929;0.901;1.0;0.781;0.964;0.915;0.903;0.859;0.848;0.765;0.877;0.994;0.889;0.964;0.954;0.898;0.917;0.885;0.994
transcript35_ENSAPOG00000016134;0.936;0.964;0.833;0.929;1.0;0.916;1.0;0.968;0.929;0.77;0.964;0.845;0.833;0.789;0.778;0.694;0.807;0.923;0.887;0.964;0.883;0.896;0.916;0.883;0.923
transcript36_ENSAPOG00000016134;0.923;0.952;0.82;0.917;0.916;1.0;0.916;0.887;0.917;0.781;0.952;0.832;0.82;0.776;0.765;0.682;0.795;0.911;0.968;0.952;0.962;0.883;1.0;0.964;0.911
transcript37_ENSAPOG00000016134;0.936;0.964;0.833;0.929;1.0;0.916;1.0;0.968;0.929;0.77;0.964;0.845;0.833;0.789;0.778;0.694;0.807;0.923;0.887;0.964;0.883;0.896;0.916;0.883;0.923
transcript38_ENSAPOG00000016134;0.906;0.934;0.804;0.901;0.968;0.887;0.968;1.0;0.901;0.74;0.934;0.816;0.804;0.76;0.749;0.666;0.778;0.895;0.857;0.934;0.855;0.866;0.887;0.853;0.895
transcript7_ENSAPOG00000023408;0.936;0.964;0.903;1.0;0.929;0.917;0.929;0.901;1.0;0.765;0.964;0.915;0.903;0.859;0.848;0.765;0.877;0.97;0.889;0.964;0.954;0.898;0.917;0.885;0.97
transcript8_ENSAPOG00000023408;0.718;0.746;0.685;0.781;0.77;0.781;0.77;0.74;0.765;1.0;0.73;0.682;0.67;0.629;0.617;0.536;0.685;0.795;0.736;0.73;0.8;0.776;0.764;0.732;0.795
transcript27_ENSAPOG00000023408;0.971;1.0;0.867;0.964;0.964;0.952;0.964;0.934;0.964;0.73;1.0;0.879;0.867;0.823;0.811;0.728;0.841;0.935;0.922;1.0;0.917;0.932;0.952;0.918;0.935
transcript30_ENSAPOG00000023408;0.903;0.879;0.817;0.915;0.845;0.832;0.845;0.816;0.915;0.682;0.879;1.0;0.817;0.94;0.762;0.678;0.792;0.887;0.803;0.879;0.869;0.813;0.832;0.8;0.887
transcript32_ENSAPOG00000023408;0.839;0.867;1.0;0.903;0.833;0.82;0.833;0.804;0.903;0.67;0.867;0.817;1.0;0.762;0.939;0.847;0.973;0.875;0.792;0.867;0.857;0.802;0.82;0.788;0.875
transcript40_ENSAPOG00000023408;0.846;0.823;0.762;0.859;0.789;0.776;0.789;0.76;0.859;0.629;0.823;0.94;0.762;1.0;0.806;0.623;0.736;0.834;0.748;0.823;0.813;0.758;0.776;0.745;0.834
transcript41_ENSAPOG00000023408;0.784;0.811;0.939;0.848;0.778;0.765;0.778;0.749;0.848;0.617;0.811;0.762;0.939;0.806;1.0;0.786;0.912;0.821;0.737;0.811;0.801;0.746;0.765;0.734;0.821
transcript42_ENSAPOG00000023408;0.701;0.728;0.847;0.765;0.694;0.682;0.694;0.666;0.765;0.536;0.728;0.678;0.847;0.623;0.786;1.0;0.821;0.741;0.703;0.728;0.719;0.663;0.682;0.705;0.741
transcript43_ENSAPOG00000023408;0.814;0.841;0.973;0.877;0.807;0.795;0.807;0.778;0.877;0.685;0.841;0.792;0.973;0.736;0.912;0.821;1.0;0.851;0.766;0.841;0.831;0.823;0.795;0.763;0.851
transcript1_ENSAOCG00000015695;0.93;0.958;0.897;0.994;0.923;0.911;0.923;0.895;0.97;0.795;0.935;0.887;0.875;0.834;0.821;0.741;0.851;1.0;0.863;0.935;0.925;0.873;0.89;0.86;1.0
transcript8_ENSAOCG00000015695;0.893;0.922;0.792;0.889;0.887;0.968;0.887;0.857;0.889;0.736;0.922;0.803;0.792;0.748;0.737;0.703;0.766;0.863;1.0;0.922;0.932;0.854;0.968;0.934;0.863
transcript25_ENSAOCG00000015695;0.971;1.0;0.867;0.964;0.964;0.952;0.964;0.934;0.964;0.73;1.0;0.879;0.867;0.823;0.811;0.728;0.841;0.935;0.922;1.0;0.917;0.932;0.952;0.918;0.935
transcript26_ENSAOCG00000015695;0.89;0.917;0.857;0.954;0.883;0.962;0.883;0.855;0.954;0.8;0.917;0.869;0.857;0.813;0.801;0.719;0.831;0.925;0.932;0.917;1.0;0.852;0.962;0.928;0.925
transcript36_ENSAOCG00000015695;0.903;0.932;0.802;0.898;0.896;0.883;0.896;0.866;0.898;0.776;0.932;0.813;0.802;0.758;0.746;0.663;0.823;0.873;0.854;0.932;0.852;1.0;0.883;0.85;0.873
transcript37_ENSAOCG00000015695;0.923;0.952;0.82;0.917;0.916;1.0;0.916;0.887;0.917;0.764;0.952;0.832;0.82;0.776;0.765;0.682;0.795;0.89;0.968;0.952;0.962;0.883;1.0;0.964;0.89
transcript38_ENSAOCG00000015695;0.89;0.918;0.788;0.885;0.883;0.964;0.883;0.853;0.885;0.732;0.918;0.8;0.788;0.745;0.734;0.705;0.763;0.86;0.934;0.918;0.928;0.85;0.964;1.0;0.86
transcript22_ENSPNYG00000024266;0.93;0.958;0.897;0.994;0.923;0.911;0.923;0.895;0.97;0.795;0.935;0.887;0.875;0.834;0.821;0.741;0.851;1.0;0.863;0.935;0.925;0.873;0.89;0.86;1.0
