;ENSCAFT00000001418_90_90;ENSCAFT00000021179_90_90;ENST00000359842_90_90;ENST00000619224_90_90;ENST00000374680_90_90;ENST00000374685_90_90;ENST00000483281_90_90;ENSMUST00000015987_90_90;ENSMUST00000111380_90_90;ENSMUST00000111384_90_90;ENSMUST00000111386_90_90;ENSMUST00000044858_90_90;ENSMUST00000116612_90_90;ENSMUST00000173354_90_90;ENSMUST00000173554_90_90;ENSMUST00000174299_90_90
ENSCAFT00000001418_90_90;1.0;1.0;1.0;0.379;0.956;1.0;0.178;1.0;0.407;1.0;1.0;0.971;0.629;0.686;0.429;0.829
ENSCAFT00000021179_90_90;1.0;1.0;1.0;0.412;0.962;1.0;0.0;1.0;0.5;1.0;1.0;0.969;0.562;0.594;0.438;0.938
ENST00000359842_90_90;1.0;1.0;1.0;0.341;0.966;1.0;0.034;1.0;0.438;1.0;1.0;0.962;0.615;0.654;0.462;0.923
ENST00000619224_90_90;0.379;0.412;0.341;1.0;0.345;0.379;0.0;0.438;1.0;0.438;0.438;0.385;0.5;0.556;0.278;0.346
ENST00000374680_90_90;0.956;0.962;0.966;0.345;1.0;0.957;0.222;0.963;0.37;0.963;0.963;0.917;0.647;0.611;0.441;0.853
ENST00000374685_90_90;1.0;1.0;1.0;0.379;0.957;1.0;0.213;1.0;0.407;1.0;1.0;0.972;0.611;0.667;0.417;0.806
ENST00000483281_90_90;0.178;0.0;0.034;0.0;0.222;0.213;1.0;0.148;0.0;0.148;0.148;0.171;0.0;0.0;0.0;0.061
ENSMUST00000015987_90_90;1.0;1.0;1.0;0.438;0.963;1.0;0.148;1.0;0.304;1.0;1.0;0.96;0.48;0.52;0.32;0.88
ENSMUST00000111380_90_90;0.407;0.5;0.438;1.0;0.37;0.407;0.0;0.304;1.0;0.304;0.304;0.4;0.643;0.714;0.357;0.375
ENSMUST00000111384_90_90;1.0;1.0;1.0;0.438;0.963;1.0;0.148;1.0;0.304;1.0;1.0;0.96;0.48;0.52;0.32;0.88
ENSMUST00000111386_90_90;1.0;1.0;1.0;0.438;0.963;1.0;0.148;1.0;0.304;1.0;1.0;0.96;0.48;0.52;0.32;0.88
ENSMUST00000044858_90_90;0.971;0.969;0.962;0.385;0.917;0.972;0.171;0.96;0.4;0.96;0.96;1.0;0.46;0.5;0.294;0.88
ENSMUST00000116612_90_90;0.629;0.562;0.615;0.5;0.647;0.611;0.0;0.48;0.643;0.48;0.48;0.46;1.0;0.92;0.625;0.523
ENSMUST00000173354_90_90;0.686;0.594;0.654;0.556;0.611;0.667;0.0;0.52;0.714;0.52;0.52;0.5;0.92;1.0;0.577;0.5
ENSMUST00000173554_90_90;0.429;0.438;0.462;0.278;0.441;0.417;0.0;0.32;0.357;0.32;0.32;0.294;0.625;0.577;1.0;0.333
ENSMUST00000174299_90_90;0.829;0.938;0.923;0.346;0.853;0.806;0.061;0.88;0.375;0.88;0.88;0.88;0.523;0.5;0.333;1.0
