;transcript6_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript7_ENSMUNG00000007775;transcript16_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript16_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript2_ENSHGLG00100006079;transcript8_ENSHGLG00100006079;transcript2_ENSXMAG00000026005;transcript7_ENSXMAG00000026005;transcript9_ENSXMAG00000026005;transcript10_ENSXMAG00000026005;transcript8_ENSXMAG00000026005
transcript6_ENSPCIG00000036398;1.0;0.111;0.329;0.986;0.986;0.986;0.929;0.926;0.598;0.926;0.097;0.926;0.929;0.659
transcript7_ENSPCIG00000036398;0.111;1.0;0.0;0.0;0.0;0.0;0.121;0.12;0.111;0.12;0.639;0.12;0.121;0.11
transcript7_ENSMUNG00000007775;0.329;0.0;1.0;0.416;0.416;0.416;0.336;0.504;0.55;0.504;0.0;0.504;0.243;0.625
transcript16_ENSMUNG00000007775;0.986;0.0;0.416;1.0;1.0;1.0;1.0;0.996;0.203;0.998;0.0;0.998;0.812;0.235
transcript23_ENSMUNG00000007775;0.986;0.0;0.416;1.0;1.0;1.0;1.0;0.996;0.203;0.998;0.0;0.998;0.812;0.235
transcript16_ENSMUNG00000002377;0.986;0.0;0.416;1.0;1.0;1.0;1.0;0.996;0.203;0.998;0.0;0.998;0.812;0.235
transcript10_ENSMUNG00000002391;0.929;0.121;0.336;1.0;1.0;1.0;1.0;1.0;0.735;1.0;0.087;1.0;1.0;0.81
transcript2_ENSHGLG00100006079;0.926;0.12;0.504;0.996;0.996;0.996;1.0;1.0;0.74;1.0;0.085;1.0;0.986;0.815
transcript8_ENSHGLG00100006079;0.598;0.111;0.55;0.203;0.203;0.203;0.735;0.74;1.0;0.74;0.075;0.74;0.723;1.0
transcript2_ENSXMAG00000026005;0.926;0.12;0.504;0.998;0.998;0.998;1.0;1.0;0.74;1.0;0.085;1.0;0.986;0.815
transcript7_ENSXMAG00000026005;0.097;0.639;0.0;0.0;0.0;0.0;0.087;0.085;0.075;0.085;1.0;0.085;0.087;0.075
transcript9_ENSXMAG00000026005;0.926;0.12;0.504;0.998;0.998;0.998;1.0;1.0;0.74;1.0;0.085;1.0;0.986;0.815
transcript10_ENSXMAG00000026005;0.929;0.121;0.243;0.812;0.812;0.812;1.0;0.986;0.723;0.986;0.087;0.986;1.0;0.798
transcript8_ENSXMAG00000026005;0.659;0.11;0.625;0.235;0.235;0.235;0.81;0.815;1.0;0.815;0.075;0.815;0.798;1.0
