;transcript2_ENSMLUG00000027828;transcript17_ENSMUGG00000013649;transcript17_ENSMUGG00000013592;transcript29_ENSMUGG00000013592;transcript8_ENSPEMG00000024651;transcript7_ENSNGAG00000018584;transcript8_ENSNGAG00000018584;transcript9_ENSNGAG00000018584;transcript10_ENSNGAG00000018584;transcript18_ENSNGAG00000018584;transcript19_ENSNGAG00000018584;transcript2_ENSSTOG00000019743;transcript15_ENSSTOG00000019743
transcript2_ENSMLUG00000027828;1.0;0.526;0.52;0.568;0.542;0.337;0.737;0.737;0.734;0.707;0.714;0.904;0.904
transcript17_ENSMUGG00000013649;0.526;1.0;0.985;0.897;0.864;0.355;0.51;0.509;0.503;0.523;0.518;0.56;0.56
transcript17_ENSMUGG00000013592;0.52;0.985;1.0;0.909;0.852;0.354;0.506;0.505;0.499;0.519;0.513;0.551;0.551
transcript29_ENSMUGG00000013592;0.568;0.897;0.909;1.0;0.929;0.327;0.55;0.549;0.543;0.564;0.559;0.607;0.607
transcript8_ENSPEMG00000024651;0.542;0.864;0.852;0.929;1.0;0.321;0.524;0.523;0.518;0.538;0.532;0.579;0.579
transcript7_ENSNGAG00000018584;0.337;0.355;0.354;0.327;0.321;1.0;0.371;0.372;0.433;0.391;0.447;0.348;0.348
transcript8_ENSNGAG00000018584;0.737;0.51;0.506;0.55;0.524;0.371;1.0;0.998;0.911;0.871;0.881;0.807;0.807
transcript9_ENSNGAG00000018584;0.737;0.509;0.505;0.549;0.523;0.372;0.998;1.0;0.912;0.872;0.883;0.808;0.808
transcript10_ENSNGAG00000018584;0.734;0.503;0.499;0.543;0.518;0.433;0.911;0.912;1.0;0.958;0.969;0.803;0.803
transcript18_ENSNGAG00000018584;0.707;0.523;0.519;0.564;0.538;0.391;0.871;0.872;0.958;1.0;0.927;0.769;0.769
transcript19_ENSNGAG00000018584;0.714;0.518;0.513;0.559;0.532;0.447;0.881;0.883;0.969;0.927;1.0;0.778;0.778
transcript2_ENSSTOG00000019743;0.904;0.56;0.551;0.607;0.579;0.348;0.807;0.808;0.803;0.769;0.778;1.0;1.0
transcript15_ENSSTOG00000019743;0.904;0.56;0.551;0.607;0.579;0.348;0.807;0.808;0.803;0.769;0.778;1.0;1.0
