;ENSCAFT00000009524_90_90;ENSCAFT00000009525_90_90;ENST00000305852_90_90;ENST00000357996_90_90;ENST00000379245_90_90;ENST00000405912_90_90;ENST00000413938_90_90;ENST00000414288_90_90;ENST00000432869_90_90;ENST00000441005_90_90;ENST00000451623_90_90;ENSMUST00000070039_90_90;ENSMUST00000112487_90_90
ENSCAFT00000009524_90_90;1.0;0.909;0.417;0.536;0.839;0.756;0.11;0.294;0.259;0.333;0.645;0.879;0.97
ENSCAFT00000009525_90_90;0.909;1.0;0.457;0.587;0.756;0.823;0.119;0.322;0.213;0.363;0.704;0.968;0.879
ENST00000305852_90_90;0.417;0.457;1.0;0.621;0.462;0.508;0.0;0.604;0.316;0.756;0.315;0.471;0.428
ENST00000357996_90_90;0.536;0.587;0.621;1.0;0.573;0.629;0.239;0.422;0.21;0.473;0.544;0.602;0.549
ENST00000379245_90_90;0.839;0.756;0.462;0.573;1.0;0.909;0.139;0.292;0.22;0.373;0.735;0.731;0.814
ENST00000405912_90_90;0.756;0.823;0.508;0.629;0.909;1.0;0.151;0.32;0.174;0.408;0.807;0.795;0.731
ENST00000413938_90_90;0.11;0.119;0.0;0.239;0.139;0.151;1.0;0.0;0.0;0.0;0.187;0.121;0.112
ENST00000414288_90_90;0.294;0.322;0.604;0.422;0.292;0.32;0.0;1.0;0.398;0.603;0.177;0.331;0.302
ENST00000432869_90_90;0.259;0.213;0.316;0.21;0.22;0.174;0.0;0.398;1.0;0.316;0.035;0.223;0.269
ENST00000441005_90_90;0.333;0.363;0.756;0.473;0.373;0.408;0.0;0.603;0.316;1.0;0.228;0.373;0.342
ENST00000451623_90_90;0.645;0.704;0.315;0.544;0.735;0.807;0.187;0.177;0.035;0.228;1.0;0.674;0.619
ENSMUST00000070039_90_90;0.879;0.968;0.471;0.602;0.731;0.795;0.121;0.331;0.223;0.373;0.674;1.0;0.905
ENSMUST00000112487_90_90;0.97;0.879;0.428;0.549;0.814;0.731;0.112;0.302;0.269;0.342;0.619;0.905;1.0
