;ENSCAFT00000019414_90_90;ENST00000329235_90_90;ENST00000380291_90_90;ENST00000450644_90_90;ENST00000452376_90_90;ENST00000545766_90_90;ENSMUST00000033734_90_90;ENSMUST00000069041_90_90;ENSMUST00000112294_90_90;ENSMUST00000140845_90_90
ENSCAFT00000019414_90_90;1.0;1.0;0.904;0.858;0.881;1.0;1.0;1.0;0.904;0.752
ENST00000329235_90_90;1.0;1.0;0.811;0.802;0.809;0.981;1.0;0.981;0.811;0.69
ENST00000380291_90_90;0.904;0.811;1.0;0.788;0.795;0.798;0.811;0.798;1.0;0.678
ENST00000450644_90_90;0.858;0.802;0.788;1.0;0.824;0.788;0.802;0.788;0.788;0.739
ENST00000452376_90_90;0.881;0.809;0.795;0.824;1.0;0.795;0.809;0.795;0.795;0.867
ENST00000545766_90_90;1.0;0.981;0.798;0.788;0.795;1.0;0.981;1.0;0.798;0.678
ENSMUST00000033734_90_90;1.0;1.0;0.811;0.802;0.809;0.981;1.0;0.981;0.811;0.69
ENSMUST00000069041_90_90;1.0;0.981;0.798;0.788;0.795;1.0;0.981;1.0;0.798;0.678
ENSMUST00000112294_90_90;0.904;0.811;1.0;0.788;0.795;0.798;0.811;0.798;1.0;0.678
ENSMUST00000140845_90_90;0.752;0.69;0.678;0.739;0.867;0.678;0.69;0.678;0.678;1.0
