;ENSCAFT00000013569_90_90;ENSCAFT00000048577_90_90;ENSCAFT00000049950_90_90;ENST00000314177_90_90;ENST00000338564_90_90;ENST00000340545_90_90;ENST00000397620_90_90;ENST00000397624_90_90;ENST00000424352_90_90;ENST00000557796_90_90;ENST00000558313_90_90;ENST00000559085_90_90;ENST00000559561_90_90;ENST00000560570_90_90;ENST00000560617_90_90;ENST00000560697_90_90;ENST00000561208_90_90;ENST00000606653_90_90;ENST00000607277_90_90;ENSMUST00000028639_90_90;ENSMUST00000074285_90_90;ENSMUST00000102538_90_90;ENSMUST00000110906_90_90;ENSMUST00000110907_90_90;ENSMUST00000110908_90_90
ENSCAFT00000013569_90_90;1.0;0.704;0.481;0.762;0.864;0.857;0.667;0.667;0.909;0.857;0.286;0.818;0.952;0.286;0.19;0.095;0.826;0.19;0.524;0.833;0.913;0.87;0.875;0.957;1.0
ENSCAFT00000048577_90_90;0.704;1.0;0.6;0.714;0.905;0.81;0.619;0.619;0.864;0.81;0.3;0.857;0.818;0.238;0.2;0.1;0.952;0.2;0.476;0.913;0.833;0.87;0.875;0.8;0.76
ENSCAFT00000049950_90_90;0.481;0.6;1.0;0.75;0.6;0.579;0.444;0.444;0.571;0.579;0.5;0.55;0.6;0.286;0.333;0.167;0.571;0.333;0.278;0.565;0.636;0.591;0.609;0.542;0.565
ENST00000314177_90_90;0.762;0.714;0.75;1.0;0.818;0.652;0.417;0.417;0.75;0.652;0.316;0.625;0.783;0.444;0.222;0.111;0.783;0.211;0.292;0.773;0.682;0.81;0.652;0.739;0.773
ENST00000338564_90_90;0.864;0.905;0.6;0.818;1.0;0.75;0.52;0.52;0.84;0.75;0.261;0.72;0.875;0.364;0.182;0.091;0.957;0.174;0.4;0.955;0.783;1.0;0.75;0.833;0.87
ENST00000340545_90_90;0.857;0.81;0.579;0.652;0.75;1.0;0.714;0.714;0.833;1.0;0.286;0.952;0.87;0.217;0.2;0.1;0.72;0.19;0.435;0.739;0.9;0.773;0.857;0.783;0.818
ENST00000397620_90_90;0.667;0.619;0.444;0.417;0.52;0.714;1.0;1.0;0.6;0.714;0.438;0.682;0.625;0.043;0.25;0.125;0.5;0.235;0.526;0.565;0.7;0.591;0.667;0.609;0.636
ENST00000397624_90_90;0.667;0.619;0.444;0.417;0.52;0.714;1.0;1.0;0.6;0.714;0.438;0.682;0.625;0.043;0.25;0.125;0.5;0.235;0.526;0.565;0.7;0.591;0.667;0.609;0.636
ENST00000424352_90_90;0.909;0.864;0.571;0.75;0.84;0.833;0.6;0.6;1.0;0.833;0.24;0.875;0.958;0.333;0.167;0.083;0.88;0.16;0.37;0.913;0.826;0.87;0.87;0.957;0.913
ENST00000557796_90_90;0.857;0.81;0.579;0.652;0.75;1.0;0.714;0.714;0.833;1.0;0.286;0.952;0.87;0.217;0.2;0.1;0.72;0.19;0.435;0.739;0.9;0.773;0.857;0.783;0.818
ENST00000558313_90_90;0.286;0.3;0.5;0.316;0.261;0.286;0.438;0.438;0.24;0.286;1.0;0.273;0.25;0.071;0.375;0.286;0.25;0.2;0.176;0.273;0.3;0.286;0.286;0.261;0.273
ENST00000559085_90_90;0.818;0.857;0.55;0.625;0.72;0.952;0.682;0.682;0.875;0.952;0.273;1.0;0.833;0.208;0.19;0.095;0.76;0.182;0.417;0.783;0.857;0.739;0.905;0.826;0.783
