;transcript40_ENSRNOG00000031503;transcript47_ENSRNOG00000031503;transcript32_ENSSTOG00000019743;transcript7_ENSSTOG00000019743;transcript25_ENSSTOG00000019743;transcript24_ENSSTOG00000019743;transcript47_ENSMUGG00000013649;transcript20_ENSMUGG00000013649;transcript20_ENSMUGG00000013592;transcript47_ENSPEMG00000024651;transcript19_ENSPEMG00000024651;transcript38_ENSPEMG00000024651;transcript27_ENSNGAG00000018584
transcript40_ENSRNOG00000031503;1.0;0.765;0.959;0.959;0.959;0.822;0.941;0.958;0.958;0.869;0.917;0.917;0.975
transcript47_ENSRNOG00000031503;0.765;1.0;0.727;0.727;0.727;0.799;0.941;0.779;0.776;0.869;0.675;0.675;0.799
transcript32_ENSSTOG00000019743;0.959;0.727;1.0;1.0;1.0;0.856;1.0;1.0;1.0;0.926;0.953;0.953;1.0
transcript7_ENSSTOG00000019743;0.959;0.727;1.0;1.0;1.0;0.856;1.0;1.0;1.0;0.926;0.953;0.953;1.0
transcript25_ENSSTOG00000019743;0.959;0.727;1.0;1.0;1.0;0.856;1.0;1.0;1.0;0.926;0.953;0.953;1.0
transcript24_ENSSTOG00000019743;0.822;0.799;0.856;0.856;0.856;1.0;1.0;0.959;0.958;0.926;0.817;0.817;1.0
transcript47_ENSMUGG00000013649;0.941;0.941;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.926;0.926;0.926;1.0
transcript20_ENSMUGG00000013649;0.958;0.779;1.0;1.0;1.0;0.959;1.0;1.0;1.0;0.926;0.948;0.948;1.0
transcript20_ENSMUGG00000013592;0.958;0.776;1.0;1.0;1.0;0.958;1.0;1.0;1.0;0.925;0.947;0.947;1.0
transcript47_ENSPEMG00000024651;0.869;0.869;0.926;0.926;0.926;0.926;0.926;0.926;0.925;1.0;1.0;1.0;0.931
transcript19_ENSPEMG00000024651;0.917;0.675;0.953;0.953;0.953;0.817;0.926;0.948;0.947;1.0;1.0;1.0;0.951
transcript38_ENSPEMG00000024651;0.917;0.675;0.953;0.953;0.953;0.817;0.926;0.948;0.947;1.0;1.0;1.0;0.951
transcript27_ENSNGAG00000018584;0.975;0.799;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.931;0.951;0.951;1.0
