;transcript7_ENSMPUG00000020072;transcript7_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript7_ENSCPOG00000024843;transcript10_ENSMPUG00000020072;transcript10_ENSECAG00000007947;transcript17_ENSMPUG00000020072;transcript17_ENSECAG00000007947;transcript17_ENSSTOG00000019743;transcript17_ENSCPOG00000024843;transcript20_ENSMPUG00000020072;transcript22_ENSMPUG00000020072;transcript22_ENSMLUG00000027828;transcript23_ENSMPUG00000020072;transcript24_ENSMPUG00000020072;transcript24_ENSCCNG00000000226;transcript24_ENSCPOG00000024843;transcript25_ENSMPUG00000020072;transcript12_ENSECAG00000007947;transcript9_ENSMLUG00000027828;transcript9_ENSSTOG00000019743;transcript9_ENSCCNG00000000226;transcript9_ENSCPOG00000024843;transcript13_ENSMLUG00000027828;transcript14_ENSMLUG00000027828;transcript26_ENSSTOG00000019743;transcript26_ENSCCNG00000000226;transcript18_ENSCCNG00000000226;transcript18_ENSCPOG00000024843;transcript32_ENSCPOG00000024843;transcript33_ENSCPOG00000024843
transcript7_ENSMPUG00000020072;1.0;0.3;0.328;0.397;0.488;0.415;0.491;0.417;0.403;0.423;0.491;0.634;0.405;0.515;0.542;0.423;0.421;0.488;0.417;0.062;0.049;0.058;0.074;0.414;0.42;0.39;0.372;0.331;0.425;0.435;0.423
transcript7_ENSSTOG00000019743;0.3;1.0;0.715;0.335;0.353;0.38;0.355;0.383;0.46;0.375;0.355;0.248;0.356;0.36;0.325;0.372;0.285;0.361;0.383;0.074;0.08;0.065;0.073;0.414;0.426;0.517;0.4;0.479;0.238;0.236;0.375
transcript7_ENSCCNG00000000226;0.328;0.715;1.0;0.39;0.395;0.433;0.397;0.436;0.382;0.402;0.397;0.277;0.328;0.407;0.363;0.486;0.317;0.404;0.436;0.065;0.061;0.079;0.073;0.399;0.41;0.425;0.525;0.638;0.28;0.278;0.402
transcript7_ENSCPOG00000024843;0.397;0.335;0.39;1.0;0.401;0.43;0.401;0.43;0.383;0.434;0.401;0.428;0.372;0.411;0.433;0.434;0.49;0.384;0.43;0.075;0.059;0.071;0.091;0.386;0.386;0.425;0.38;0.306;0.608;0.581;0.434
transcript10_ENSMPUG00000020072;0.488;0.353;0.395;0.401;1.0;0.798;0.994;0.796;0.751;0.867;0.994;0.766;0.583;0.947;0.896;0.716;0.752;0.976;0.796;0.03;0.028;0.028;0.036;0.779;0.757;0.682;0.717;0.596;0.648;0.668;0.867
transcript10_ENSECAG00000007947;0.415;0.38;0.433;0.43;0.798;1.0;0.793;0.994;0.744;0.851;0.793;0.616;0.59;0.753;0.72;0.732;0.768;0.776;0.994;0.037;0.033;0.035;0.043;0.792;0.766;0.691;0.742;0.632;0.65;0.673;0.851
transcript17_ENSMPUG00000020072;0.491;0.355;0.397;0.401;0.994;0.793;1.0;0.797;0.752;0.862;1.0;0.77;0.586;0.953;0.902;0.72;0.747;0.982;0.797;0.031;0.029;0.029;0.037;0.78;0.758;0.683;0.711;0.591;0.648;0.669;0.862
transcript17_ENSECAG00000007947;0.417;0.383;0.436;0.43;0.796;0.994;0.797;1.0;0.749;0.846;0.797;0.619;0.593;0.757;0.724;0.736;0.762;0.78;1.0;0.038;0.033;0.035;0.044;0.797;0.771;0.695;0.737;0.626;0.65;0.674;0.846
transcript17_ENSSTOG00000019743;0.403;0.46;0.382;0.383;0.751;0.744;0.752;0.749;1.0;0.813;0.752;0.599;0.65;0.719;0.692;0.684;0.732;0.736;0.749;0.034;0.037;0.03;0.034;0.862;0.835;0.889;0.682;0.577;0.637;0.646;0.813
transcript17_ENSCPOG00000024843;0.423;0.375;0.402;0.434;0.867;0.851;0.862;0.846;0.813;1.0;0.862;0.664;0.609;0.821;0.777;0.758;0.885;0.846;0.846;0.034;0.03;0.032;0.041;0.855;0.83;0.726;0.755;0.627;0.719;0.745;1.0
transcript20_ENSMPUG00000020072;0.491;0.355;0.397;0.401;0.994;0.793;1.0;0.797;0.752;0.862;1.0;0.77;0.586;0.953;0.902;0.72;0.747;0.982;0.797;0.031;0.029;0.029;0.037;0.78;0.758;0.683;0.711;0.591;0.648;0.669;0.862
transcript22_ENSMPUG00000020072;0.634;0.248;0.277;0.428;0.766;0.616;0.77;0.619;0.599;0.664;0.77;1.0;0.571;0.809;0.847;0.634;0.674;0.752;0.619;0.039;0.031;0.037;0.047;0.608;0.618;0.525;0.544;0.418;0.688;0.712;0.664
transcript22_ENSMLUG00000027828;0.405;0.356;0.328;0.372;0.583;0.59;0.586;0.593;0.65;0.609;0.586;0.571;1.0;0.6;0.561;0.589;0.523;0.572;0.593;0.055;0.049;0.046;0.055;0.709;0.73;0.548;0.51;0.403;0.555;0.571;0.609
transcript23_ENSMPUG00000020072;0.515;0.36;0.407;0.411;0.947;0.753;0.953;0.757;0.719;0.821;0.953;0.809;0.6;1.0;0.942;0.746;0.721;0.934;0.757;0.032;0.03;0.03;0.038;0.754;0.764;0.649;0.681;0.559;0.664;0.686;0.821
transcript24_ENSMPUG00000020072;0.542;0.325;0.363;0.433;0.896;0.72;0.902;0.724;0.692;0.777;0.902;0.847;0.561;0.942;1.0;0.728;0.756;0.883;0.724;0.034;0.027;0.031;0.04;0.721;0.731;0.621;0.644;0.521;0.698;0.721;0.777
transcript24_ENSCCNG00000000226;0.423;0.372;0.486;0.434;0.716;0.732;0.72;0.736;0.684;0.758;0.72;0.634;0.589;0.746;0.728;1.0;0.716;0.707;0.736;0.035;0.03;0.042;0.039;0.73;0.75;0.612;0.8;0.644;0.689;0.699;0.758
transcript24_ENSCPOG00000024843;0.421;0.285;0.317;0.49;0.752;0.768;0.747;0.762;0.732;0.885;0.747;0.674;0.523;0.721;0.756;0.716;1.0;0.731;0.762;0.038;0.03;0.036;0.046;0.775;0.75;0.643;0.679;0.548;0.811;0.842;0.885
transcript25_ENSMPUG00000020072;0.488;0.361;0.404;0.384;0.976;0.776;0.982;0.78;0.736;0.846;0.982;0.752;0.572;0.934;0.883;0.707;0.731;1.0;0.78;0.031;0.029;0.029;0.037;0.767;0.744;0.666;0.698;0.601;0.632;0.653;0.846
transcript12_ENSECAG00000007947;0.417;0.383;0.436;0.43;0.796;0.994;0.797;1.0;0.749;0.846;0.797;0.619;0.593;0.757;0.724;0.736;0.762;0.78;1.0;0.038;0.033;0.035;0.044;0.797;0.771;0.695;0.737;0.626;0.65;0.674;0.846
transcript9_ENSMLUG00000027828;0.062;0.074;0.065;0.075;0.03;0.037;0.031;0.038;0.034;0.034;0.031;0.039;0.055;0.032;0.034;0.035;0.038;0.031;0.038;1.0;0.636;0.542;0.68;0.039;0.04;0.039;0.034;0.042;0.045;0.045;0.034
transcript9_ENSSTOG00000019743;0.049;0.08;0.061;0.059;0.028;0.033;0.029;0.033;0.037;0.03;0.029;0.031;0.049;0.03;0.027;0.03;0.03;0.029;0.033;0.636;1.0;0.522;0.6;0.035;0.036;0.041;0.032;0.039;0.036;0.035;0.03
transcript9_ENSCCNG00000000226;0.058;0.065;0.079;0.071;0.028;0.035;0.029;0.035;0.03;0.032;0.029;0.037;0.046;0.03;0.031;0.042;0.036;0.029;0.035;0.542;0.522;1.0;0.64;0.033;0.034;0.034;0.042;0.051;0.043;0.043;0.032
transcript9_ENSCPOG00000024843;0.074;0.073;0.073;0.091;0.036;0.043;0.037;0.044;0.034;0.041;0.037;0.047;0.055;0.038;0.04;0.039;0.046;0.037;0.044;0.68;0.6;0.64;1.0;0.039;0.04;0.038;0.039;0.047;0.055;0.055;0.041
transcript13_ENSMLUG00000027828;0.414;0.414;0.399;0.386;0.779;0.792;0.78;0.797;0.862;0.855;0.78;0.608;0.709;0.754;0.721;0.73;0.775;0.767;0.797;0.039;0.035;0.033;0.039;1.0;0.971;0.765;0.708;0.611;0.654;0.662;0.855
transcript14_ENSMLUG00000027828;0.42;0.426;0.41;0.386;0.757;0.766;0.758;0.771;0.835;0.83;0.758;0.618;0.73;0.764;0.731;0.75;0.75;0.744;0.771;0.04;0.036;0.034;0.04;0.971;1.0;0.738;0.682;0.584;0.655;0.664;0.83
transcript26_ENSSTOG00000019743;0.39;0.517;0.425;0.425;0.682;0.691;0.683;0.695;0.889;0.726;0.683;0.525;0.548;0.649;0.621;0.612;0.643;0.666;0.695;0.039;0.041;0.034;0.038;0.765;0.738;1.0;0.625;0.502;0.545;0.553;0.726
transcript26_ENSCCNG00000000226;0.372;0.4;0.525;0.38;0.717;0.742;0.711;0.737;0.682;0.755;0.711;0.544;0.51;0.681;0.644;0.8;0.679;0.698;0.737;0.034;0.032;0.042;0.039;0.708;0.682;0.625;1.0;0.799;0.598;0.6;0.755
transcript18_ENSCCNG00000000226;0.331;0.479;0.638;0.306;0.596;0.632;0.591;0.626;0.577;0.627;0.591;0.418;0.403;0.559;0.521;0.644;0.548;0.601;0.626;0.042;0.039;0.051;0.047;0.611;0.584;0.502;0.799;1.0;0.471;0.463;0.627
transcript18_ENSCPOG00000024843;0.425;0.238;0.28;0.608;0.648;0.65;0.648;0.65;0.637;0.719;0.648;0.688;0.555;0.664;0.698;0.689;0.811;0.632;0.65;0.045;0.036;0.043;0.055;0.654;0.655;0.545;0.598;0.471;1.0;0.951;0.719
transcript32_ENSCPOG00000024843;0.435;0.236;0.278;0.581;0.668;0.673;0.669;0.674;0.646;0.745;0.669;0.712;0.571;0.686;0.721;0.699;0.842;0.653;0.674;0.045;0.035;0.043;0.055;0.662;0.664;0.553;0.6;0.463;0.951;1.0;0.745
transcript33_ENSCPOG00000024843;0.423;0.375;0.402;0.434;0.867;0.851;0.862;0.846;0.813;1.0;0.862;0.664;0.609;0.821;0.777;0.758;0.885;0.846;0.846;0.034;0.03;0.032;0.041;0.855;0.83;0.726;0.755;0.627;0.719;0.745;1.0
