;ENSCAFT00000002730_90_90;ENST00000339582_90_90;ENST00000341617_90_90;ENST00000358373_90_90;ENST00000412160_90_90;ENST00000444921_90_90;ENST00000457830_90_90;ENST00000465844_90_90;ENST00000472701_90_90;ENSMUST00000090512_90_90;ENSMUST00000115323_90_90;ENSMUST00000115324_90_90;ENSMUST00000131897_90_90;ENSMUST00000132755_90_90
ENSCAFT00000002730_90_90;;0.908;0.506;0.816;0.061;0.316;0.344;0.119;0.816;1.0;0.892;0.892;0.411;0.061
ENST00000339582_90_90;0.908;;;;;;;;;0.908;0.816;0.816;0.344;0.061
ENST00000341617_90_90;0.506;;;;;;;;;0.506;0.506;0.506;0.514;0.083
ENST00000358373_90_90;0.816;;;;;;;;;0.816;0.908;0.908;0.344;0.061
ENST00000412160_90_90;0.061;;;;;;;;;0.061;0.061;0.061;0.135;1.0
ENST00000444921_90_90;0.316;;;;;;;;;0.316;0.254;0.254;0.0;0.0
ENST00000457830_90_90;0.344;;;;;;;;;0.344;0.344;0.344;0.833;0.135
ENST00000465844_90_90;0.119;;;;;;;;;0.119;0.119;0.119;0.246;0.0
ENST00000472701_90_90;0.816;;;;;;;;;0.816;0.908;0.908;0.344;0.061
ENSMUST00000090512_90_90;1.0;0.908;0.506;0.816;0.061;0.316;0.344;0.119;0.816;;;;;
ENSMUST00000115323_90_90;0.892;0.816;0.506;0.908;0.061;0.254;0.344;0.119;0.908;;;;;
ENSMUST00000115324_90_90;0.892;0.816;0.506;0.908;0.061;0.254;0.344;0.119;0.908;;;;;
ENSMUST00000131897_90_90;0.411;0.344;0.514;0.344;0.135;0.0;0.833;0.246;0.344;;;;;
ENSMUST00000132755_90_90;0.061;0.061;0.083;0.061;1.0;0.0;0.135;0.0;0.061;;;;;
