;ENSCAFT00000048684_90_90;ENST00000335135_90_90;ENST00000526716_90_90;ENST00000526974_90_90;ENST00000528027_90_90;ENST00000528712_90_90;ENST00000532059_90_90;ENST00000532977_90_90;ENST00000622443_90_90;ENSMUST00000067417_90_90;ENSMUST00000118022_90_90;ENSMUST00000121312_90_90;ENSMUST00000132122_90_90;ENSMUST00000137244_90_90;ENSMUST00000156782_90_90
ENSCAFT00000048684_90_90;1.0;0.999;0.397;0.052;0.264;0.534;1.0;0.036;0.997;1.0;0.999;0.532;0.036;0.026;0.026
ENST00000335135_90_90;0.999;1.0;0.397;0.052;0.264;0.534;0.998;0.036;0.998;0.997;0.999;0.532;0.036;0.026;0.026
ENST00000526716_90_90;0.397;0.397;1.0;0.0;0.0;0.744;0.397;0.0;0.398;0.398;0.399;0.75;0.0;0.0;0.0
ENST00000526974_90_90;0.052;0.052;0.0;1.0;0.197;0.0;0.052;0.696;0.051;0.052;0.053;0.0;0.681;0.493;0.493
ENST00000528027_90_90;0.264;0.264;0.0;0.197;1.0;0.0;0.263;0.137;0.262;0.266;0.267;0.0;0.134;0.097;0.097
ENST00000528712_90_90;0.534;0.534;0.744;0.0;0.0;1.0;0.533;0.0;0.535;0.531;0.532;1.0;0.0;0.0;0.0
ENST00000532059_90_90;1.0;0.998;0.397;0.052;0.263;0.533;1.0;0.036;0.995;0.999;0.997;0.531;0.036;0.026;0.026
ENST00000532977_90_90;0.036;0.036;0.0;0.696;0.137;0.0;0.036;1.0;0.035;0.036;0.037;0.0;0.979;0.708;0.708
ENST00000622443_90_90;0.997;0.998;0.398;0.051;0.262;0.535;0.995;0.035;1.0;0.995;0.997;0.533;0.035;0.025;0.025
ENSMUST00000067417_90_90;1.0;0.997;0.398;0.052;0.266;0.531;0.999;0.036;0.995;1.0;0.998;0.534;0.035;0.026;0.026
ENSMUST00000118022_90_90;0.999;0.999;0.399;0.053;0.267;0.532;0.997;0.037;0.997;0.998;1.0;0.535;0.036;0.026;0.026
ENSMUST00000121312_90_90;0.532;0.532;0.75;0.0;0.0;1.0;0.531;0.0;0.533;0.534;0.535;1.0;0.0;0.0;0.0
ENSMUST00000132122_90_90;0.036;0.036;0.0;0.681;0.134;0.0;0.036;0.979;0.035;0.035;0.036;0.0;1.0;0.723;0.723
ENSMUST00000137244_90_90;0.026;0.026;0.0;0.493;0.097;0.0;0.026;0.708;0.025;0.026;0.026;0.0;0.723;1.0;1.0
ENSMUST00000156782_90_90;0.026;0.026;0.0;0.493;0.097;0.0;0.026;0.708;0.025;0.026;0.026;0.0;0.723;1.0;1.0
