id_transcript;block_sequence
ENSCAFT00000039734_90_90;0.1.2.4.7.9.10.12.13.15.17.18.20.22.24.26.27.28.31.32.34.35.36.37.38.39.41.42.43.45.47.48.55.61
ENST00000360057_90_90;0.2.3.4.5.6.7.8.9.30.31.32.33.34.35.37.39.40.41.44.45.46.47.48.49.50.51.54.55.56.57.58.60.61
ENST00000378098_90_90;0.2.3.4.5.6.7.8.9.30.31.32.33.34.35.37.39.40.41.44.45.46.47.48.49.50.51.52
ENST00000378099_90_90;0.2.3.4.5.6.7.8.9.30.31.32.33.34.35.37.39.40.41.44.45.46.47.48.49.50.51.58.60.61
ENST00000482940_90_90;6.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.26.28.29.30.31
ENST00000489798_90_90;6.7.8.9.30.31.32.33.34.35.37.39.40.41.42
ENST00000538212_90_90;6.7.8.9.18.19.20.21.22.23.24.25.26.28.29.30.31.32.33.34.35.37.39.40.41.44.45.46.47.48.49.50.51.58.60.61
ENST00000552881_90_90;0.2.3.4.5.6.7.8.9.30.31.32.33.34.35.37.39.40.41.44.45.46.47.48.49.50.51.54.55.56
ENST00000639328_90_90;48.49.50.51.54.55.56.57.58.59
ENSMUST00000067888_90_90;0.1.2.4.7.9.10.12.13.15.17.18.20.22.24.26.27.28.31.32.34.35.36.37.38.39.41.42.43.45.47.48.49.51.52.53
ENSMUST00000114644_90_90;0.1.2.4.7.9.10.12.35.36.37.38.39.41.42.43.45.47.48.49.51.52.53
