;ENSCAFT00000039734_90_90;ENST00000360057_90_90;ENST00000378098_90_90;ENST00000378099_90_90;ENST00000482940_90_90;ENST00000489798_90_90;ENST00000538212_90_90;ENST00000552881_90_90;ENST00000639328_90_90;ENSMUST00000067888_90_90;ENSMUST00000114644_90_90
ENSCAFT00000039734_90_90;1.0;0.586;0.517;0.552;0.483;0.345;0.655;0.552;0.069;1.0;0.594
ENST00000360057_90_90;0.586;1.0;0.771;0.882;0.113;0.4;0.556;0.882;0.257;0.567;0.667
ENST00000378098_90_90;0.517;0.771;1.0;0.871;0.128;0.483;0.524;0.871;0.118;0.6;0.714
ENST00000378099_90_90;0.552;0.882;0.871;1.0;0.122;0.452;0.61;0.818;0.143;0.567;0.667
ENST00000482940_90_90;0.483;0.113;0.128;0.122;1.0;0.176;0.386;0.122;0.0;0.467;0.143
ENST00000489798_90_90;0.345;0.4;0.483;0.452;0.176;1.0;0.378;0.452;0.0;0.333;0.333
ENST00000538212_90_90;0.655;0.556;0.524;0.61;0.386;0.378;1.0;0.5;0.122;0.667;0.407
ENST00000552881_90_90;0.552;0.882;0.871;0.818;0.122;0.452;0.5;1.0;0.212;0.567;0.667
ENST00000639328_90_90;0.069;0.257;0.118;0.143;0.0;0.0;0.122;0.212;1.0;0.1;0.167
ENSMUST00000067888_90_90;1.0;0.567;0.6;0.567;0.467;0.333;0.667;0.567;0.1;1.0;0.639
ENSMUST00000114644_90_90;0.594;0.667;0.714;0.667;0.143;0.333;0.407;0.667;0.167;0.639;1.0
