;ENSCAFT00000017386_90_90;ENST00000233892_90_90;ENST00000323303_90_90;ENST00000409355_90_90;ENST00000409360_90_90;ENST00000409916_90_90;ENST00000417097_90_90;ENST00000448447_90_90;ENSMUST00000027122_90_90;ENSMUST00000159311_90_90;ENSMUST00000161122_90_90;ENSMUST00000162364_90_90;ENSMUST00000162553_90_90
ENSCAFT00000017386_90_90;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000233892_90_90;0.0;1.0;0.804;0.223;1.0;0.438;0.113;0.832;0.514;0.877;0.129;0.879;0.927
ENST00000323303_90_90;0.0;0.804;1.0;0.28;0.804;0.364;0.308;0.829;0.567;0.781;0.201;0.923;0.821
ENST00000409355_90_90;0.0;0.223;0.28;1.0;0.223;0.0;0.309;0.347;0.0;0.258;0.122;0.214;0.264
ENST00000409360_90_90;0.0;1.0;0.804;0.223;1.0;0.438;0.113;0.832;0.514;0.877;0.129;0.879;0.927
ENST00000409916_90_90;0.0;0.438;0.364;0.0;0.438;1.0;0.0;0.42;0.544;0.434;0.0;0.38;0.364
ENST00000417097_90_90;0.0;0.113;0.308;0.309;0.113;0.0;1.0;0.137;0.217;0.059;0.7;0.201;0.142
ENST00000448447_90_90;0.0;0.832;0.829;0.347;0.832;0.42;0.137;1.0;0.424;0.917;0.059;0.78;0.812
ENSMUST00000027122_90_90;0.0;0.514;0.567;0.0;0.514;0.544;0.217;0.424;1.0;0.492;0.332;0.652;0.415
ENSMUST00000159311_90_90;0.0;0.877;0.781;0.258;0.877;0.434;0.059;0.917;0.492;1.0;0.137;0.829;0.766
ENSMUST00000161122_90_90;0.0;0.129;0.201;0.122;0.129;0.0;0.7;0.059;0.332;0.137;1.0;0.308;0.121
ENSMUST00000162364_90_90;0.0;0.879;0.923;0.214;0.879;0.38;0.201;0.78;0.652;0.829;0.308;1.0;0.748
ENSMUST00000162553_90_90;0.0;0.927;0.821;0.264;0.927;0.364;0.142;0.812;0.415;0.766;0.121;0.748;1.0
