;ENSCAFT00000017221_90_90;ENSCAFT00000027149_90_90;ENST00000256062_90_90;ENST00000539277_90_90;ENST00000550354_90_90;ENST00000551659_90_90;ENST00000552618_90_90;ENST00000373701_90_90;ENST00000373719_90_90;ENST00000444774_90_90;ENSMUST00000060095_90_90;ENSMUST00000100772_90_90;ENSMUST00000140797_90_90;ENSMUST00000203991_90_90;ENSMUST00000044475_90_90;ENSMUST00000119299_90_90
ENSCAFT00000017221_90_90;1.0;0.469;0.243;0.218;0.06;0.231;0.224;0.477;0.467;0.142;0.254;0.241;0.236;0.099;0.467;0.477
ENSCAFT00000027149_90_90;0.469;1.0;0.405;0.41;0.058;0.438;0.429;0.948;0.969;0.175;0.438;0.417;0.354;0.148;0.976;0.955
ENST00000256062_90_90;0.243;0.405;1.0;0.87;0.091;0.797;0.78;0.411;0.404;0.168;0.754;0.75;0.462;0.237;0.404;0.411
ENST00000539277_90_90;0.218;0.41;0.87;1.0;0.079;0.916;0.899;0.397;0.412;0.169;0.762;0.758;0.449;0.244;0.412;0.397
ENST00000550354_90_90;0.06;0.058;0.091;0.079;1.0;0.072;0.055;0.059;0.058;0.0;0.081;0.059;0.124;0.0;0.058;0.059
ENST00000551659_90_90;0.231;0.438;0.797;0.916;0.072;1.0;0.983;0.426;0.441;0.175;0.841;0.839;0.528;0.224;0.441;0.426
ENST00000552618_90_90;0.224;0.429;0.78;0.899;0.055;0.983;1.0;0.417;0.432;0.178;0.831;0.853;0.517;0.228;0.432;0.417
ENST00000373701_90_90;0.477;0.948;0.411;0.397;0.059;0.426;0.417;1.0;0.979;0.162;0.459;0.438;0.335;0.128;0.972;0.993
ENST00000373719_90_90;0.467;0.969;0.404;0.412;0.058;0.441;0.432;0.979;1.0;0.175;0.455;0.435;0.345;0.14;0.993;0.972
ENST00000444774_90_90;0.142;0.175;0.168;0.169;0.0;0.175;0.178;0.162;0.175;1.0;0.172;0.177;0.28;0.583;0.175;0.162
ENSMUST00000060095_90_90;0.254;0.438;0.754;0.762;0.081;0.841;0.831;0.459;0.455;0.172;1.0;0.97;0.563;0.215;0.452;0.455
ENSMUST00000100772_90_90;0.241;0.417;0.75;0.758;0.059;0.839;0.853;0.438;0.435;0.177;0.97;1.0;0.535;0.221;0.431;0.434
ENSMUST00000140797_90_90;0.236;0.354;0.462;0.449;0.124;0.528;0.517;0.335;0.345;0.28;0.563;0.535;1.0;0.368;0.349;0.339
ENSMUST00000203991_90_90;0.099;0.148;0.237;0.244;0.0;0.224;0.228;0.128;0.14;0.583;0.215;0.221;0.368;1.0;0.144;0.132
ENSMUST00000044475_90_90;0.467;0.976;0.404;0.412;0.058;0.441;0.432;0.972;0.993;0.175;0.452;0.431;0.349;0.144;1.0;0.979
ENSMUST00000119299_90_90;0.477;0.955;0.411;0.397;0.059;0.426;0.417;0.993;0.972;0.162;0.455;0.434;0.339;0.132;0.979;1.0
