;ENSCAFT00000014740_90_90;ENST00000262493_90_90;ENST00000262494_90_90;ENST00000562316_90_90;ENST00000563661_90_90;ENST00000564727_90_90;ENST00000568375_90_90;ENST00000569295_90_90;ENST00000570235_90_90;ENST00000638705_90_90;ENST00000639268_90_90;ENST00000639341_90_90;ENST00000639770_90_90;ENST00000640469_90_90;ENST00000640893_90_90;ENSMUST00000034198_90_90;ENSMUST00000125716_90_90;ENSMUST00000127900_90_90;ENSMUST00000137202_90_90;ENSMUST00000138659_90_90;ENSMUST00000142466_90_90;ENSMUST00000149530_90_90
ENSCAFT00000014740_90_90;1.0;0.68;0.999;0.367;0.284;0.025;0.108;0.153;0.152;0.68;0.213;0.234;0.121;0.082;0.411;0.681;0.681;0.283;0.508;1.0;0.025;0.025
ENST00000262493_90_90;0.68;1.0;0.516;0.493;0.283;0.279;0.193;0.151;0.14;1.0;0.213;0.553;0.115;0.401;0.412;0.999;0.999;0.282;0.507;0.515;0.279;0.164
ENST00000262494_90_90;0.999;0.516;1.0;0.31;0.283;0.02;0.1;0.151;0.14;0.516;0.213;0.177;0.115;0.062;0.412;0.515;0.515;0.282;0.507;0.999;0.02;0.021
ENST00000562316_90_90;0.367;0.493;0.31;1.0;0.0;0.29;0.17;0.0;0.0;0.493;0.189;0.522;0.0;0.313;0.152;0.493;0.493;0.17;0.475;0.31;0.29;0.379
ENST00000563661_90_90;0.284;0.283;0.283;0.0;1.0;0.0;0.0;0.514;0.4;0.283;0.142;0.0;0.349;0.0;0.678;0.284;0.284;0.305;0.21;0.284;0.0;0.0
ENST00000564727_90_90;0.025;0.279;0.02;0.29;0.0;1.0;0.282;0.0;0.0;0.279;0.0;0.496;0.0;0.673;0.0;0.279;0.279;0.0;0.0;0.02;1.0;0.596
ENST00000568375_90_90;0.108;0.193;0.1;0.17;0.0;0.282;1.0;0.0;0.0;0.193;0.0;0.349;0.0;0.39;0.0;0.193;0.193;0.0;0.132;0.1;0.282;0.068
ENST00000569295_90_90;0.153;0.151;0.151;0.0;0.514;0.0;0.0;1.0;0.636;0.151;0.0;0.0;0.59;0.0;0.367;0.153;0.153;0.002;0.009;0.153;0.0;0.0
ENST00000570235_90_90;0.152;0.14;0.14;0.0;0.4;0.0;0.0;0.636;1.0;0.14;0.0;0.0;0.417;0.0;0.304;0.152;0.152;0.0;0.007;0.152;0.0;0.0
ENST00000638705_90_90;0.68;1.0;0.516;0.493;0.283;0.279;0.193;0.151;0.14;1.0;0.213;0.553;0.115;0.401;0.412;0.999;0.999;0.282;0.507;0.515;0.279;0.164
ENST00000639268_90_90;0.213;0.213;0.213;0.189;0.142;0.0;0.0;0.0;0.0;0.213;1.0;0.0;0.0;0.0;0.112;0.213;0.213;0.751;0.419;0.213;0.0;0.0
ENST00000639341_90_90;0.234;0.553;0.177;0.522;0.0;0.496;0.349;0.0;0.0;0.553;0.0;1.0;0.0;0.726;0.138;0.553;0.553;0.0;0.243;0.177;0.496;0.288
ENST00000639770_90_90;0.121;0.115;0.115;0.0;0.349;0.0;0.0;0.59;0.417;0.115;0.0;0.0;1.0;0.0;0.26;0.121;0.121;0.0;0.008;0.121;0.0;0.0
ENST00000640469_90_90;0.082;0.401;0.062;0.313;0.0;0.673;0.39;0.0;0.0;0.401;0.0;0.726;0.0;1.0;0.0;0.401;0.401;0.0;0.065;0.062;0.673;0.388
ENST00000640893_90_90;0.411;0.412;0.412;0.152;0.678;0.0;0.0;0.367;0.304;0.412;0.112;0.138;0.26;0.0;1.0;0.411;0.411;0.236;0.404;0.411;0.0;0.0
ENSMUST00000034198_90_90;0.681;0.999;0.515;0.493;0.284;0.279;0.193;0.153;0.152;0.999;0.213;0.553;0.121;0.401;0.411;1.0;1.0;0.283;0.508;0.516;0.279;0.164
ENSMUST00000125716_90_90;0.681;0.999;0.515;0.493;0.284;0.279;0.193;0.153;0.152;0.999;0.213;0.553;0.121;0.401;0.411;1.0;1.0;0.283;0.508;0.516;0.279;0.164
ENSMUST00000127900_90_90;0.283;0.282;0.282;0.17;0.305;0.0;0.0;0.002;0.0;0.282;0.751;0.0;0.0;0.0;0.236;0.283;0.283;1.0;0.558;0.283;0.0;0.0
ENSMUST00000137202_90_90;0.508;0.507;0.507;0.475;0.21;0.0;0.132;0.009;0.007;0.507;0.419;0.243;0.008;0.065;0.404;0.508;0.508;0.558;1.0;0.508;0.0;0.0
ENSMUST00000138659_90_90;1.0;0.515;0.999;0.31;0.284;0.02;0.1;0.153;0.152;0.515;0.213;0.177;0.121;0.062;0.411;0.516;0.516;0.283;0.508;1.0;0.02;0.021
ENSMUST00000142466_90_90;0.025;0.279;0.02;0.29;0.0;1.0;0.282;0.0;0.0;0.279;0.0;0.496;0.0;0.673;0.0;0.279;0.279;0.0;0.0;0.02;1.0;0.596
ENSMUST00000149530_90_90;0.025;0.164;0.021;0.379;0.0;0.596;0.068;0.0;0.0;0.164;0.0;0.288;0.0;0.388;0.0;0.164;0.164;0.0;0.0;0.021;0.596;1.0
