;ENSCAFT00000009009_90_90;ENST00000227214_90_90;ENST00000354190_90_90;ENST00000398492_90_90;ENST00000398494_90_90;ENST00000535129_90_90;ENST00000535582_90_90;ENST00000536527_90_90;ENST00000538227_90_90;ENST00000539157_90_90;ENST00000540431_90_90;ENST00000541597_90_90;ENST00000542389_90_90;ENST00000543085_90_90;ENST00000543524_90_90;ENST00000545798_90_90;ENST00000546251_90_90;ENSMUST00000079176_90_90;ENSMUST00000107043_90_90;ENSMUST00000107044_90_90;ENSMUST00000107045_90_90;ENSMUST00000107046_90_90;ENSMUST00000107047_90_90;ENSMUST00000116287_90_90;ENSMUST00000138830_90_90;ENSMUST00000139708_90_90;ENSMUST00000151123_90_90;ENSMUST00000208812_90_90
ENSCAFT00000009009_90_90;1.0;0.764;0.937;0.798;0.907;0.764;0.479;0.255;0.573;0.59;0.681;0.659;0.658;0.557;0.623;0.346;0.421;0.948;0.547;0.774;0.918;0.774;0.807;0.918;0.506;0.609;0.934;0.34
ENST00000227214_90_90;0.764;1.0;0.778;0.909;0.844;1.0;0.619;0.326;0.736;0.486;0.883;0.864;0.56;0.73;0.818;0.448;0.527;0.768;0.697;0.986;0.833;0.986;0.896;0.833;0.641;0.776;0.754;0.339
ENST00000354190_90_90;0.937;0.778;1.0;0.856;0.922;0.778;0.481;0.255;0.577;0.589;0.692;0.672;0.66;0.568;0.636;0.348;0.423;0.989;0.543;0.768;0.911;0.768;0.846;0.911;0.499;0.604;0.975;0.368
ENST00000398492_90_90;0.798;0.909;0.856;1.0;0.778;0.909;0.562;0.297;0.671;0.449;0.805;0.785;0.516;0.663;0.744;0.407;0.485;0.846;0.634;0.896;0.768;0.896;0.987;0.768;0.583;0.705;0.832;0.43
ENST00000398494_90_90;0.907;0.844;0.922;0.778;1.0;0.844;0.522;0.277;0.625;0.638;0.749;0.729;0.716;0.616;0.69;0.378;0.454;0.911;0.589;0.833;0.988;0.833;0.768;0.988;0.542;0.655;0.898;0.29
ENST00000535129_90_90;0.764;1.0;0.778;0.909;0.844;1.0;0.619;0.326;0.736;0.486;0.883;0.864;0.56;0.73;0.818;0.448;0.527;0.768;0.697;0.986;0.833;0.986;0.896;0.833;0.641;0.776;0.754;0.339
ENST00000535582_90_90;0.479;0.619;0.481;0.562;0.522;0.619;1.0;0.519;0.773;0.706;0.65;0.716;0.73;0.349;0.756;0.724;0.783;0.477;0.696;0.613;0.518;0.613;0.558;0.518;0.946;0.777;0.484;0.517
ENST00000536527_90_90;0.255;0.326;0.255;0.297;0.277;0.326;0.519;1.0;0.405;0.397;0.342;0.376;0.383;0.064;0.397;0.706;0.419;0.254;0.452;0.324;0.275;0.324;0.295;0.275;0.493;0.408;0.257;0.659
ENST00000538227_90_90;0.573;0.736;0.577;0.671;0.625;0.736;0.773;0.405;1.0;0.581;0.772;0.847;0.673;0.476;0.893;0.559;0.636;0.577;0.849;0.736;0.625;0.736;0.671;0.625;0.8;0.925;0.585;0.413
ENST00000539157_90_90;0.59;0.486;0.589;0.449;0.638;0.486;0.706;0.397;0.581;1.0;0.555;0.547;0.88;0.266;0.571;0.549;0.596;0.587;0.52;0.484;0.635;0.484;0.447;0.635;0.68;0.585;0.595;0.409
ENST00000540431_90_90;0.681;0.883;0.692;0.805;0.749;0.883;0.65;0.342;0.772;0.555;1.0;0.907;0.583;0.622;0.859;0.47;0.549;0.685;0.735;0.873;0.741;0.873;0.796;0.741;0.677;0.818;0.694;0.356
ENST00000541597_90_90;0.659;0.864;0.672;0.785;0.729;0.864;0.716;0.376;0.847;0.547;0.907;1.0;0.632;0.594;0.947;0.518;0.596;0.663;0.806;0.851;0.719;0.851;0.774;0.719;0.742;0.897;0.672;0.386
ENST00000542389_90_90;0.658;0.56;0.66;0.516;0.716;0.56;0.73;0.383;0.673;0.88;0.583;0.632;1.0;0.332;0.661;0.528;0.606;0.655;0.608;0.555;0.711;0.555;0.512;0.711;0.756;0.675;0.664;0.393
ENST00000543085_90_90;0.557;0.73;0.568;0.663;0.616;0.73;0.349;0.064;0.476;0.266;0.622;0.594;0.332;1.0;0.549;0.178;0.294;0.561;0.432;0.721;0.609;0.721;0.656;0.609;0.375;0.511;0.548;0.096
ENST00000543524_90_90;0.623;0.818;0.636;0.744;0.69;0.818;0.756;0.397;0.893;0.571;0.859;0.947;0.661;0.549;1.0;0.547;0.624;0.628;0.85;0.806;0.68;0.806;0.732;0.68;0.783;0.947;0.636;0.405
ENST00000545798_90_90;0.346;0.448;0.348;0.407;0.378;0.448;0.724;0.706;0.559;0.549;0.47;0.518;0.528;0.178;0.547;1.0;0.579;0.345;0.624;0.443;0.374;0.443;0.403;0.374;0.683;0.561;0.35;0.677
ENST00000546251_90_90;0.421;0.527;0.423;0.485;0.454;0.527;0.783;0.419;0.636;0.596;0.549;0.596;0.606;0.294;0.624;0.579;1.0;0.419;0.569;0.522;0.45;0.522;0.481;0.45;0.748;0.638;0.424;0.426
ENSMUST00000079176_90_90;0.948;0.768;0.989;0.846;0.911;0.768;0.477;0.254;0.577;0.587;0.685;0.663;0.655;0.561;0.628;0.345;0.419;1.0;0.551;0.778;0.922;0.778;0.856;0.922;0.503;0.613;0.986;0.372
ENSMUST00000107043_90_90;0.547;0.697;0.543;0.634;0.589;0.697;0.696;0.452;0.849;0.52;0.735;0.806;0.608;0.432;0.85;0.624;0.569;0.551;1.0;0.709;0.598;0.709;0.644;0.598;0.74;0.899;0.559;0.466
ENSMUST00000107044_90_90;0.774;0.986;0.768;0.896;0.833;0.986;0.613;0.324;0.736;0.484;0.873;0.851;0.555;0.721;0.806;0.443;0.522;0.778;0.709;1.0;0.844;1.0;0.909;0.844;0.647;0.788;0.764;0.343
ENSMUST00000107045_90_90;0.918;0.833;0.911;0.768;0.988;0.833;0.518;0.275;0.625;0.635;0.741;0.719;0.711;0.609;0.68;0.374;0.45;0.922;0.598;0.844;1.0;0.844;0.778;1.0;0.546;0.665;0.908;0.294
ENSMUST00000107046_90_90;0.774;0.986;0.768;0.896;0.833;0.986;0.613;0.324;0.736;0.484;0.873;0.851;0.555;0.721;0.806;0.443;0.522;0.778;0.709;1.0;0.844;1.0;0.909;0.844;0.647;0.788;0.764;0.343
ENSMUST00000107047_90_90;0.807;0.896;0.846;0.987;0.768;0.896;0.558;0.295;0.671;0.447;0.796;0.774;0.512;0.656;0.732;0.403;0.481;0.856;0.644;0.909;0.778;0.909;1.0;0.778;0.588;0.716;0.842;0.434
ENSMUST00000116287_90_90;0.918;0.833;0.911;0.768;0.988;0.833;0.518;0.275;0.625;0.635;0.741;0.719;0.711;0.609;0.68;0.374;0.45;0.922;0.598;0.844;1.0;0.844;0.778;1.0;0.546;0.665;0.908;0.294
ENSMUST00000138830_90_90;0.506;0.641;0.499;0.583;0.542;0.641;0.946;0.493;0.8;0.68;0.677;0.742;0.756;0.375;0.783;0.683;0.748;0.503;0.74;0.647;0.546;0.647;0.588;0.546;1.0;0.821;0.51;0.505
ENSMUST00000139708_90_90;0.609;0.776;0.604;0.705;0.655;0.776;0.777;0.408;0.925;0.585;0.818;0.897;0.675;0.511;0.947;0.561;0.638;0.613;0.899;0.788;0.665;0.788;0.716;0.665;0.821;1.0;0.622;0.425
ENSMUST00000151123_90_90;0.934;0.754;0.975;0.832;0.898;0.754;0.484;0.257;0.585;0.595;0.694;0.672;0.664;0.548;0.636;0.35;0.424;0.986;0.559;0.764;0.908;0.764;0.842;0.908;0.51;0.622;1.0;0.377
ENSMUST00000208812_90_90;0.34;0.339;0.368;0.43;0.29;0.339;0.517;0.659;0.413;0.409;0.356;0.386;0.393;0.096;0.405;0.677;0.426;0.372;0.466;0.343;0.294;0.343;0.434;0.294;0.505;0.425;0.377;1.0
