;ENSCAFT00000023220_90_90;ENST00000248450_90_90;ENST00000420660_90_90;ENST00000422731_90_90;ENST00000444053_90_90;ENST00000447885_90_90;ENSMUST00000006462_90_90;ENSMUST00000178235_90_90;ENSMUST00000187046_90_90;ENSMUST00000190008_90_90
ENSCAFT00000023220_90_90;1.0;0.857;0.857;0.357;0.929;0.357;0.933;1.0;0.2;0.333
ENST00000248450_90_90;0.857;1.0;0.632;0.312;0.875;0.357;0.929;0.812;0.231;0.25
ENST00000420660_90_90;0.857;0.632;1.0;0.263;0.737;0.294;0.579;0.684;0.188;0.438
ENST00000422731_90_90;0.357;0.312;0.263;1.0;0.278;0.0;0.357;0.312;0.143;0.0
ENST00000444053_90_90;0.929;0.875;0.737;0.278;1.0;0.312;0.812;0.938;0.2;0.222
ENST00000447885_90_90;0.357;0.357;0.294;0.0;0.312;1.0;0.357;0.312;0.333;0.333
ENSMUST00000006462_90_90;0.933;0.929;0.579;0.357;0.812;0.357;1.0;0.882;0.2;0.238
ENSMUST00000178235_90_90;1.0;0.812;0.684;0.312;0.938;0.312;0.882;1.0;0.176;0.217
ENSMUST00000187046_90_90;0.2;0.231;0.188;0.143;0.2;0.333;0.2;0.176;1.0;0.077
ENSMUST00000190008_90_90;0.333;0.25;0.438;0.0;0.222;0.333;0.238;0.217;0.077;1.0
