;transcript38_ENSRNOG00000031503;transcript38_ENSCGRG00015005362;transcript38_ENSCGRG00000018457;transcript38_ENSSTOG00000019743;transcript37_ENSMUGG00000013649;transcript37_ENSMUGG00000013592;transcript37_ENSCGRG00001010245;transcript37_ENSPEMG00000024651;transcript37_ENSSTOG00000019743;transcript57_ENSMUGG00000013649;transcript57_ENSPEMG00000024651;transcript58_ENSMUGG00000013649;transcript58_ENSPEMG00000024651;transcript59_ENSMUGG00000013649;transcript59_ENSPEMG00000024651;transcript51_ENSMUGG00000013592;transcript8_ENSCGRG00000018457;transcript8_ENSCGRG00015005362;transcript8_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript8_ENSSTOG00000019743;transcript9_ENSCGRG00015005362;transcript9_ENSPEMG00000024651;transcript54_ENSCGRG00015005362;transcript52_ENSCGRG00000018457;transcript52_ENSCGRG00001010245;transcript56_ENSCGRG00000018457;transcript56_ENSPEMG00000024651;transcript65_ENSCGRG00000018457;transcript33_ENSPEMG00000024651;transcript33_ENSNGAG00000018584;transcript39_ENSPEMG00000024651;transcript39_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript40_ENSSTOG00000019743
transcript38_ENSRNOG00000031503;1.0;0.886;0.886;0.886;0.756;0.737;0.828;0.736;0.83;0.683;0.598;0.723;0.664;0.719;0.675;0.723;0.669;0.665;0.618;0.516;0.707;0.847;0.754;0.828;0.762;0.762;0.833;0.702;0.771;0.754;0.646;0.694;0.771;0.829;0.829;0.829
transcript38_ENSCGRG00015005362;0.886;1.0;1.0;1.0;0.843;0.824;0.932;0.83;0.935;0.739;0.654;0.797;0.742;0.787;0.753;0.798;0.729;0.725;0.656;0.553;0.754;0.956;0.843;0.934;0.869;0.869;0.936;0.779;0.879;0.843;0.726;0.776;0.861;0.934;0.934;0.934
transcript38_ENSCGRG00000018457;0.886;1.0;1.0;1.0;0.843;0.824;0.932;0.83;0.935;0.739;0.654;0.797;0.742;0.787;0.753;0.798;0.729;0.725;0.656;0.553;0.754;0.956;0.843;0.934;0.869;0.869;0.936;0.779;0.879;0.843;0.726;0.776;0.861;0.934;0.934;0.934
transcript38_ENSSTOG00000019743;0.886;1.0;1.0;1.0;0.843;0.824;0.932;0.83;0.935;0.739;0.654;0.797;0.742;0.787;0.753;0.798;0.729;0.725;0.656;0.553;0.754;0.956;0.843;0.934;0.869;0.869;0.936;0.779;0.879;0.843;0.726;0.776;0.861;0.934;0.934;0.934
transcript37_ENSMUGG00000013649;0.756;0.843;0.843;0.843;1.0;0.97;0.891;0.81;0.902;0.849;0.729;0.911;0.823;0.894;0.824;0.928;0.591;0.589;0.557;0.473;0.614;0.871;0.778;0.889;0.785;0.785;0.795;0.697;0.773;0.778;0.697;0.846;0.953;0.882;0.882;0.882
transcript37_ENSMUGG00000013592;0.737;0.824;0.824;0.824;0.97;1.0;0.87;0.799;0.882;0.829;0.721;0.89;0.808;0.873;0.808;0.956;0.579;0.577;0.548;0.467;0.603;0.85;0.763;0.868;0.769;0.769;0.778;0.685;0.757;0.763;0.685;0.831;0.931;0.862;0.862;0.862
transcript37_ENSCGRG00001010245;0.828;0.932;0.932;0.932;0.891;0.87;1.0;0.877;0.983;0.777;0.687;0.836;0.776;0.825;0.783;0.843;0.677;0.675;0.618;0.517;0.702;0.958;0.834;0.977;0.871;0.871;0.889;0.756;0.859;0.834;0.733;0.806;0.898;0.97;0.97;0.97
transcript37_ENSPEMG00000024651;0.736;0.83;0.83;0.83;0.81;0.799;0.877;1.0;0.866;0.7;0.755;0.759;0.851;0.746;0.862;0.772;0.638;0.637;0.671;0.506;0.657;0.841;0.875;0.859;0.783;0.783;0.796;0.811;0.776;0.875;0.671;0.889;0.814;0.853;0.853;0.853
transcript37_ENSSTOG00000019743;0.83;0.935;0.935;0.935;0.902;0.882;0.983;0.866;1.0;0.779;0.681;0.839;0.77;0.827;0.779;0.852;0.679;0.675;0.615;0.519;0.703;0.962;0.835;0.98;0.875;0.875;0.886;0.754;0.864;0.835;0.74;0.8;0.905;0.975;0.975;0.975
transcript57_ENSMUGG00000013649;0.683;0.739;0.739;0.739;0.849;0.829;0.777;0.7;0.779;1.0;0.723;0.885;0.753;0.91;0.752;0.867;0.543;0.543;0.506;0.428;0.565;0.782;0.694;0.799;0.696;0.696;0.678;0.596;0.684;0.694;0.627;0.744;0.838;0.793;0.793;0.793
transcript57_ENSPEMG00000024651;0.598;0.654;0.654;0.654;0.729;0.721;0.687;0.755;0.681;0.723;1.0;0.74;0.86;0.726;0.842;0.733;0.482;0.481;0.501;0.401;0.487;0.681;0.712;0.699;0.639;0.639;0.605;0.627;0.631;0.712;0.575;0.837;0.733;0.694;0.694;0.694
transcript58_ENSMUGG00000013649;0.723;0.797;0.797;0.797;0.911;0.89;0.836;0.759;0.839;0.885;0.74;1.0;0.82;0.93;0.805;0.926;0.566;0.564;0.529;0.449;0.587;0.839;0.749;0.858;0.755;0.755;0.738;0.653;0.743;0.749;0.663;0.803;0.9;0.852;0.852;0.852
transcript58_ENSPEMG00000024651;0.664;0.742;0.742;0.742;0.823;0.808;0.776;0.851;0.77;0.753;0.86;0.82;1.0;0.799;0.945;0.797;0.564;0.562;0.601;0.461;0.582;0.769;0.806;0.788;0.715;0.715;0.696;0.724;0.708;0.806;0.625;0.939;0.828;0.782;0.782;0.782
transcript59_ENSMUGG00000013649;0.719;0.787;0.787;0.787;0.894;0.873;0.825;0.746;0.827;0.91;0.726;0.93;0.799;1.0;0.797;0.909;0.57;0.569;0.533;0.453;0.592;0.829;0.738;0.847;0.745;0.745;0.727;0.642;0.733;0.738;0.662;0.79;0.888;0.841;0.841;0.841
transcript59_ENSPEMG00000024651;0.675;0.753;0.753;0.753;0.824;0.808;0.783;0.862;0.779;0.752;0.842;0.805;0.945;0.797;1.0;0.791;0.574;0.57;0.617;0.469;0.594;0.78;0.821;0.795;0.724;0.724;0.706;0.738;0.716;0.821;0.631;0.965;0.847;0.796;0.796;0.796
transcript51_ENSMUGG00000013592;0.723;0.798;0.798;0.798;0.928;0.956;0.843;0.772;0.852;0.867;0.733;0.926;0.797;0.909;0.791;1.0;0.553;0.551;0.521;0.447;0.576;0.837;0.746;0.855;0.755;0.755;0.751;0.664;0.743;0.746;0.674;0.802;0.9;0.849;0.849;0.849
transcript8_ENSCGRG00000018457;0.669;0.729;0.729;0.729;0.591;0.579;0.677;0.638;0.679;0.543;0.482;0.566;0.564;0.57;0.574;0.553;1.0;0.995;0.724;0.623;0.812;0.697;0.647;0.681;0.764;0.764;0.716;0.65;0.774;0.647;0.564;0.582;0.607;0.682;0.682;0.682
transcript8_ENSCGRG00015005362;0.665;0.725;0.725;0.725;0.589;0.577;0.675;0.637;0.675;0.543;0.481;0.564;0.562;0.569;0.57;0.551;0.995;1.0;0.72;0.619;0.808;0.693;0.644;0.679;0.76;0.76;0.712;0.646;0.77;0.644;0.56;0.579;0.604;0.678;0.678;0.678
transcript8_ENSPEMG00000024651;0.618;0.656;0.656;0.656;0.557;0.548;0.618;0.671;0.615;0.506;0.501;0.529;0.601;0.533;0.617;0.521;0.724;0.72;1.0;0.664;0.858;0.627;0.727;0.617;0.571;0.571;0.645;0.736;0.578;0.727;0.506;0.624;0.571;0.618;0.618;0.618
transcript8_ENSNGAG00000018584;0.516;0.553;0.553;0.553;0.473;0.467;0.517;0.506;0.519;0.428;0.401;0.449;0.461;0.453;0.469;0.447;0.623;0.619;0.664;1.0;0.733;0.529;0.504;0.519;0.487;0.487;0.548;0.513;0.493;0.504;0.701;0.475;0.481;0.521;0.521;0.521
transcript8_ENSSTOG00000019743;0.707;0.754;0.754;0.754;0.614;0.603;0.702;0.657;0.703;0.565;0.487;0.587;0.582;0.592;0.594;0.576;0.812;0.808;0.858;0.733;1.0;0.721;0.658;0.704;0.641;0.641;0.741;0.659;0.649;0.658;0.562;0.601;0.631;0.705;0.705;0.705
transcript9_ENSCGRG00015005362;0.847;0.956;0.956;0.956;0.871;0.85;0.958;0.841;0.962;0.782;0.681;0.839;0.769;0.829;0.78;0.837;0.697;0.693;0.627;0.529;0.721;1.0;0.863;0.978;0.912;0.912;0.895;0.766;0.901;0.863;0.756;0.788;0.889;0.978;0.978;0.978
transcript9_ENSPEMG00000024651;0.754;0.843;0.843;0.843;0.778;0.763;0.834;0.875;0.835;0.694;0.712;0.749;0.806;0.738;0.821;0.746;0.647;0.644;0.727;0.504;0.658;0.863;1.0;0.848;0.805;0.805;0.789;0.888;0.8;1.0;0.678;0.827;0.795;0.848;0.848;0.848
transcript54_ENSCGRG00015005362;0.828;0.934;0.934;0.934;0.889;0.868;0.977;0.859;0.98;0.799;0.699;0.858;0.788;0.847;0.795;0.855;0.681;0.679;0.617;0.519;0.704;0.978;0.848;1.0;0.891;0.891;0.873;0.751;0.879;0.848;0.745;0.803;0.905;0.993;0.993;0.993
transcript52_ENSCGRG00000018457;0.762;0.869;0.869;0.869;0.785;0.769;0.871;0.783;0.875;0.696;0.639;0.755;0.715;0.745;0.724;0.755;0.764;0.76;0.571;0.487;0.641;0.912;0.805;0.891;1.0;1.0;0.807;0.706;0.987;0.805;0.713;0.732;0.802;0.891;0.891;0.891
transcript52_ENSCGRG00001010245;0.762;0.869;0.869;0.869;0.785;0.769;0.871;0.783;0.875;0.696;0.639;0.755;0.715;0.745;0.724;0.755;0.764;0.76;0.571;0.487;0.641;0.912;0.805;0.891;1.0;1.0;0.807;0.706;0.987;0.805;0.713;0.732;0.802;0.891;0.891;0.891
transcript56_ENSCGRG00000018457;0.833;0.936;0.936;0.936;0.795;0.778;0.889;0.796;0.886;0.678;0.605;0.738;0.696;0.727;0.706;0.751;0.716;0.712;0.645;0.548;0.741;0.895;0.789;0.873;0.807;0.807;1.0;0.815;0.817;0.789;0.695;0.728;0.799;0.874;0.874;0.874
transcript56_ENSPEMG00000024651;0.702;0.779;0.779;0.779;0.697;0.685;0.756;0.811;0.754;0.596;0.627;0.653;0.724;0.642;0.738;0.664;0.65;0.646;0.736;0.513;0.659;0.766;0.888;0.751;0.706;0.706;0.815;1.0;0.703;0.888;0.611;0.751;0.7;0.752;0.752;0.752
transcript65_ENSCGRG00000018457;0.771;0.879;0.879;0.879;0.773;0.757;0.859;0.776;0.864;0.684;0.631;0.743;0.708;0.733;0.716;0.743;0.774;0.77;0.578;0.493;0.649;0.901;0.8;0.879;0.987;0.987;0.817;0.703;1.0;0.8;0.709;0.724;0.79;0.879;0.879;0.879
transcript33_ENSPEMG00000024651;0.754;0.843;0.843;0.843;0.778;0.763;0.834;0.875;0.835;0.694;0.712;0.749;0.806;0.738;0.821;0.746;0.647;0.644;0.727;0.504;0.658;0.863;1.0;0.848;0.805;0.805;0.789;0.888;0.8;1.0;0.678;0.827;0.795;0.848;0.848;0.848
transcript33_ENSNGAG00000018584;0.646;0.726;0.726;0.726;0.697;0.685;0.733;0.671;0.74;0.627;0.575;0.663;0.625;0.662;0.631;0.674;0.564;0.56;0.506;0.701;0.562;0.756;0.678;0.745;0.713;0.713;0.695;0.611;0.709;0.678;1.0;0.644;0.705;0.746;0.746;0.746
transcript39_ENSPEMG00000024651;0.694;0.776;0.776;0.776;0.846;0.831;0.806;0.889;0.8;0.744;0.837;0.803;0.939;0.79;0.965;0.802;0.582;0.579;0.624;0.475;0.601;0.788;0.827;0.803;0.732;0.732;0.728;0.751;0.724;0.827;0.644;1.0;0.873;0.806;0.806;0.806
transcript39_ENSSTOG00000019743;0.771;0.861;0.861;0.861;0.953;0.931;0.898;0.814;0.905;0.838;0.733;0.9;0.828;0.888;0.847;0.9;0.607;0.604;0.571;0.481;0.631;0.889;0.795;0.905;0.802;0.802;0.799;0.7;0.79;0.795;0.705;0.873;1.0;0.908;0.908;0.908
transcript26_ENSSTOG00000019743;0.829;0.934;0.934;0.934;0.882;0.862;0.97;0.853;0.975;0.793;0.694;0.852;0.782;0.841;0.796;0.849;0.682;0.678;0.618;0.521;0.705;0.978;0.848;0.993;0.891;0.891;0.874;0.752;0.879;0.848;0.746;0.806;0.908;1.0;1.0;1.0
transcript29_ENSSTOG00000019743;0.829;0.934;0.934;0.934;0.882;0.862;0.97;0.853;0.975;0.793;0.694;0.852;0.782;0.841;0.796;0.849;0.682;0.678;0.618;0.521;0.705;0.978;0.848;0.993;0.891;0.891;0.874;0.752;0.879;0.848;0.746;0.806;0.908;1.0;1.0;1.0
transcript40_ENSSTOG00000019743;0.829;0.934;0.934;0.934;0.882;0.862;0.97;0.853;0.975;0.793;0.694;0.852;0.782;0.841;0.796;0.849;0.682;0.678;0.618;0.521;0.705;0.978;0.848;0.993;0.891;0.891;0.874;0.752;0.879;0.848;0.746;0.806;0.908;1.0;1.0;1.0
