;transcript1_ENSMLUG00000027828;transcript1_ENSSTOG00000019743;transcript1_ENSCCNG00000000226;transcript10_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript28_ENSMLUG00000027828;transcript9_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript29_ENSCPOG00000024843;transcript30_ENSSTOG00000019743;transcript30_ENSCCNG00000000226;transcript31_ENSSTOG00000019743;transcript35_ENSCPOG00000024843;transcript36_ENSCPOG00000024843;transcript37_ENSCPOG00000024843
transcript1_ENSMLUG00000027828;1.0;1.0;1.0;0.874;0.874;0.863;0.87;0.947;0.949;0.947;0.949;0.93;1.0;0.981;1.0
transcript1_ENSSTOG00000019743;1.0;1.0;1.0;0.874;0.874;0.867;0.87;0.946;0.946;0.946;0.945;0.932;1.0;0.986;1.0
transcript1_ENSCCNG00000000226;1.0;1.0;1.0;0.866;0.866;0.853;0.865;0.945;0.947;0.945;0.947;0.931;1.0;0.984;1.0
transcript10_ENSMLUG00000027828;0.874;0.874;0.866;1.0;1.0;0.988;0.996;0.922;0.921;0.922;0.913;0.904;0.874;0.855;0.874
transcript16_ENSMLUG00000027828;0.874;0.874;0.866;1.0;1.0;0.988;0.996;0.922;0.921;0.922;0.913;0.904;0.874;0.855;0.874
transcript28_ENSMLUG00000027828;0.863;0.867;0.853;0.988;0.988;1.0;0.988;0.915;0.909;0.915;0.899;0.91;0.863;0.864;0.863
transcript9_ENSSTOG00000019743;0.87;0.87;0.865;0.996;0.996;0.988;1.0;0.92;0.92;0.92;0.916;0.905;0.87;0.856;0.87
transcript29_ENSSTOG00000019743;0.947;0.946;0.945;0.922;0.922;0.915;0.92;1.0;1.0;1.0;1.0;0.986;0.946;0.932;0.946
transcript29_ENSCPOG00000024843;0.949;0.946;0.947;0.921;0.921;0.909;0.92;1.0;1.0;1.0;1.0;0.986;0.948;0.933;0.948
transcript30_ENSSTOG00000019743;0.947;0.946;0.945;0.922;0.922;0.915;0.92;1.0;1.0;1.0;1.0;0.986;0.946;0.932;0.946
transcript30_ENSCCNG00000000226;0.949;0.945;0.947;0.913;0.913;0.899;0.916;1.0;1.0;1.0;1.0;0.985;0.947;0.93;0.947
transcript31_ENSSTOG00000019743;0.93;0.932;0.931;0.904;0.904;0.91;0.905;0.986;0.986;0.986;0.985;1.0;0.932;0.945;0.932
transcript35_ENSCPOG00000024843;1.0;1.0;1.0;0.874;0.874;0.863;0.87;0.946;0.948;0.946;0.947;0.932;1.0;0.985;1.0
transcript36_ENSCPOG00000024843;0.981;0.986;0.984;0.855;0.855;0.864;0.856;0.932;0.933;0.932;0.93;0.945;0.985;1.0;0.985
transcript37_ENSCPOG00000024843;1.0;1.0;1.0;0.874;0.874;0.863;0.87;0.946;0.948;0.946;0.947;0.932;1.0;0.985;1.0
