;ENSCAFT00000028452_90_90;ENST00000331224_90_90;ENST00000341267_90_90;ENST00000392848_90_90;ENST00000556051_90_90;ENSMUST00000056110_90_90;ENSMUST00000109841_90_90;ENSMUST00000109842_90_90;ENSMUST00000109843_90_90;ENSMUST00000109844_90_90;ENSMUST00000109846_90_90;ENSMUST00000124293_90_90;ENSMUST00000173539_90_90;ENSMUST00000173812_90_90
ENSCAFT00000028452_90_90;1.0;0.809;0.999;0.252;0.227;0.998;0.755;0.808;0.75;0.998;0.865;0.422;0.802;0.318
ENST00000331224_90_90;0.809;1.0;0.809;0.313;0.243;0.807;0.932;0.997;0.926;0.807;0.931;0.52;0.99;0.297
ENST00000341267_90_90;0.999;0.809;1.0;0.253;0.202;0.997;0.755;0.807;0.749;0.997;0.864;0.421;0.802;0.318
ENST00000392848_90_90;0.252;0.313;0.253;1.0;0.6;0.251;0.331;0.31;0.333;0.251;0.289;0.399;0.312;0.0
ENST00000556051_90_90;0.227;0.243;0.202;0.6;1.0;0.225;0.298;0.278;0.3;0.225;0.26;0.347;0.28;0.0
ENSMUST00000056110_90_90;0.998;0.807;0.997;0.251;0.225;1.0;0.758;0.81;0.753;1.0;0.868;0.404;0.805;0.316
ENSMUST00000109841_90_90;0.755;0.932;0.755;0.331;0.298;0.758;1.0;0.936;0.993;0.758;0.874;0.524;0.929;0.247
ENSMUST00000109842_90_90;0.808;0.997;0.807;0.31;0.278;0.81;0.936;1.0;0.929;0.81;0.934;0.493;0.994;0.295
ENSMUST00000109843_90_90;0.75;0.926;0.749;0.333;0.3;0.753;0.993;0.929;1.0;0.753;0.868;0.528;0.935;0.241
ENSMUST00000109844_90_90;0.998;0.807;0.997;0.251;0.225;1.0;0.758;0.81;0.753;1.0;0.868;0.404;0.805;0.316
ENSMUST00000109846_90_90;0.865;0.931;0.864;0.289;0.26;0.868;0.874;0.934;0.868;0.868;1.0;0.462;0.928;0.36
ENSMUST00000124293_90_90;0.422;0.52;0.421;0.399;0.347;0.404;0.524;0.493;0.528;0.404;0.462;1.0;0.496;0.0
ENSMUST00000173539_90_90;0.802;0.99;0.802;0.312;0.28;0.805;0.929;0.994;0.935;0.805;0.928;0.496;1.0;0.289
ENSMUST00000173812_90_90;0.318;0.297;0.318;0.0;0.0;0.316;0.247;0.295;0.241;0.316;0.36;0.0;0.289;1.0
