;ENSCAFT00000021589_90_90;ENSCAFT00000021597_90_90;ENSCAFT00000021600_90_90;ENST00000324432_90_90;ENST00000413936_90_90;ENST00000423646_90_90;ENST00000425780_90_90;ENST00000429179_90_90;ENST00000430490_90_90;ENST00000435251_90_90;ENST00000435861_90_90;ENST00000438930_90_90;ENST00000442516_90_90;ENST00000446600_90_90;ENST00000446820_90_90;ENST00000451769_90_90;ENST00000456590_90_90;ENST00000457529_90_90;ENSMUST00000005072_90_90;ENSMUST00000111142_90_90;ENSMUST00000111144_90_90;ENSMUST00000111145_90_90;ENSMUST00000125827_90_90;ENSMUST00000130345_90_90;ENSMUST00000199239_90_90
ENSCAFT00000021589_90_90;1.0;0.857;0.857;0.963;0.963;0.407;0.222;0.37;0.963;0.259;0.296;0.296;0.074;0.63;0.815;0.148;0.111;0.185;0.923;0.962;0.885;0.885;0.731;0.038;0.5
ENSCAFT00000021597_90_90;0.857;1.0;1.0;0.815;0.815;0.478;0.261;0.435;0.815;0.304;0.348;0.348;0.087;0.481;0.957;0.174;0.13;0.217;0.88;0.92;1.0;1.0;0.75;0.043;0.565
ENSCAFT00000021600_90_90;0.857;1.0;1.0;0.815;0.815;0.478;0.261;0.435;0.815;0.304;0.348;0.348;0.087;0.481;0.957;0.174;0.13;0.217;0.88;0.92;1.0;1.0;0.75;0.043;0.565
ENST00000324432_90_90;0.963;0.815;0.815;1.0;1.0;0.414;0.207;0.379;1.0;0.267;0.233;0.233;0.069;0.655;0.862;0.138;0.103;0.172;0.885;0.923;0.846;0.846;0.692;0.04;0.462
ENST00000413936_90_90;0.963;0.815;0.815;1.0;1.0;0.414;0.207;0.379;1.0;0.267;0.233;0.233;0.069;0.655;0.862;0.138;0.103;0.172;0.885;0.923;0.846;0.846;0.692;0.04;0.462
ENST00000423646_90_90;0.407;0.478;0.478;0.414;0.414;1.0;0.5;0.917;0.414;0.0;0.538;0.538;0.167;0.069;0.48;0.333;0.25;0.417;0.458;0.44;0.478;0.478;0.579;0.091;0.846
ENST00000425780_90_90;0.222;0.261;0.261;0.207;0.207;0.5;1.0;0.545;0.207;0.0;0.75;0.75;0.333;0.0;0.24;0.667;0.5;0.833;0.25;0.24;0.261;0.261;0.316;0.167;0.462
ENST00000429179_90_90;0.37;0.435;0.435;0.379;0.379;0.917;0.545;1.0;0.379;0.0;0.583;0.583;0.182;0.034;0.44;0.364;0.273;0.455;0.417;0.4;0.435;0.435;0.526;0.1;0.769
ENST00000430490_90_90;0.963;0.815;0.815;1.0;1.0;0.414;0.207;0.379;1.0;0.267;0.233;0.233;0.069;0.655;0.862;0.138;0.103;0.172;0.885;0.923;0.846;0.846;0.692;0.04;0.462
ENST00000435251_90_90;0.259;0.304;0.304;0.267;0.267;0.0;0.0;0.0;0.267;1.0;0.0;0.0;0.0;0.4;0.308;0.0;0.0;0.0;0.24;0.28;0.304;0.304;0.13;0.0;0.0
ENST00000435861_90_90;0.296;0.348;0.348;0.233;0.233;0.538;0.75;0.583;0.233;0.0;1.0;1.0;0.25;0.0;0.269;0.5;0.375;0.625;0.333;0.32;0.348;0.348;0.421;0.125;0.615
ENST00000438930_90_90;0.296;0.348;0.348;0.233;0.233;0.538;0.75;0.583;0.233;0.0;1.0;1.0;0.25;0.0;0.269;0.5;0.375;0.625;0.333;0.32;0.348;0.348;0.421;0.125;0.615
ENST00000442516_90_90;0.074;0.087;0.087;0.069;0.069;0.167;0.333;0.182;0.069;0.0;0.25;0.25;1.0;0.0;0.08;0.5;0.667;0.4;0.083;0.08;0.087;0.087;0.105;0.5;0.154
ENST00000446600_90_90;0.63;0.481;0.481;0.655;0.655;0.069;0.0;0.034;0.655;0.4;0.0;0.0;0.0;1.0;0.517;0.0;0.0;0.0;0.538;0.577;0.5;0.5;0.346;0.0;0.115
ENST00000446820_90_90;0.815;0.957;0.957;0.862;0.862;0.48;0.24;0.44;0.862;0.308;0.269;0.269;0.08;0.517;1.0;0.16;0.12;0.2;0.84;0.88;0.957;0.957;0.708;0.045;0.522
ENST00000451769_90_90;0.148;0.174;0.174;0.138;0.138;0.333;0.667;0.364;0.138;0.0;0.5;0.5;0.5;0.0;0.16;1.0;0.75;0.8;0.167;0.16;0.174;0.174;0.211;0.25;0.308
ENST00000456590_90_90;0.111;0.13;0.13;0.103;0.103;0.25;0.5;0.273;0.103;0.0;0.375;0.375;0.667;0.0;0.12;0.75;1.0;0.6;0.125;0.12;0.13;0.13;0.158;0.333;0.231
ENST00000457529_90_90;0.185;0.217;0.217;0.172;0.172;0.417;0.833;0.455;0.172;0.0;0.625;0.625;0.4;0.0;0.2;0.8;0.6;1.0;0.208;0.2;0.217;0.217;0.263;0.2;0.385
ENSMUST00000005072_90_90;0.923;0.88;0.88;0.885;0.885;0.458;0.25;0.417;0.885;0.24;0.333;0.333;0.083;0.538;0.84;0.167;0.125;0.208;1.0;0.963;0.852;0.852;0.679;0.038;0.5
ENSMUST00000111142_90_90;0.962;0.92;0.92;0.923;0.923;0.44;0.24;0.4;0.923;0.28;0.32;0.32;0.08;0.577;0.88;0.16;0.12;0.2;0.963;1.0;0.889;0.889;0.655;0.037;0.481
ENSMUST00000111144_90_90;0.885;1.0;1.0;0.846;0.846;0.478;0.261;0.435;0.846;0.304;0.348;0.348;0.087;0.5;0.957;0.174;0.13;0.217;0.852;0.889;1.0;1.0;0.731;0.042;0.542
ENSMUST00000111145_90_90;0.885;1.0;1.0;0.846;0.846;0.478;0.261;0.435;0.846;0.304;0.348;0.348;0.087;0.5;0.957;0.174;0.13;0.217;0.852;0.889;1.0;1.0;0.731;0.042;0.542
ENSMUST00000125827_90_90;0.731;0.75;0.75;0.692;0.692;0.579;0.316;0.526;0.692;0.13;0.421;0.421;0.105;0.346;0.708;0.211;0.158;0.263;0.679;0.655;0.731;0.731;1.0;0.048;0.619
ENSMUST00000130345_90_90;0.038;0.043;0.043;0.04;0.04;0.091;0.167;0.1;0.04;0.0;0.125;0.125;0.5;0.0;0.045;0.25;0.333;0.2;0.038;0.037;0.042;0.042;0.048;1.0;0.077
ENSMUST00000199239_90_90;0.5;0.565;0.565;0.462;0.462;0.846;0.462;0.769;0.462;0.0;0.615;0.615;0.154;0.115;0.522;0.308;0.231;0.385;0.5;0.481;0.542;0.542;0.619;0.077;1.0
