;ENSCAFT00000007541_90_90;ENST00000260643_90_90;ENST00000406567_90_90;ENST00000430533_90_90;ENST00000441451_90_90;ENST00000444452_90_90;ENST00000456259_90_90;ENSMUST00000074840_90_90;ENSMUST00000201002_90_90;ENSMUST00000201821_90_90;ENSMUST00000202567_90_90
ENSCAFT00000007541_90_90;1.0;0.947;0.789;0.368;0.158;0.105;0.368;1.0;0.474;0.158;0.842
ENST00000260643_90_90;0.947;1.0;0.8;0.4;0.136;0.15;0.364;0.95;0.381;0.158;0.8
ENST00000406567_90_90;0.789;0.8;1.0;0.2;0.05;0.188;0.238;0.8;0.238;0.188;0.65
ENST00000430533_90_90;0.368;0.4;0.2;1.0;0.3;0.0;0.5;0.35;0.417;0.111;0.412
ENST00000441451_90_90;0.158;0.136;0.05;0.3;1.0;0.0;0.25;0.15;0.182;0.0;0.176
ENST00000444452_90_90;0.105;0.15;0.188;0.0;0.0;1.0;0.0;0.15;0.0;0.0;0.176
ENST00000456259_90_90;0.368;0.364;0.238;0.5;0.25;0.0;1.0;0.333;0.385;0.1;0.25
ENSMUST00000074840_90_90;1.0;0.95;0.8;0.35;0.15;0.15;0.333;1.0;0.409;0.15;0.85
ENSMUST00000201002_90_90;0.474;0.381;0.238;0.417;0.182;0.0;0.385;0.409;1.0;0.167;0.4
ENSMUST00000201821_90_90;0.158;0.158;0.188;0.111;0.0;0.0;0.1;0.15;0.167;1.0;0.176
ENSMUST00000202567_90_90;0.842;0.8;0.65;0.412;0.176;0.176;0.25;0.85;0.4;0.176;1.0
