;ENSCAFT00000020697_90_90;ENSCAFT00000043849_90_90;ENST00000242480_90_90;ENST00000411732_90_90;ENST00000439032_90_90;ENST00000637191_90_90;ENSMUST00000048289_90_90;ENSMUST00000105438_90_90;ENSMUST00000127820_90_90;ENSMUST00000130933_90_90;ENSMUST00000145754_90_90;ENSMUST00000145936_90_90;ENSMUST00000146986_90_90
ENSCAFT00000020697_90_90;1.0;0.553;0.383;0.397;0.383;0.0;0.373;0.388;0.403;0.0;0.036;0.131;0.0
ENSCAFT00000043849_90_90;0.553;1.0;0.278;0.289;0.278;0.0;0.272;0.282;0.293;0.0;0.0;0.0;0.0
ENST00000242480_90_90;0.383;0.278;1.0;0.961;1.0;0.195;0.88;0.843;0.807;0.039;0.19;0.321;0.12
ENST00000411732_90_90;0.397;0.289;0.961;1.0;0.961;0.156;0.843;0.875;0.838;0.013;0.183;0.317;0.125
ENST00000439032_90_90;0.383;0.278;1.0;0.961;1.0;0.195;0.88;0.843;0.807;0.039;0.19;0.321;0.12
ENST00000637191_90_90;0.0;0.0;0.195;0.156;0.195;1.0;0.175;0.138;0.1;0.2;0.462;0.324;0.476
ENSMUST00000048289_90_90;0.373;0.272;0.88;0.843;0.88;0.175;1.0;0.962;0.924;0.038;0.275;0.412;0.203
ENSMUST00000105438_90_90;0.388;0.282;0.843;0.875;0.843;0.138;0.962;1.0;0.961;0.013;0.269;0.41;0.211
ENSMUST00000127820_90_90;0.403;0.293;0.807;0.838;0.807;0.1;0.924;0.961;1.0;0.0;0.231;0.372;0.171
ENSMUST00000130933_90_90;0.0;0.0;0.039;0.013;0.039;0.2;0.038;0.013;0.0;1.0;0.083;0.057;0.056
ENSMUST00000145754_90_90;0.036;0.0;0.19;0.183;0.19;0.462;0.275;0.269;0.231;0.083;1.0;0.676;0.696
ENSMUST00000145936_90_90;0.131;0.0;0.321;0.317;0.321;0.324;0.412;0.41;0.372;0.057;0.676;1.0;0.471
ENSMUST00000146986_90_90;0.0;0.0;0.12;0.125;0.12;0.476;0.203;0.211;0.171;0.056;0.696;0.471;1.0
