;ENSCAFT00000026690_90_90;ENST00000311089_90_90;ENST00000553645_90_90;ENST00000554113_90_90;ENST00000554159_90_90;ENST00000554339_90_90;ENST00000554871_90_90;ENST00000555631_90_90;ENST00000555919_90_90;ENST00000559993_90_90;ENSMUST00000046340_90_90;ENSMUST00000123491_90_90;ENSMUST00000136159_90_90;ENSMUST00000140812_90_90;ENSMUST00000156138_90_90
ENSCAFT00000026690_90_90;1.0;0.336;0.962;0.217;0.41;0.5;0.798;0.732;0.339;0.305;0.764;0.928;0.428;0.251;0.321
ENST00000311089_90_90;0.336;1.0;0.379;0.536;0.0;0.674;0.47;0.32;0.0;0.628;0.42;0.346;0.0;0.615;0.0
ENST00000553645_90_90;0.962;0.379;1.0;0.209;0.382;0.565;0.809;0.688;0.314;0.252;0.761;0.928;0.411;0.242;0.321
ENST00000554113_90_90;0.217;0.536;0.209;1.0;0.0;0.377;0.26;0.297;0.0;0.689;0.281;0.228;0.0;0.475;0.0
ENST00000554159_90_90;0.41;0.0;0.382;0.0;1.0;0.121;0.338;0.398;0.509;0.0;0.33;0.391;0.432;0.0;0.489
ENST00000554339_90_90;0.5;0.674;0.565;0.377;0.121;1.0;0.635;0.494;0.044;0.447;0.625;0.517;0.0;0.44;0.0
ENST00000554871_90_90;0.798;0.47;0.809;0.26;0.338;0.635;1.0;0.851;0.388;0.312;0.919;0.764;0.253;0.294;0.154
ENST00000555631_90_90;0.732;0.32;0.688;0.297;0.398;0.494;0.851;1.0;0.462;0.357;0.875;0.724;0.281;0.279;0.174
ENST00000555919_90_90;0.339;0.0;0.314;0.0;0.509;0.044;0.388;0.462;1.0;0.0;0.381;0.317;0.481;0.0;0.302
ENST00000559993_90_90;0.305;0.628;0.252;0.689;0.0;0.447;0.312;0.357;0.0;1.0;0.339;0.278;0.0;0.736;0.0
ENSMUST00000046340_90_90;0.764;0.42;0.761;0.281;0.33;0.625;0.919;0.875;0.381;0.339;1.0;0.804;0.266;0.223;0.135
ENSMUST00000123491_90_90;0.928;0.346;0.928;0.228;0.391;0.517;0.764;0.724;0.317;0.278;0.804;1.0;0.45;0.183;0.313
ENSMUST00000136159_90_90;0.428;0.0;0.411;0.0;0.432;0.0;0.253;0.281;0.481;0.0;0.266;0.45;1.0;0.0;0.529
ENSMUST00000140812_90_90;0.251;0.615;0.242;0.475;0.0;0.44;0.294;0.279;0.0;0.736;0.223;0.183;0.0;1.0;0.0
ENSMUST00000156138_90_90;0.321;0.0;0.321;0.0;0.489;0.0;0.154;0.174;0.302;0.0;0.135;0.313;0.529;0.0;1.0
