;ENSCAFT00000017386_90_90;ENST00000233892_90_90;ENST00000323303_90_90;ENST00000409355_90_90;ENST00000409360_90_90;ENST00000409916_90_90;ENST00000417097_90_90;ENST00000448447_90_90;ENSMUST00000027122_90_90;ENSMUST00000159311_90_90;ENSMUST00000161122_90_90;ENSMUST00000162364_90_90;ENSMUST00000162553_90_90
ENSCAFT00000017386_90_90;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000233892_90_90;0.0;1.0;0.804;0.223;1.0;0.438;0.113;0.832;0.468;0.832;0.113;0.804;0.927
ENST00000323303_90_90;0.0;0.804;1.0;0.28;0.804;0.364;0.308;0.829;0.478;0.683;0.158;0.774;0.748
ENST00000409355_90_90;0.0;0.223;0.28;1.0;0.223;0.0;0.309;0.347;0.0;0.219;0.084;0.179;0.241
ENST00000409360_90_90;0.0;1.0;0.804;0.223;1.0;0.438;0.113;0.832;0.468;0.832;0.113;0.804;0.927
ENST00000409916_90_90;0.0;0.438;0.364;0.0;0.438;1.0;0.0;0.42;0.469;0.42;0.0;0.364;0.364
ENST00000417097_90_90;0.0;0.113;0.308;0.309;0.113;0.0;1.0;0.137;0.141;0.046;0.403;0.158;0.121
ENST00000448447_90_90;0.0;0.832;0.829;0.347;0.832;0.42;0.137;1.0;0.378;0.81;0.046;0.683;0.766
ENSMUST00000027122_90_90;0.0;0.468;0.478;0.0;0.468;0.469;0.141;0.378;1.0;0.492;0.332;0.652;0.415
ENSMUST00000159311_90_90;0.0;0.832;0.683;0.219;0.832;0.42;0.046;0.81;0.492;1.0;0.137;0.829;0.766
ENSMUST00000161122_90_90;0.0;0.113;0.158;0.084;0.113;0.0;0.403;0.046;0.332;0.137;1.0;0.308;0.121
ENSMUST00000162364_90_90;0.0;0.804;0.774;0.179;0.804;0.364;0.158;0.683;0.652;0.829;0.308;1.0;0.748
ENSMUST00000162553_90_90;0.0;0.927;0.748;0.241;0.927;0.364;0.121;0.766;0.415;0.766;0.121;0.748;1.0
