;ENSCAFT00000021663_90_90;ENSCAFT00000021664_90_90;ENST00000252268_90_90;ENST00000415073_90_90;ENST00000528416_90_90;ENST00000531989_90_90;ENST00000532102_90_90;ENSMUST00000025746_90_90;ENSMUST00000118623_90_90;ENSMUST00000136983_90_90
ENSCAFT00000021663_90_90;1.0;0.909;0.909;0.4;1.0;0.3;0.3;0.6;0.909;1.0
ENSCAFT00000021664_90_90;0.909;1.0;1.0;0.364;0.909;0.273;0.273;0.545;1.0;0.909
ENST00000252268_90_90;0.909;1.0;1.0;0.364;0.909;0.273;0.273;0.545;1.0;0.909
ENST00000415073_90_90;0.4;0.364;0.364;1.0;0.4;0.167;0.4;0.25;0.364;0.4
ENST00000528416_90_90;1.0;0.909;0.909;0.4;1.0;0.3;0.3;0.6;0.909;1.0
ENST00000531989_90_90;0.3;0.273;0.273;0.167;0.3;1.0;0.0;0.125;0.273;0.3
ENST00000532102_90_90;0.3;0.273;0.273;0.4;0.3;0.0;1.0;0.286;0.273;0.3
ENSMUST00000025746_90_90;0.6;0.545;0.545;0.25;0.6;0.125;0.286;1.0;0.545;0.6
ENSMUST00000118623_90_90;0.909;1.0;1.0;0.364;0.909;0.273;0.273;0.545;1.0;0.909
ENSMUST00000136983_90_90;1.0;0.909;0.909;0.4;1.0;0.3;0.3;0.6;0.909;1.0
