;transcript8_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript36_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript37_ENSCGRG00001010245;transcript38_MGP-PahariEiJ-G0020237;transcript38_ENSCGRG00001010245;transcript32_ENSCGRG00015005362;transcript33_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript22_ENSPEMG00000024651;transcript26_ENSCGRG00000018457;transcript26_ENSCGRG00001010245;transcript42_ENSCGRG00000018457;transcript43_ENSCGRG00000018457;transcript7_ENSCGRG00001010245;transcript29_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript24_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript5_ENSNGAG00000018584;transcript5_ENSSTOG00000019743;transcript17_ENSNGAG00000018584;transcript20_ENSNGAG00000018584;transcript12_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript14_ENSSTOG00000019743
transcript8_MGP-PahariEiJ-G0020237;1.0;0.843;1.0;1.0;0.955;0.405;0.399;0.297;0.311;0.297;0.291;0.297;0.297;0.303;0.303;0.308;0.294;0.291;0.291;0.292;0.255;0.289;0.233;0.235;0.289;0.205;0.289
transcript8_ENSRNOG00000031503;0.843;1.0;0.843;0.843;0.879;0.392;0.409;0.274;0.287;0.274;0.271;0.274;0.274;0.279;0.279;0.284;0.271;0.271;0.271;0.272;0.222;0.266;0.2;0.202;0.266;0.187;0.266
transcript36_MGP-PahariEiJ-G0020237;1.0;0.843;1.0;1.0;0.955;0.405;0.399;0.297;0.311;0.297;0.291;0.297;0.297;0.303;0.303;0.308;0.294;0.291;0.291;0.292;0.255;0.289;0.233;0.235;0.289;0.205;0.289
transcript37_MGP-PahariEiJ-G0020237;1.0;0.843;1.0;1.0;0.955;0.405;0.399;0.297;0.311;0.297;0.291;0.297;0.297;0.303;0.303;0.308;0.294;0.291;0.291;0.292;0.255;0.289;0.233;0.235;0.289;0.205;0.289
transcript37_ENSCGRG00001010245;0.955;0.879;0.955;0.955;1.0;0.387;0.402;0.311;0.326;0.311;0.307;0.311;0.311;0.317;0.317;0.323;0.308;0.307;0.307;0.308;0.265;0.303;0.244;0.245;0.303;0.213;0.303
transcript38_MGP-PahariEiJ-G0020237;0.405;0.392;0.405;0.405;0.387;1.0;0.963;0.121;0.126;0.121;0.123;0.121;0.121;0.123;0.123;0.125;0.119;0.123;0.123;0.124;0.108;0.117;0.084;0.085;0.117;0.032;0.117
transcript38_ENSCGRG00001010245;0.399;0.409;0.399;0.399;0.402;0.963;1.0;0.125;0.131;0.125;0.129;0.125;0.125;0.128;0.127;0.13;0.124;0.129;0.129;0.129;0.112;0.122;0.089;0.089;0.122;0.032;0.122
transcript32_ENSCGRG00015005362;0.297;0.274;0.297;0.297;0.311;0.121;0.125;1.0;0.955;1.0;0.834;1.0;1.0;0.981;0.983;0.912;0.956;0.791;0.791;0.833;0.652;0.973;0.635;0.639;0.973;0.883;0.973
transcript33_ENSCGRG00015005362;0.311;0.287;0.311;0.311;0.326;0.126;0.131;0.955;1.0;0.955;0.829;0.955;0.955;0.936;0.937;0.954;0.912;0.785;0.785;0.827;0.608;0.928;0.591;0.594;0.928;0.839;0.928
transcript22_ENSCGRG00000018457;0.297;0.274;0.297;0.297;0.311;0.121;0.125;1.0;0.955;1.0;0.834;1.0;1.0;0.981;0.983;0.912;0.956;0.791;0.791;0.833;0.652;0.973;0.635;0.639;0.973;0.883;0.973
transcript22_ENSPEMG00000024651;0.291;0.271;0.291;0.291;0.307;0.123;0.129;0.834;0.829;0.834;1.0;0.834;0.834;0.821;0.831;0.803;0.808;0.944;0.944;0.998;0.51;0.811;0.493;0.496;0.811;0.748;0.811
transcript26_ENSCGRG00000018457;0.297;0.274;0.297;0.297;0.311;0.121;0.125;1.0;0.955;1.0;0.834;1.0;1.0;0.981;0.983;0.912;0.956;0.791;0.791;0.833;0.652;0.973;0.635;0.639;0.973;0.883;0.973
transcript26_ENSCGRG00001010245;0.297;0.274;0.297;0.297;0.311;0.121;0.125;1.0;0.955;1.0;0.834;1.0;1.0;0.981;0.983;0.912;0.956;0.791;0.791;0.833;0.652;0.973;0.635;0.639;0.973;0.883;0.973
transcript42_ENSCGRG00000018457;0.303;0.279;0.303;0.303;0.317;0.123;0.128;0.981;0.936;0.981;0.821;0.981;0.981;1.0;0.964;0.893;0.938;0.778;0.778;0.819;0.644;0.954;0.627;0.631;0.954;0.865;0.954
transcript43_ENSCGRG00000018457;0.303;0.279;0.303;0.303;0.317;0.123;0.127;0.983;0.937;0.983;0.831;0.983;0.983;0.964;1.0;0.927;0.972;0.788;0.788;0.83;0.635;0.956;0.618;0.622;0.956;0.866;0.956
transcript7_ENSCGRG00001010245;0.308;0.284;0.308;0.308;0.323;0.125;0.13;0.912;0.954;0.912;0.803;0.912;0.912;0.893;0.927;1.0;0.955;0.804;0.804;0.801;0.601;0.939;0.584;0.578;0.939;0.849;0.939
transcript29_ENSCGRG00001010245;0.294;0.271;0.294;0.294;0.308;0.119;0.124;0.956;0.912;0.956;0.808;0.956;0.956;0.938;0.972;0.955;1.0;0.81;0.81;0.807;0.645;0.983;0.629;0.623;0.983;0.893;0.983
transcript15_ENSPEMG00000024651;0.291;0.271;0.291;0.291;0.307;0.123;0.129;0.791;0.785;0.791;0.944;0.791;0.791;0.778;0.788;0.804;0.81;1.0;1.0;0.942;0.512;0.813;0.495;0.491;0.813;0.75;0.813
transcript24_ENSPEMG00000024651;0.291;0.271;0.291;0.291;0.307;0.123;0.129;0.791;0.785;0.791;0.944;0.791;0.791;0.778;0.788;0.804;0.81;1.0;1.0;0.942;0.512;0.813;0.495;0.491;0.813;0.75;0.813
transcript31_ENSPEMG00000024651;0.292;0.272;0.292;0.292;0.308;0.124;0.129;0.833;0.827;0.833;0.998;0.833;0.833;0.819;0.83;0.801;0.807;0.942;0.942;1.0;0.509;0.81;0.491;0.495;0.81;0.747;0.81
transcript5_ENSNGAG00000018584;0.255;0.222;0.255;0.255;0.265;0.108;0.112;0.652;0.608;0.652;0.51;0.652;0.652;0.644;0.635;0.601;0.645;0.512;0.512;0.509;1.0;0.662;0.975;0.966;0.662;0.617;0.662
transcript5_ENSSTOG00000019743;0.289;0.266;0.289;0.289;0.303;0.117;0.122;0.973;0.928;0.973;0.811;0.973;0.973;0.954;0.956;0.939;0.983;0.813;0.813;0.81;0.662;1.0;0.645;0.639;1.0;0.91;1.0
transcript17_ENSNGAG00000018584;0.233;0.2;0.233;0.233;0.244;0.084;0.089;0.635;0.591;0.635;0.493;0.635;0.635;0.627;0.618;0.584;0.629;0.495;0.495;0.491;0.975;0.645;1.0;0.991;0.645;0.599;0.645
transcript20_ENSNGAG00000018584;0.235;0.202;0.235;0.235;0.245;0.085;0.089;0.639;0.594;0.639;0.496;0.639;0.639;0.631;0.622;0.578;0.623;0.491;0.491;0.495;0.966;0.639;0.991;1.0;0.639;0.593;0.639
transcript12_ENSSTOG00000019743;0.289;0.266;0.289;0.289;0.303;0.117;0.122;0.973;0.928;0.973;0.811;0.973;0.973;0.954;0.956;0.939;0.983;0.813;0.813;0.81;0.662;1.0;0.645;0.639;1.0;0.91;1.0
transcript13_ENSSTOG00000019743;0.205;0.187;0.205;0.205;0.213;0.032;0.032;0.883;0.839;0.883;0.748;0.883;0.883;0.865;0.866;0.849;0.893;0.75;0.75;0.747;0.617;0.91;0.599;0.593;0.91;1.0;0.91
transcript14_ENSSTOG00000019743;0.289;0.266;0.289;0.289;0.303;0.117;0.122;0.973;0.928;0.973;0.811;0.973;0.973;0.954;0.956;0.939;0.983;0.813;0.813;0.81;0.662;1.0;0.645;0.639;1.0;0.91;1.0
