;ENSCAFT00000005773_90_90;ENST00000391851_90_90;ENST00000454376_90_90;ENST00000524771_90_90;ENST00000526224_90_90;ENST00000527382_90_90;ENST00000528623_90_90;ENST00000529284_90_90;ENST00000529836_90_90;ENST00000532489_90_90;ENST00000534280_90_90;ENST00000534465_90_90;ENST00000610806_90_90;ENSMUST00000045325_90_90;ENSMUST00000107843_90_90;ENSMUST00000207370_90_90;ENSMUST00000207522_90_90;ENSMUST00000207659_90_90;ENSMUST00000208312_90_90;ENSMUST00000208778_90_90;ENSMUST00000208829_90_90;ENSMUST00000208938_90_90;ENSMUST00000209056_90_90;ENSMUST00000209124_90_90
ENSCAFT00000005773_90_90;1.0;0.215;0.252;0.305;0.188;0.176;0.164;0.188;0.265;0.162;0.144;0.176;0.23;0.856;0.998;0.951;0.079;0.684;0.585;0.519;0.328;0.305;0.41;0.561
ENST00000391851_90_90;0.215;1.0;0.951;0.534;0.455;0.582;0.16;0.453;0.29;0.921;0.03;0.586;0.807;0.19;0.173;0.179;0.0;0.201;0.072;0.171;0.254;0.0;0.024;0.206
ENST00000454376_90_90;0.252;0.951;1.0;0.581;0.433;0.553;0.152;0.431;0.276;0.876;0.076;0.558;0.768;0.223;0.203;0.209;0.0;0.194;0.069;0.189;0.242;0.0;0.023;0.246
ENST00000524771_90_90;0.305;0.534;0.581;1.0;0.676;0.697;0.235;0.673;0.427;0.478;0.096;0.693;0.452;0.317;0.281;0.292;0.0;0.246;0.113;0.295;0.365;0.0;0.054;0.387
ENST00000526224_90_90;0.188;0.455;0.433;0.676;1.0;0.782;0.226;0.996;0.482;0.494;0.0;0.776;0.453;0.201;0.177;0.184;0.0;0.239;0.032;0.176;0.399;0.0;0.0;0.279
ENST00000527382_90_90;0.176;0.582;0.553;0.697;0.782;1.0;0.182;0.779;0.387;0.632;0.0;0.992;0.396;0.181;0.161;0.167;0.0;0.211;0.028;0.153;0.327;0.0;0.0;0.242
ENST00000528623_90_90;0.164;0.16;0.152;0.235;0.226;0.182;1.0;0.227;0.576;0.119;0.0;0.18;0.197;0.191;0.164;0.172;0.0;0.238;0.129;0.316;0.496;0.0;0.0;0.292
ENST00000529284_90_90;0.188;0.453;0.431;0.673;0.996;0.779;0.227;1.0;0.484;0.492;0.0;0.773;0.454;0.201;0.177;0.185;0.0;0.24;0.032;0.177;0.4;0.0;0.0;0.279
ENST00000529836_90_90;0.265;0.29;0.276;0.427;0.482;0.387;0.576;0.484;1.0;0.254;0.0;0.384;0.357;0.308;0.265;0.278;0.0;0.384;0.11;0.323;0.782;0.0;0.0;0.468
ENST00000532489_90_90;0.162;0.921;0.876;0.478;0.494;0.632;0.119;0.492;0.254;1.0;0.0;0.637;0.728;0.143;0.131;0.135;0.0;0.162;0.022;0.115;0.222;0.0;0.0;0.179
ENST00000534280_90_90;0.144;0.03;0.076;0.096;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.037;0.168;0.144;0.151;0.0;0.049;0.083;0.224;0.008;0.0;0.059;0.191
ENST00000534465_90_90;0.176;0.586;0.558;0.693;0.776;0.992;0.18;0.773;0.384;0.637;0.0;1.0;0.394;0.18;0.161;0.167;0.0;0.211;0.028;0.153;0.325;0.0;0.0;0.24
ENST00000610806_90_90;0.23;0.807;0.768;0.452;0.453;0.396;0.197;0.454;0.357;0.728;0.037;0.394;1.0;0.216;0.195;0.201;0.0;0.232;0.082;0.201;0.309;0.0;0.027;0.241
ENSMUST00000045325_90_90;0.856;0.19;0.223;0.317;0.201;0.181;0.191;0.201;0.308;0.143;0.168;0.18;0.216;1.0;0.857;0.901;0.033;0.62;0.517;0.606;0.384;0.264;0.331;0.654
ENSMUST00000107843_90_90;0.998;0.173;0.203;0.281;0.177;0.161;0.164;0.177;0.265;0.131;0.144;0.161;0.195;0.857;1.0;0.951;0.076;0.685;0.586;0.519;0.329;0.305;0.409;0.561
ENSMUST00000207370_90_90;0.951;0.179;0.209;0.292;0.184;0.167;0.172;0.185;0.278;0.135;0.151;0.167;0.201;0.901;0.951;1.0;0.03;0.72;0.616;0.546;0.346;0.32;0.43;0.589
ENSMUST00000207522_90_90;0.079;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.033;0.076;0.03;1.0;0.04;0.046;0.0;0.073;0.0;0.0;0.0
ENSMUST00000207659_90_90;0.684;0.201;0.194;0.246;0.239;0.211;0.238;0.24;0.384;0.162;0.049;0.211;0.232;0.62;0.685;0.72;0.04;1.0;0.654;0.318;0.48;0.351;0.429;0.339
ENSMUST00000208312_90_90;0.585;0.072;0.069;0.113;0.032;0.028;0.129;0.032;0.11;0.022;0.083;0.028;0.082;0.517;0.586;0.616;0.046;0.654;1.0;0.314;0.191;0.406;0.697;0.205
ENSMUST00000208778_90_90;0.519;0.171;0.189;0.295;0.176;0.153;0.316;0.177;0.323;0.115;0.224;0.153;0.201;0.606;0.519;0.546;0.0;0.318;0.314;1.0;0.358;0.061;0.16;0.715
ENSMUST00000208829_90_90;0.328;0.254;0.242;0.365;0.399;0.327;0.496;0.4;0.782;0.222;0.008;0.325;0.309;0.384;0.329;0.346;0.073;0.48;0.191;0.358;1.0;0.0;0.0;0.5
ENSMUST00000208938_90_90;0.305;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.264;0.305;0.32;0.0;0.351;0.406;0.061;0.0;1.0;0.533;0.058
ENSMUST00000209056_90_90;0.41;0.024;0.023;0.054;0.0;0.0;0.0;0.0;0.0;0.0;0.059;0.0;0.027;0.331;0.409;0.43;0.0;0.429;0.697;0.16;0.0;0.533;1.0;0.065
ENSMUST00000209124_90_90;0.561;0.206;0.246;0.387;0.279;0.242;0.292;0.279;0.468;0.179;0.191;0.24;0.241;0.654;0.561;0.589;0.0;0.339;0.205;0.715;0.5;0.058;0.065;1.0
