;ENSCAFT00000002501_90_90;ENST00000307972_90_90;ENST00000373057_90_90;ENST00000373060_90_90;ENST00000373063_90_90;ENST00000409208_90_90;ENST00000451305_90_90;ENSMUST00000097311_90_90;ENSMUST00000113262_90_90;ENSMUST00000113263_90_90;ENSMUST00000113265_90_90
ENSCAFT00000002501_90_90;1.0;1.0;0.997;1.0;0.999;1.0;0.073;1.0;1.0;0.997;0.999
ENST00000307972_90_90;1.0;1.0;0.997;1.0;0.981;0.982;0.068;1.0;0.982;0.997;0.981
ENST00000373057_90_90;0.997;0.997;1.0;0.997;0.978;0.979;0.068;0.997;0.979;1.0;0.978
ENST00000373060_90_90;1.0;1.0;0.997;1.0;0.981;0.982;0.068;1.0;0.982;0.997;0.981
ENST00000373063_90_90;0.999;0.981;0.978;0.981;1.0;0.999;0.069;0.981;0.999;0.978;1.0
ENST00000409208_90_90;1.0;0.982;0.979;0.982;0.999;1.0;0.069;0.982;1.0;0.979;0.999
ENST00000451305_90_90;0.073;0.068;0.068;0.068;0.069;0.069;1.0;0.072;0.073;0.072;0.073
ENSMUST00000097311_90_90;1.0;1.0;0.997;1.0;0.981;0.982;0.072;1.0;0.982;0.997;0.981
ENSMUST00000113262_90_90;1.0;0.982;0.979;0.982;0.999;1.0;0.073;0.982;1.0;0.98;0.999
ENSMUST00000113263_90_90;0.997;0.997;1.0;0.997;0.978;0.979;0.072;0.997;0.98;1.0;0.978
ENSMUST00000113265_90_90;0.999;0.981;0.978;0.981;1.0;0.999;0.073;0.981;0.999;0.978;1.0
