;transcript1_ENSMLUG00000027828;transcript10_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript28_ENSMLUG00000027828;transcript1_ENSSTOG00000019743;transcript9_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript30_ENSSTOG00000019743;transcript31_ENSSTOG00000019743;transcript1_ENSCCNG00000000226;transcript30_ENSCCNG00000000226;transcript29_ENSCPOG00000024843;transcript35_ENSCPOG00000024843;transcript36_ENSCPOG00000024843;transcript37_ENSCPOG00000024843
transcript1_ENSMLUG00000027828;1.0;0.968;0.938;0.993;0.913;0.874;0.874;0.874;0.858;0.92;0.92;0.957;0.957;0.939;0.957
transcript10_ENSMLUG00000027828;0.968;1.0;0.906;0.961;0.875;0.835;0.835;0.835;0.818;0.892;0.892;0.925;0.925;0.907;0.925
transcript16_ENSMLUG00000027828;0.938;0.906;1.0;0.931;0.868;0.829;0.829;0.829;0.812;0.857;0.857;0.899;0.899;0.88;0.899
transcript28_ENSMLUG00000027828;0.993;0.961;0.931;1.0;0.909;0.87;0.87;0.87;0.862;0.912;0.912;0.95;0.95;0.946;0.95
transcript1_ENSSTOG00000019743;0.913;0.875;0.868;0.909;1.0;0.954;0.954;0.954;0.939;0.915;0.915;0.952;0.952;0.939;0.952
transcript9_ENSSTOG00000019743;0.874;0.835;0.829;0.87;0.954;1.0;1.0;1.0;0.984;0.873;0.873;0.908;0.908;0.895;0.908
transcript29_ENSSTOG00000019743;0.874;0.835;0.829;0.87;0.954;1.0;1.0;1.0;0.984;0.873;0.873;0.908;0.908;0.895;0.908
transcript30_ENSSTOG00000019743;0.874;0.835;0.829;0.87;0.954;1.0;1.0;1.0;0.984;0.873;0.873;0.908;0.908;0.895;0.908
transcript31_ENSSTOG00000019743;0.858;0.818;0.812;0.862;0.939;0.984;0.984;0.984;1.0;0.86;0.86;0.893;0.893;0.908;0.893
transcript1_ENSCCNG00000000226;0.92;0.892;0.857;0.912;0.915;0.873;0.873;0.873;0.86;1.0;1.0;0.958;0.958;0.943;0.958
transcript30_ENSCCNG00000000226;0.92;0.892;0.857;0.912;0.915;0.873;0.873;0.873;0.86;1.0;1.0;0.958;0.958;0.943;0.958
transcript29_ENSCPOG00000024843;0.957;0.925;0.899;0.95;0.952;0.908;0.908;0.908;0.893;0.958;0.958;1.0;1.0;0.984;1.0
transcript35_ENSCPOG00000024843;0.957;0.925;0.899;0.95;0.952;0.908;0.908;0.908;0.893;0.958;0.958;1.0;1.0;0.984;1.0
transcript36_ENSCPOG00000024843;0.939;0.907;0.88;0.946;0.939;0.895;0.895;0.895;0.908;0.943;0.943;0.984;0.984;1.0;0.984
transcript37_ENSCPOG00000024843;0.957;0.925;0.899;0.95;0.952;0.908;0.908;0.908;0.893;0.958;0.958;1.0;1.0;0.984;1.0
