id_transcript;block_sequence
ENSCAFT00000028867_90_90;0.1.4.5.8.9.10.11.12.15.16.18
ENST00000348628_90_90;0.1.4.7.8.9.10.11.12.15.16.18
ENST00000398376_90_90;0.1.4.7.8.9.10.11.12.15.16.17.18
ENST00000510347_90_90;0.1.4.7.8
ENST00000515758_90_90;10
ENSMUST00000025519_90_90;0.3.4.7.8.9.10.11.12.13.16.17.18
ENSMUST00000039904_90_90;14.15.16.18
ENSMUST00000102888_90_90;0.3.4.7.8.9.10.11.12.13.16.18
ENSMUST00000115295_90_90;14.15.16.17.18
ENSMUST00000115297_90_90;0.3.4.5.6
ENSMUST00000137805_90_90;1.2.3.4.7.8.9.10.11
