;ENSCAFT00000028867_90_90;ENST00000348628_90_90;ENST00000398376_90_90;ENST00000510347_90_90;ENST00000515758_90_90;ENSMUST00000025519_90_90;ENSMUST00000039904_90_90;ENSMUST00000102888_90_90;ENSMUST00000115295_90_90;ENSMUST00000115297_90_90;ENSMUST00000137805_90_90
ENSCAFT00000028867_90_90;1.0;0.846;0.786;0.308;0.083;0.562;0.231;0.6;0.214;0.214;0.4
ENST00000348628_90_90;0.846;1.0;0.923;0.417;0.083;0.667;0.231;0.714;0.214;0.133;0.5
ENST00000398376_90_90;0.786;0.923;1.0;0.385;0.077;0.733;0.214;0.667;0.286;0.125;0.467
ENST00000510347_90_90;0.308;0.417;0.385;1.0;0.0;0.286;0.0;0.308;0.0;0.25;0.4
ENST00000515758_90_90;0.083;0.083;0.077;0.0;1.0;0.077;0.0;0.083;0.0;0.0;0.111
ENSMUST00000025519_90_90;0.562;0.667;0.733;0.286;0.077;1.0;0.133;0.923;0.2;0.2;0.467
ENSMUST00000039904_90_90;0.231;0.231;0.214;0.0;0.0;0.133;1.0;0.143;0.8;0.0;0.0
ENSMUST00000102888_90_90;0.6;0.714;0.667;0.308;0.083;0.923;0.143;1.0;0.133;0.214;0.5
ENSMUST00000115295_90_90;0.214;0.214;0.286;0.0;0.0;0.2;0.8;0.133;1.0;0.0;0.0
ENSMUST00000115297_90_90;0.214;0.133;0.125;0.25;0.0;0.2;0.0;0.214;0.0;1.0;0.167
ENSMUST00000137805_90_90;0.4;0.5;0.467;0.4;0.111;0.467;0.0;0.5;0.0;0.167;1.0
