;transcript9_ENSMUNG00000007775;transcript21_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript25_ENSMUNG00000007775;transcript26_ENSMUNG00000007775;transcript30_ENSMUNG00000007775;transcript31_ENSMUNG00000007775;transcript32_ENSMUNG00000007775;transcript33_ENSMUNG00000007775;transcript9_ENSMUNG00000002377;transcript13_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript27_ENSMUNG00000002377;transcript35_ENSMUNG00000002377;transcript36_ENSMUNG00000002377;transcript37_ENSMUNG00000002377;transcript38_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript23_ENSMUNG00000002391;transcript30_ENSMUNG00000002391;transcript33_ENSMUNG00000002391
transcript9_ENSMUNG00000007775;1.0;0.981;0.981;0.963;0.944;0.519;1.0;0.944;1.0;0.536;0.596;0.596;0.561;0.544;0.382;0.554;0.536;0.912;0.93;0.93;0.93
transcript21_ENSMUNG00000007775;0.981;1.0;1.0;0.981;0.963;0.537;0.981;0.963;0.981;0.554;0.614;0.614;0.579;0.561;0.4;0.571;0.554;0.93;0.947;0.947;0.947
transcript23_ENSMUNG00000007775;0.981;1.0;1.0;0.981;0.963;0.537;0.981;0.963;0.981;0.554;0.614;0.614;0.579;0.561;0.4;0.571;0.554;0.93;0.947;0.947;0.947
transcript25_ENSMUNG00000007775;0.963;0.981;0.981;1.0;0.944;0.519;0.963;0.944;0.963;0.536;0.596;0.596;0.561;0.544;0.382;0.554;0.536;0.912;0.93;0.93;0.93
transcript26_ENSMUNG00000007775;0.944;0.963;0.963;0.944;1.0;0.558;0.944;0.926;0.944;0.545;0.607;0.607;0.571;0.554;0.389;0.564;0.545;0.895;0.912;0.912;0.912
transcript30_ENSMUNG00000007775;0.519;0.537;0.537;0.519;0.558;1.0;0.519;0.5;0.519;0.378;0.457;0.457;0.413;0.391;0.677;0.4;0.378;0.491;0.509;0.509;0.509
transcript31_ENSMUNG00000007775;1.0;0.981;0.981;0.963;0.944;0.519;1.0;0.944;1.0;0.536;0.596;0.596;0.561;0.544;0.382;0.554;0.536;0.912;0.93;0.93;0.93
transcript32_ENSMUNG00000007775;0.944;0.963;0.963;0.944;0.926;0.5;0.944;1.0;0.944;0.518;0.579;0.579;0.544;0.526;0.364;0.536;0.545;0.895;0.912;0.912;0.912
transcript33_ENSMUNG00000007775;1.0;0.981;0.981;0.963;0.944;0.519;1.0;0.944;1.0;0.536;0.596;0.596;0.561;0.544;0.382;0.554;0.536;0.912;0.93;0.93;0.93
transcript9_ENSMUNG00000002377;0.536;0.554;0.554;0.536;0.545;0.378;0.536;0.518;0.536;1.0;0.868;0.868;0.865;0.838;0.474;0.971;0.941;0.561;0.579;0.579;0.579
transcript13_ENSMUNG00000002377;0.596;0.614;0.614;0.596;0.607;0.457;0.596;0.579;0.596;0.868;1.0;1.0;0.947;0.921;0.605;0.895;0.868;0.649;0.667;0.667;0.667
transcript23_ENSMUNG00000002377;0.596;0.614;0.614;0.596;0.607;0.457;0.596;0.579;0.596;0.868;1.0;1.0;0.947;0.921;0.605;0.895;0.868;0.649;0.667;0.667;0.667
transcript27_ENSMUNG00000002377;0.561;0.579;0.579;0.561;0.571;0.413;0.561;0.544;0.561;0.865;0.947;0.947;1.0;0.972;0.553;0.842;0.816;0.614;0.632;0.632;0.632
transcript35_ENSMUNG00000002377;0.544;0.561;0.561;0.544;0.554;0.391;0.544;0.526;0.544;0.838;0.921;0.921;0.972;1.0;0.526;0.816;0.789;0.596;0.614;0.614;0.614
transcript36_ENSMUNG00000002377;0.382;0.4;0.4;0.382;0.389;0.677;0.382;0.364;0.382;0.474;0.605;0.605;0.553;0.526;1.0;0.5;0.474;0.386;0.404;0.404;0.404
transcript37_ENSMUNG00000002377;0.554;0.571;0.571;0.554;0.564;0.4;0.554;0.536;0.554;0.971;0.895;0.895;0.842;0.816;0.5;1.0;0.971;0.579;0.596;0.596;0.596
transcript38_ENSMUNG00000002377;0.536;0.554;0.554;0.536;0.545;0.378;0.536;0.545;0.536;0.941;0.868;0.868;0.816;0.789;0.474;0.971;1.0;0.561;0.579;0.579;0.579
transcript10_ENSMUNG00000002391;0.912;0.93;0.93;0.912;0.895;0.491;0.912;0.895;0.912;0.561;0.649;0.649;0.614;0.596;0.386;0.579;0.561;1.0;0.982;0.982;0.982
transcript23_ENSMUNG00000002391;0.93;0.947;0.947;0.93;0.912;0.509;0.93;0.912;0.93;0.579;0.667;0.667;0.632;0.614;0.404;0.596;0.579;0.982;1.0;1.0;1.0
transcript30_ENSMUNG00000002391;0.93;0.947;0.947;0.93;0.912;0.509;0.93;0.912;0.93;0.579;0.667;0.667;0.632;0.614;0.404;0.596;0.579;0.982;1.0;1.0;1.0
transcript33_ENSMUNG00000002391;0.93;0.947;0.947;0.93;0.912;0.509;0.93;0.912;0.93;0.579;0.667;0.667;0.632;0.614;0.404;0.596;0.579;0.982;1.0;1.0;1.0
