;ENSCAFT00000009009_90_90;ENST00000227214_90_90;ENST00000354190_90_90;ENST00000398492_90_90;ENST00000398494_90_90;ENST00000535129_90_90;ENST00000535582_90_90;ENST00000536527_90_90;ENST00000538227_90_90;ENST00000539157_90_90;ENST00000540431_90_90;ENST00000541597_90_90;ENST00000542389_90_90;ENST00000543085_90_90;ENST00000543524_90_90;ENST00000545798_90_90;ENST00000546251_90_90;ENSMUST00000079176_90_90;ENSMUST00000107043_90_90;ENSMUST00000107044_90_90;ENSMUST00000107045_90_90;ENSMUST00000107046_90_90;ENSMUST00000107047_90_90;ENSMUST00000116287_90_90;ENSMUST00000138830_90_90;ENSMUST00000139708_90_90;ENSMUST00000151123_90_90;ENSMUST00000208812_90_90
ENSCAFT00000009009_90_90;1.0;0.667;0.71;0.677;0.7;0.667;0.321;0.103;0.467;0.31;0.613;0.567;0.429;0.655;0.533;0.143;0.276;0.893;0.593;0.852;0.889;0.852;0.857;0.889;0.462;0.667;0.857;0.222
ENST00000227214_90_90;0.667;1.0;0.889;0.923;0.96;1.0;0.458;0.154;0.615;0.333;0.846;0.875;0.52;0.917;0.833;0.25;0.4;0.7;0.519;0.778;0.75;0.778;0.724;0.75;0.385;0.593;0.667;0.107
ENST00000354190_90_90;0.71;0.889;1.0;0.963;0.926;0.889;0.407;0.138;0.552;0.345;0.759;0.778;0.519;0.815;0.741;0.222;0.357;0.8;0.467;0.7;0.733;0.7;0.767;0.733;0.345;0.533;0.767;0.172
ENST00000398492_90_90;0.677;0.923;0.963;1.0;0.889;0.923;0.423;0.143;0.571;0.31;0.786;0.808;0.481;0.846;0.769;0.231;0.37;0.767;0.483;0.724;0.7;0.724;0.793;0.7;0.357;0.552;0.733;0.179
ENST00000398494_90_90;0.7;0.96;0.926;0.889;1.0;0.96;0.44;0.148;0.593;0.37;0.815;0.84;0.56;0.88;0.8;0.24;0.385;0.733;0.5;0.75;0.786;0.75;0.7;0.786;0.37;0.571;0.7;0.103
ENST00000535129_90_90;0.667;1.0;0.889;0.923;0.96;1.0;0.458;0.154;0.615;0.333;0.846;0.875;0.52;0.917;0.833;0.25;0.4;0.7;0.519;0.778;0.75;0.778;0.724;0.75;0.385;0.593;0.667;0.107
ENST00000535582_90_90;0.321;0.458;0.407;0.423;0.44;0.458;1.0;0.308;0.611;0.643;0.458;0.524;0.786;0.375;0.55;0.545;0.833;0.31;0.4;0.346;0.333;0.346;0.321;0.333;0.643;0.429;0.321;0.2
ENST00000536527_90_90;0.103;0.154;0.138;0.143;0.148;0.154;0.308;1.0;0.2;0.286;0.154;0.174;0.25;0.077;0.182;0.5;0.308;0.1;0.15;0.111;0.107;0.111;0.103;0.107;0.2;0.136;0.103;0.3
ENST00000538227_90_90;0.467;0.615;0.552;0.571;0.593;0.615;0.611;0.2;1.0;0.429;0.615;0.696;0.684;0.538;0.727;0.333;0.526;0.5;0.667;0.556;0.536;0.556;0.517;0.536;0.5;0.682;0.517;0.136
ENST00000539157_90_90;0.31;0.333;0.345;0.31;0.37;0.333;0.643;0.286;0.429;1.0;0.44;0.375;0.625;0.259;0.391;0.5;0.643;0.3;0.318;0.286;0.321;0.286;0.267;0.321;0.5;0.348;0.31;0.267
ENST00000540431_90_90;0.613;0.846;0.759;0.786;0.815;0.846;0.458;0.154;0.615;0.44;1.0;0.875;0.52;0.769;0.833;0.25;0.4;0.645;0.577;0.714;0.69;0.714;0.667;0.69;0.44;0.654;0.667;0.148
ENST00000541597_90_90;0.567;0.875;0.778;0.808;0.84;0.875;0.524;0.174;0.696;0.375;0.875;1.0;0.591;0.792;0.952;0.286;0.455;0.6;0.583;0.667;0.643;0.667;0.621;0.643;0.435;0.667;0.621;0.12
ENST00000542389_90_90;0.429;0.52;0.519;0.481;0.56;0.52;0.786;0.25;0.684;0.625;0.52;0.591;1.0;0.44;0.619;0.429;0.667;0.414;0.476;0.407;0.444;0.407;0.379;0.444;0.625;0.5;0.429;0.167
ENST00000543085_90_90;0.655;0.917;0.815;0.846;0.88;0.917;0.375;0.077;0.538;0.259;0.769;0.792;0.44;1.0;0.75;0.167;0.32;0.69;0.5;0.769;0.741;0.769;0.714;0.741;0.36;0.577;0.655;0.074
