;ENSCAFT00000049128_90_90;ENST00000315660_90_90;ENST00000372382_90_90;ENST00000372383_90_90;ENST00000372384_90_90;ENST00000372390_90_90;ENST00000372397_90_90;ENST00000480691_90_90;ENST00000486554_90_90;ENST00000502650_90_90;ENST00000502961_90_90;ENST00000503515_90_90;ENST00000505965_90_90;ENST00000506081_90_90;ENST00000506724_90_90;ENST00000510887_90_90;ENST00000514426_90_90;ENST00000514897_90_90;ENSMUST00000055738_90_90;ENSMUST00000112996_90_90;ENSMUST00000123898_90_90
ENSCAFT00000049128_90_90;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000315660_90_90;0.0;1.0;0.431;1.0;1.0;0.378;0.388;0.613;0.121;0.58;0.29;0.061;0.422;1.0;0.503;0.598;0.66;0.619;0.379;0.969;0.421
ENST00000372382_90_90;0.0;0.431;1.0;0.431;0.431;0.685;0.619;0.074;0.219;0.043;0.0;0.09;0.0;0.431;0.0;0.06;0.628;0.08;0.6;0.424;0.874
ENST00000372383_90_90;0.0;1.0;0.431;1.0;1.0;0.378;0.388;0.613;0.121;0.58;0.29;0.061;0.422;1.0;0.503;0.598;0.66;0.619;0.379;0.969;0.421
ENST00000372384_90_90;0.0;1.0;0.431;1.0;1.0;0.378;0.388;0.613;0.121;0.58;0.29;0.061;0.422;1.0;0.503;0.598;0.66;0.619;0.379;0.969;0.421
ENST00000372390_90_90;0.0;0.378;0.685;0.378;0.378;1.0;0.563;0.0;0.329;0.0;0.0;0.0;0.0;0.378;0.0;0.0;0.571;0.0;0.551;0.376;0.667
ENST00000372397_90_90;0.0;0.388;0.619;0.388;0.388;0.563;1.0;0.066;0.18;0.039;0.0;0.33;0.0;0.388;0.0;0.054;0.541;0.072;0.936;0.382;0.6
ENST00000480691_90_90;0.0;0.613;0.074;0.613;0.613;0.0;0.066;1.0;0.0;0.946;0.473;0.077;0.688;0.613;0.821;0.976;0.273;0.987;0.066;0.594;0.073
ENST00000486554_90_90;0.0;0.121;0.219;0.121;0.121;0.329;0.18;0.0;1.0;0.0;0.0;0.0;0.0;0.121;0.0;0.0;0.183;0.0;0.176;0.12;0.213
ENST00000502650_90_90;0.0;0.58;0.043;0.58;0.58;0.0;0.039;0.946;0.0;1.0;0.5;0.045;0.727;0.58;0.868;0.969;0.24;0.933;0.038;0.562;0.042
ENST00000502961_90_90;0.0;0.29;0.0;0.29;0.29;0.0;0.0;0.473;0.0;0.5;1.0;0.0;0.688;0.29;0.576;0.485;0.0;0.466;0.0;0.276;0.0
ENST00000503515_90_90;0.0;0.061;0.09;0.061;0.061;0.0;0.33;0.077;0.0;0.045;0.0;1.0;0.0;0.061;0.0;0.063;0.081;0.085;0.307;0.061;0.089
ENST00000505965_90_90;0.0;0.422;0.0;0.422;0.422;0.0;0.0;0.688;0.0;0.727;0.688;0.0;1.0;0.422;0.838;0.705;0.082;0.678;0.0;0.406;0.0
ENST00000506081_90_90;0.0;1.0;0.431;1.0;1.0;0.378;0.388;0.613;0.121;0.58;0.29;0.061;0.422;1.0;0.503;0.598;0.66;0.619;0.379;0.969;0.421
ENST00000506724_90_90;0.0;0.503;0.0;0.503;0.503;0.0;0.0;0.821;0.0;0.868;0.576;0.0;0.838;0.503;1.0;0.841;0.163;0.81;0.0;0.486;0.0
ENST00000510887_90_90;0.0;0.598;0.06;0.598;0.598;0.0;0.054;0.976;0.0;0.969;0.485;0.063;0.705;0.598;0.841;1.0;0.258;0.962;0.053;0.58;0.059
ENST00000514426_90_90;0.0;0.66;0.628;0.66;0.66;0.571;0.541;0.273;0.183;0.24;0.0;0.081;0.082;0.66;0.163;0.258;1.0;0.28;0.526;0.651;0.608
ENST00000514897_90_90;0.0;0.619;0.08;0.619;0.619;0.0;0.072;0.987;0.0;0.933;0.466;0.085;0.678;0.619;0.81;0.962;0.28;1.0;0.068;0.595;0.076
ENSMUST00000055738_90_90;0.0;0.379;0.6;0.379;0.379;0.551;0.936;0.066;0.176;0.038;0.0;0.307;0.0;0.379;0.0;0.053;0.526;0.068;1.0;0.399;0.627
ENSMUST00000112996_90_90;0.0;0.969;0.424;0.969;0.969;0.376;0.382;0.594;0.12;0.562;0.276;0.061;0.406;0.969;0.486;0.58;0.651;0.595;0.399;1.0;0.443
ENSMUST00000123898_90_90;0.0;0.421;0.874;0.421;0.421;0.667;0.6;0.073;0.213;0.042;0.0;0.089;0.0;0.421;0.0;0.059;0.608;0.076;0.627;0.443;1.0
