;ENSCAFT00000003155_90_90;ENST00000264312_90_90;ENST00000381473_90_90;ENST00000396448_90_90;ENST00000425583_90_90;ENST00000444354_90_90;ENST00000503016_90_90;ENST00000504654_90_90;ENST00000505922_90_90;ENST00000506801_90_90;ENST00000507210_90_90;ENST00000508293_90_90;ENST00000508996_90_90;ENST00000509122_90_90;ENST00000509164_90_90;ENST00000509246_90_90;ENST00000509664_90_90;ENST00000509963_90_90;ENST00000510824_90_90;ENST00000511102_90_90;ENST00000511662_90_90;ENST00000512236_90_90;ENST00000513391_90_90;ENST00000513641_90_90;ENST00000514981_90_90;ENSMUST00000031038_90_90;ENSMUST00000071081_90_90;ENSMUST00000166823_90_90;ENSMUST00000200935_90_90;ENSMUST00000201505_90_90;ENSMUST00000201556_90_90;ENSMUST00000201739_90_90;ENSMUST00000202237_90_90;ENSMUST00000202250_90_90
ENSCAFT00000003155_90_90;1.0;0.99;0.99;0.802;0.847;0.847;0.68;0.462;0.738;0.58;0.414;0.99;0.361;0.879;0.361;0.504;0.326;0.414;0.409;0.748;0.179;0.725;0.99;0.231;0.485;0.433;0.54;0.54;0.434;0.0;0.214;0.0;0.436;0.54
ENST00000264312_90_90;0.99;1.0;1.0;0.798;0.862;0.862;0.676;0.467;0.724;0.579;0.422;1.0;0.371;0.859;0.371;0.485;0.339;0.422;0.399;0.748;0.162;0.728;1.0;0.232;0.487;0.426;0.531;0.531;0.427;0.0;0.212;0.0;0.429;0.531
ENST00000381473_90_90;0.99;1.0;1.0;0.798;0.862;0.862;0.676;0.467;0.724;0.579;0.422;1.0;0.371;0.859;0.371;0.485;0.339;0.422;0.399;0.748;0.162;0.728;1.0;0.232;0.487;0.426;0.531;0.531;0.427;0.0;0.212;0.0;0.429;0.531
ENST00000396448_90_90;0.802;0.798;0.798;1.0;0.923;0.923;0.546;0.554;0.762;0.609;0.5;0.798;0.437;0.661;0.437;0.58;0.398;0.5;0.479;0.887;0.189;0.865;0.798;0.271;0.578;0.43;0.537;0.537;0.432;0.0;0.215;0.0;0.435;0.537
ENST00000425583_90_90;0.847;0.862;0.862;0.923;1.0;1.0;0.538;0.544;0.75;0.676;0.49;0.862;0.429;0.721;0.429;0.568;0.391;0.49;0.469;0.87;0.185;0.848;0.862;0.266;0.567;0.429;0.537;0.537;0.431;0.0;0.214;0.0;0.434;0.537
ENST00000444354_90_90;0.847;0.862;0.862;0.923;1.0;1.0;0.538;0.544;0.75;0.676;0.49;0.862;0.429;0.721;0.429;0.568;0.391;0.49;0.469;0.87;0.185;0.848;0.862;0.266;0.567;0.429;0.537;0.537;0.431;0.0;0.214;0.0;0.434;0.537
ENST00000503016_90_90;0.68;0.676;0.676;0.546;0.538;0.538;1.0;0.192;0.713;0.757;0.145;0.676;0.092;0.786;0.092;0.723;0.058;0.145;0.593;0.486;0.0;0.465;0.676;0.0;0.214;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000504654_90_90;0.462;0.467;0.467;0.554;0.544;0.544;0.192;1.0;0.38;0.219;0.904;0.467;0.792;0.325;0.792;0.245;0.724;0.904;0.274;0.625;0.346;0.641;0.467;0.494;0.959;0.44;0.55;0.55;0.443;0.0;0.22;0.0;0.449;0.55
ENST00000505922_90_90;0.738;0.724;0.724;0.762;0.75;0.75;0.713;0.38;1.0;0.704;0.327;0.724;0.266;0.846;0.266;0.672;0.228;0.327;0.555;0.705;0.138;0.683;0.724;0.127;0.402;0.532;0.434;0.434;0.534;0.0;0.266;0.0;0.537;0.434
ENST00000506801_90_90;0.58;0.579;0.579;0.609;0.676;0.676;0.757;0.219;0.704;1.0;0.167;0.579;0.105;0.675;0.105;0.839;0.068;0.167;0.692;0.545;0.0;0.523;0.579;0.0;0.242;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000507210_90_90;0.414;0.422;0.422;0.5;0.49;0.49;0.145;0.904;0.327;0.167;1.0;0.422;0.875;0.281;0.875;0.186;0.799;1.0;0.209;0.564;0.381;0.579;0.422;0.544;0.867;0.442;0.554;0.554;0.445;0.0;0.222;0.0;0.452;0.554
